repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:dancryer/PHPCI.git,1.0.0,11608,2648,634,0.00%,5.1670281995662,0,501,169,356,0
git@github.com:dancryer/PHPCI.git,1.0.1,11612,2647,635,0.00%,5.1717391304348,0,501,169,356,0
git@github.com:dancryer/PHPCI.git,1.1.0,12320,2693,696,0.00%,5.3877118644068,0,501,169,370,0
git@github.com:dancryer/PHPCI.git,1.2.0,13301,2989,752,0.23%,5.4521912350598,0,501,169,403,0
git@github.com:dancryer/PHPCI.git,1.3.0,15298,3471,864,0.38%,5.4258943781942,0,501,169,475,0
git@github.com:dancryer/PHPCI.git,1.3.1,15301,3471,864,0.38%,5.4258943781942,0,501,169,474,0
git@github.com:dancryer/PHPCI.git,1.4.0,16642,3695,924,0.35%,5.5962732919255,0,501,169,602,0
git@github.com:dancryer/PHPCI.git,1.4.1,16643,3695,925,0.35%,5.5947204968944,0,501,169,602,0
git@github.com:dancryer/PHPCI.git,1.5.0,22500,5372,997,0.26%,5.7215568862275,0,501,169,626,0
git@github.com:dancryer/PHPCI.git,1.5.1,22500,5372,997,0.26%,5.7215568862275,0,501,169,626,0
git@github.com:dancryer/PHPCI.git,1.5.2,22502,5372,997,0.26%,5.7215568862275,0,501,169,626,0
git@github.com:dancryer/PHPCI.git,1.6.0,23708,5695,1035,0.24%,5.7917847025496,0,501,169,681,0
git@github.com:dancryer/PHPCI.git,1.7.0,29439,7124,1303,0.36%,5.5626398210291,0,501,169,802,0
git@github.com:dancryer/PHPCI.git,1.7.1,29485,7127,1307,0.36%,5.5653631284916,0,501,169,808,0
git@github.com:dancryer/PHPCI.git,1.8.0,30745,7158,1336,1.76%,5.594298245614,0,501,169,822,0
