repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:davejamesmiller/laravel-breadcrumbs.git,1.0.0,192,24,7,0.00%,1.8125,0,266,20,2,1
git@github.com:davejamesmiller/laravel-breadcrumbs.git,1.0.1,192,24,7,0.00%,1.8125,0,266,20,2,1
git@github.com:davejamesmiller/laravel-breadcrumbs.git,2.0.0,401,58,3,0.00%,3.04,0,266,20,12,2
git@github.com:davejamesmiller/laravel-breadcrumbs.git,2.1.0,489,62,3,0.00%,3.7,0,266,20,15,2
git@github.com:davejamesmiller/laravel-breadcrumbs.git,2.2.0,599,62,12,0.00%,3.525,0,266,20,23,2
git@github.com:davejamesmiller/laravel-breadcrumbs.git,2.2.1,620,62,16,0.00%,3.55,0,266,20,25,2
git@github.com:davejamesmiller/laravel-breadcrumbs.git,2.2.2,614,62,17,0.00%,3.575,0,266,20,25,2
git@github.com:davejamesmiller/laravel-breadcrumbs.git,2.2.3,623,62,18,0.00%,3.5609756097561,0,266,20,25,2
git@github.com:davejamesmiller/laravel-breadcrumbs.git,2.3.0,644,63,19,0.00%,3.6666666666667,0,266,20,26,2
git@github.com:davejamesmiller/laravel-breadcrumbs.git,2.3.1,643,66,18,0.00%,3.6428571428571,0,266,20,25,2
git@github.com:davejamesmiller/laravel-breadcrumbs.git,3.0.0,1307,95,17,0.00%,2.6704545454545,0,266,20,156,2
git@github.com:davejamesmiller/laravel-breadcrumbs.git,3.0.1,1316,97,19,0.00%,2.6931818181818,0,266,20,157,2
git@github.com:davejamesmiller/laravel-breadcrumbs.git,3.0.2,1316,97,19,0.00%,2.6931818181818,0,266,20,157,2
git@github.com:davejamesmiller/laravel-breadcrumbs.git,3.0.3,1343,97,21,0.00%,2.7333333333333,0,266,20,164,2
git@github.com:davejamesmiller/laravel-breadcrumbs.git,4.0.0,2162,369,29,0.00%,2.1818181818182,0,266,20,39,11
git@github.com:davejamesmiller/laravel-breadcrumbs.git,4.1.0,2187,369,29,0.00%,2.1818181818182,0,266,20,39,12
git@github.com:davejamesmiller/laravel-breadcrumbs.git,4.2.0,2281,382,29,0.00%,2.1527777777778,0,266,20,39,12
git@github.com:davejamesmiller/laravel-breadcrumbs.git,5.0.0,2328,376,31,0.00%,2.2027027027027,0,266,20,45,12
git@github.com:davejamesmiller/laravel-breadcrumbs.git,5.1.0,20467,10472,101,0.42%,1.0883280757098,0,266,20,211,24
git@github.com:davejamesmiller/laravel-breadcrumbs.git,5.1.1,2480,396,81,3.43%,2.3037974683544,0,266,20,46,12
git@github.com:davejamesmiller/laravel-breadcrumbs.git,5.1.2,2484,400,81,3.42%,2.3037974683544,0,266,20,46,12
git@github.com:davejamesmiller/laravel-breadcrumbs.git,5.2.0,2498,401,81,3.40%,2.3037974683544,0,266,20,46,13
