repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:deployphp/deployer.git,v2.0.0,3248,1024,100,0.00%,2.4496124031008,0,922,210,111,0
git@github.com:deployphp/deployer.git,v2.0.1,3274,1023,109,0.00%,2.4418604651163,0,922,210,112,0
git@github.com:deployphp/deployer.git,v2.0.2,3274,1023,109,0.00%,2.4418604651163,0,922,210,112,0
git@github.com:deployphp/deployer.git,v2.0.3,3277,1023,109,0.00%,2.4418604651163,0,922,210,112,0
git@github.com:deployphp/deployer.git,v2.0.4,3277,1023,109,0.00%,2.4418604651163,0,922,210,112,0
git@github.com:deployphp/deployer.git,v2.0.5,3277,1023,109,0.00%,2.4418604651163,0,922,210,112,0
git@github.com:deployphp/deployer.git,v3.0.0,5694,1642,182,0.00%,3.4232365145228,0,922,210,443,0
git@github.com:deployphp/deployer.git,v3.0.1,5864,1706,182,0.00%,3.4315352697095,0,922,210,445,0
git@github.com:deployphp/deployer.git,v3.0.2,6020,1760,190,0.00%,3.4677419354839,0,922,210,455,0
git@github.com:deployphp/deployer.git,v3.0.3,6016,1760,190,0.00%,3.4596774193548,0,922,210,455,0
git@github.com:deployphp/deployer.git,v3.0.4,6016,1760,190,0.00%,3.4596774193548,0,922,210,455,0
git@github.com:deployphp/deployer.git,v3.0.5,6898,2139,203,0.30%,3.5166051660517,0,922,210,541,0
git@github.com:deployphp/deployer.git,v3.0.6,7077,2192,200,0.30%,3.4712230215827,0,922,210,533,0
git@github.com:deployphp/deployer.git,v3.0.7,7147,2204,210,0.29%,3.5357142857143,0,922,210,540,0
git@github.com:deployphp/deployer.git,v3.0.8,7148,2204,210,0.29%,3.5357142857143,0,922,210,540,0
git@github.com:deployphp/deployer.git,v3.0.9,7256,2212,217,0.29%,3.5296167247387,0,922,210,542,0
git@github.com:deployphp/deployer.git,v3.0.10,7554,2292,228,0.28%,3.5296167247387,0,922,210,545,0
git@github.com:deployphp/deployer.git,v3.0.11,8581,2619,252,0.24%,3.5220125786164,0,922,210,573,0
git@github.com:deployphp/deployer.git,v3.1.0,8885,2675,254,0.24%,3.5202492211838,0,922,210,576,0
git@github.com:deployphp/deployer.git,v3.1.1,8886,2675,254,0.24%,3.5202492211838,0,922,210,576,0
git@github.com:deployphp/deployer.git,v3.1.2,8983,2688,255,0.23%,3.5186335403727,0,922,210,578,0
git@github.com:deployphp/deployer.git,v3.2.0,9071,2715,257,0.23%,3.4575757575758,0,922,210,579,0
git@github.com:deployphp/deployer.git,v3.2.1,9071,2715,257,0.23%,3.4575757575758,0,922,210,579,0
git@github.com:deployphp/deployer.git,v3.3.0,9219,2761,258,0.23%,3.4743202416918,0,922,210,579,0
git@github.com:deployphp/deployer.git,v4.0.0,10282,3128,316,0.20%,3.1522309711286,0,922,210,580,0
git@github.com:deployphp/deployer.git,v4.0.1,10508,3215,326,0.20%,3.1753926701571,0,922,210,586,0
git@github.com:deployphp/deployer.git,v4.0.2,10551,3228,329,0.20%,3.1832460732984,0,922,210,587,0
git@github.com:deployphp/deployer.git,v4.1.0,10901,3317,350,0.19%,3.225641025641,0,922,210,601,0
git@github.com:deployphp/deployer.git,v4.2.0,11004,3324,355,0.19%,3.2384615384615,0,922,210,605,0
git@github.com:deployphp/deployer.git,v4.2.1,11014,3324,356,0.19%,3.23273657289,0,922,210,605,0
git@github.com:deployphp/deployer.git,v4.3.0,11535,3453,401,0.18%,3.2860635696822,0,922,210,643,0
git@github.com:deployphp/deployer.git,v4.3.1,11538,3453,403,0.18%,3.2860635696822,0,922,210,643,0
git@github.com:deployphp/deployer.git,v4.3.2,11538,3453,403,0.18%,3.2860635696822,0,922,210,643,0
git@github.com:deployphp/deployer.git,v4.3.3,11538,3453,403,0.18%,3.2860635696822,0,922,210,643,0
git@github.com:deployphp/deployer.git,v4.3.4,11538,3453,403,0.18%,3.2860635696822,0,922,210,643,0
git@github.com:deployphp/deployer.git,v5.0.0,9745,2583,372,0.00%,3.2469879518072,0,922,210,414,0
git@github.com:deployphp/deployer.git,v5.0.1,9791,2588,378,0.00%,3.2552552552553,0,922,210,416,0
git@github.com:deployphp/deployer.git,v5.0.2,10034,2613,380,0.00%,3.352435530086,0,922,210,422,0
git@github.com:deployphp/deployer.git,v5.0.3,10076,2618,382,0.00%,3.3618233618234,0,922,210,424,0
git@github.com:deployphp/deployer.git,v5.1.0,10429,2656,401,0.00%,3.3638888888889,0,922,210,436,0
git@github.com:deployphp/deployer.git,v5.1.1,10429,2656,401,0.00%,3.3638888888889,0,922,210,436,0
git@github.com:deployphp/deployer.git,v5.1.2,10441,2659,402,0.00%,3.3611111111111,0,922,210,437,0
git@github.com:deployphp/deployer.git,v5.1.3,10441,2659,402,0.00%,3.3611111111111,0,922,210,437,0
git@github.com:deployphp/deployer.git,v6.0.0,10729,2690,416,0.00%,3.4211956521739,0,922,210,456,0
git@github.com:deployphp/deployer.git,v6.0.1,10729,2690,416,0.00%,3.4211956521739,0,922,210,456,0
git@github.com:deployphp/deployer.git,v6.0.2,10745,2687,417,0.00%,3.4162162162162,0,922,210,457,0
git@github.com:deployphp/deployer.git,v6.0.3,10748,2687,418,0.00%,3.4162162162162,0,922,210,457,0
git@github.com:deployphp/deployer.git,v6.0.4,10784,2691,418,0.00%,3.4150943396226,0,922,210,457,0
git@github.com:deployphp/deployer.git,v6.0.5,10879,2704,423,0.00%,3.44,0,922,210,457,0
git@github.com:deployphp/deployer.git,v6.1.0,11157,2748,442,0.00%,3.5130890052356,0,922,210,472,0
git@github.com:deployphp/deployer.git,v6.2.0,11202,2752,443,0.00%,3.5064935064935,0,922,210,473,0
git@github.com:deployphp/deployer.git,v6.3.0,11281,2720,444,0.00%,3.4922680412371,0,922,210,473,0
git@github.com:deployphp/deployer.git,v6.4.0,11998,2808,485,0.00%,3.4741784037559,0,922,210,516,0
git@github.com:deployphp/deployer.git,v6.4.1,11998,2808,485,0.00%,3.4741784037559,0,922,210,516,0
