repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:dingo/api.git,v0.1.0,4679,1312,122,1.15%,3.2816901408451,0,1125,98,586,0
git@github.com:dingo/api.git,v0.1.1,4753,1318,124,1.14%,3.2897196261682,0,1125,98,594,0
git@github.com:dingo/api.git,v0.1.2,4787,1321,125,1.13%,3.2897196261682,0,1125,98,593,0
git@github.com:dingo/api.git,v0.2.0,5070,1416,135,0.24%,2.974025974026,0,1125,98,451,0
git@github.com:dingo/api.git,v0.2.1,5170,1425,132,0.23%,3.025,0,1125,98,489,0
git@github.com:dingo/api.git,v0.2.2,5177,1425,134,0.23%,3.0375,0,1125,98,489,0
git@github.com:dingo/api.git,v0.2.3,5284,1447,134,0.23%,3.016393442623,0,1125,98,502,0
git@github.com:dingo/api.git,v0.2.4,5404,1474,136,0.43%,3.0557768924303,0,1125,98,538,0
git@github.com:dingo/api.git,v0.3.0,5457,1507,140,0.42%,3.0269230769231,0,1125,98,534,0
git@github.com:dingo/api.git,v0.3.1,5464,1507,141,0.42%,3.0384615384615,0,1125,98,534,0
git@github.com:dingo/api.git,v0.4.0,5616,1560,147,0.41%,3,0,1125,98,534,0
git@github.com:dingo/api.git,v0.4.1,5622,1560,148,0.41%,3.0074349442379,0,1125,98,534,0
git@github.com:dingo/api.git,v0.5.0,5757,1611,154,0.40%,2.9890510948905,0,1125,98,534,0
git@github.com:dingo/api.git,v0.6.0,6193,1858,165,0.37%,2.8745874587459,0,1125,98,546,0
git@github.com:dingo/api.git,v0.6.1,6191,1858,164,0.37%,2.8745874587459,0,1125,98,547,0
git@github.com:dingo/api.git,v0.6.2,6229,1877,165,0.37%,2.872131147541,0,1125,98,547,0
git@github.com:dingo/api.git,v0.6.3,6246,1883,167,0.37%,2.8692810457516,0,1125,98,548,0
git@github.com:dingo/api.git,v0.6.4,6252,1889,167,0.37%,2.8692810457516,0,1125,98,548,0
git@github.com:dingo/api.git,v0.6.5,6361,1889,168,0.99%,2.8692810457516,0,1125,98,561,0
git@github.com:dingo/api.git,v0.6.6,6422,1900,174,0.98%,2.8397435897436,0,1125,98,562,0
git@github.com:dingo/api.git,v0.7.0,8161,2468,205,0.00%,2.4179487179487,0,1125,98,358,0
git@github.com:dingo/api.git,v0.7.1,8148,2465,205,0.00%,2.4164524421594,0,1125,98,355,0
git@github.com:dingo/api.git,v0.7.2,8235,2496,210,0.00%,2.4464285714286,0,1125,98,361,0
git@github.com:dingo/api.git,v0.7.3,8266,2503,211,0.00%,2.4543147208122,0,1125,98,362,0
git@github.com:dingo/api.git,v0.8.0,8392,2744,213,0.00%,2.4582278481013,0,1125,98,362,0
git@github.com:dingo/api.git,v0.8.1,8495,2773,214,0.00%,2.4511278195489,0,1125,98,362,0
git@github.com:dingo/api.git,v0.8.2,8496,2773,217,0.00%,2.4511278195489,0,1125,98,363,0
git@github.com:dingo/api.git,v0.8.3,8658,2805,224,0.00%,2.4625,0,1125,98,370,0
git@github.com:dingo/api.git,v0.9.0,10642,3599,286,0.00%,2.3716632443532,0,1125,98,488,0
git@github.com:dingo/api.git,v0.10.0,11143,3784,308,0.00%,2.34046692607,0,1125,98,484,0
