repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:doctrine/DoctrineBundle.git,v1.0.0,4822,1265,150,0.00%,5.5644171779141,0,307,221,768,0
git@github.com:doctrine/DoctrineBundle.git,v1.1.0,5245,1377,182,0.00%,5.7371428571429,0,307,221,781,0
git@github.com:doctrine/DoctrineBundle.git,v1.2.0,5329,1394,190,0.00%,5.7853107344633,0,307,221,785,0
git@github.com:doctrine/DoctrineBundle.git,v1.3.0,6742,1737,272,0.44%,5.7205240174672,0,307,221,1038,0
git@github.com:doctrine/DoctrineBundle.git,v1.4.0,6906,1749,298,0.43%,5.8326180257511,0,307,221,1065,0
git@github.com:doctrine/DoctrineBundle.git,v1.5.0,7116,1769,307,0.42%,5.9414225941423,0,307,221,1102,0
git@github.com:doctrine/DoctrineBundle.git,v1.5.1,7137,1770,306,0.42%,5.9583333333333,0,307,221,1105,0
git@github.com:doctrine/DoctrineBundle.git,v1.5.2,7138,1770,306,0.42%,5.9625,0,307,221,1105,0
git@github.com:doctrine/DoctrineBundle.git,1.6.0,7251,1780,309,0.41%,6.0491803278689,0,307,221,1134,0
git@github.com:doctrine/DoctrineBundle.git,1.6.1,7252,1780,309,0.41%,6.0532786885246,0,307,221,1134,0
git@github.com:doctrine/DoctrineBundle.git,1.6.2,7274,1786,309,0.41%,6.0367346938776,0,307,221,1145,0
git@github.com:doctrine/DoctrineBundle.git,1.6.3,7343,1792,313,0.41%,6.0443548387097,0,307,221,1160,0
git@github.com:doctrine/DoctrineBundle.git,1.6.4,7505,1819,325,0.40%,6.0912698412698,0,307,221,1167,0
git@github.com:doctrine/DoctrineBundle.git,1.6.5,8315,1887,360,0.60%,5.8877551020408,0,307,221,1215,0
git@github.com:doctrine/DoctrineBundle.git,1.6.6,8315,1887,360,0.60%,5.8877551020408,0,307,221,1215,0
git@github.com:doctrine/DoctrineBundle.git,1.6.7,8367,1894,366,0.60%,5.9087837837838,0,307,221,1218,0
git@github.com:doctrine/DoctrineBundle.git,1.6.8,8314,1888,355,0.60%,5.8779661016949,0,307,221,1202,0
git@github.com:doctrine/DoctrineBundle.git,1.6.9,8390,1891,361,0.60%,5.8729096989967,0,307,221,1207,0
git@github.com:doctrine/DoctrineBundle.git,1.6.10,8390,1891,361,0.60%,5.8729096989967,0,307,221,1207,0
git@github.com:doctrine/DoctrineBundle.git,1.6.11,8392,1886,361,0.60%,5.8829431438127,0,307,221,1209,0
git@github.com:doctrine/DoctrineBundle.git,1.6.12,8407,1886,361,0.59%,5.8933333333333,0,307,221,1214,0
git@github.com:doctrine/DoctrineBundle.git,1.6.13,8394,1883,360,0.60%,5.8733333333333,0,307,221,1214,0
git@github.com:doctrine/DoctrineBundle.git,1.7.0,8492,1938,359,0.59%,5.7901639344262,0,307,221,1207,0
git@github.com:doctrine/DoctrineBundle.git,1.7.1,8557,1938,364,0.58%,5.7954545454545,0,307,221,1212,0
git@github.com:doctrine/DoctrineBundle.git,1.7.2,8560,1930,363,0.58%,5.7961165048544,0,307,221,1219,0
git@github.com:doctrine/DoctrineBundle.git,1.8.0,9295,2175,391,0.54%,5.8136645962733,0,307,221,1269,0
git@github.com:doctrine/DoctrineBundle.git,1.8.1,9403,2183,399,0.53%,5.858024691358,0,307,221,1276,0
git@github.com:doctrine/DoctrineBundle.git,1.9.0,8909,1278,407,1.09%,5.9735294117647,0,307,221,1311,0
git@github.com:doctrine/DoctrineBundle.git,1.9.1,8913,1278,407,1.09%,5.9735294117647,0,307,221,1312,0
git@github.com:doctrine/DoctrineBundle.git,1.10.0,9191,1318,427,1.07%,5.9511494252874,0,307,221,1345,0
git@github.com:doctrine/DoctrineBundle.git,1.10.1,9222,1330,427,1.06%,5.9426934097421,0,307,221,1345,0
