repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:doctrine/DoctrineCacheBundle.git,v1.0.0,3108,999,84,1.22%,4.2743362831858,0,75,55,429,0
git@github.com:doctrine/DoctrineCacheBundle.git,1.0.0,3108,999,84,1.22%,4.2743362831858,0,75,55,429,0
git@github.com:doctrine/DoctrineCacheBundle.git,v1.0.1,3704,1194,105,1.03%,4.1751824817518,0,75,55,450,0
git@github.com:doctrine/DoctrineCacheBundle.git,1.2.0,4118,1338,119,0.92%,4.1830065359477,0,75,55,507,0
git@github.com:doctrine/DoctrineCacheBundle.git,1.2.1,4118,1338,119,0.92%,4.1830065359477,0,75,55,507,0
git@github.com:doctrine/DoctrineCacheBundle.git,1.2.2,4122,1338,120,0.92%,4.1895424836601,0,75,55,508,0
git@github.com:doctrine/DoctrineCacheBundle.git,1.3.0,4363,1403,128,0.80%,4.1901840490798,0,75,55,579,0
git@github.com:doctrine/DoctrineCacheBundle.git,1.3.1,4527,1437,141,0.77%,4.3035714285714,0,75,55,591,0
git@github.com:doctrine/DoctrineCacheBundle.git,1.3.2,4534,1440,141,0.77%,4.2781065088757,0,75,55,591,0
git@github.com:doctrine/DoctrineCacheBundle.git,1.3.3,4090,1015,142,0.86%,4.2899408284024,0,75,55,591,0
git@github.com:doctrine/DoctrineCacheBundle.git,1.3.4,4096,1015,142,0.85%,4.2899408284024,0,75,55,595,0
git@github.com:doctrine/DoctrineCacheBundle.git,1.3.5,4106,1016,143,0.85%,4.2764705882353,0,75,55,595,0
