repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:doctrine/cache.git,v1.2.0,3191,1154,98,0.00%,3.1445086705202,0,184,110,35,0
git@github.com:doctrine/cache.git,v1.3.0,3197,1157,101,0.00%,3.1618497109827,0,184,110,37,0
git@github.com:doctrine/cache.git,v1.3.1,3208,1157,107,0.00%,3.1849710982659,0,184,110,39,0
git@github.com:doctrine/cache.git,v1.3.2,3225,1161,108,0.00%,3.2080924855491,0,184,110,40,0
git@github.com:doctrine/cache.git,v1.4.0,4164,1465,137,0.00%,3.0491071428571,0,184,110,54,0
git@github.com:doctrine/cache.git,v1.4.1,4407,1545,141,0.00%,2.9876543209877,0,184,110,54,0
git@github.com:doctrine/cache.git,v1.4.2,4499,1560,140,0.00%,3.0763052208835,0,184,110,61,0
git@github.com:doctrine/cache.git,v1.4.3,4692,1583,161,0.00%,3.2062256809339,0,184,110,84,0
git@github.com:doctrine/cache.git,v1.4.4,4724,1583,163,0.00%,3.2217898832685,0,184,110,85,0
git@github.com:doctrine/cache.git,v1.5.0,4803,1639,151,0.00%,3.1910112359551,0,184,110,82,0
git@github.com:doctrine/cache.git,v1.5.1,4835,1639,153,0.00%,3.2059925093633,0,184,110,83,0
git@github.com:doctrine/cache.git,v1.5.2,4668,1623,152,0.00%,3.031007751938,0,184,110,79,0
git@github.com:doctrine/cache.git,v1.5.3,4750,1635,154,0.00%,3.0926640926641,0,184,110,81,0
git@github.com:doctrine/cache.git,v1.5.4,4883,1655,157,0.00%,3.1578947368421,0,184,110,88,0
git@github.com:doctrine/cache.git,v1.6.0,5285,1786,171,0.00%,3.1802120141343,0,184,110,104,0
git@github.com:doctrine/cache.git,v1.6.1,5341,1806,180,0.00%,3.1643356643357,0,184,110,105,0
git@github.com:doctrine/cache.git,v1.6.2,5352,1806,179,0.00%,3.1742160278746,0,184,110,105,0
git@github.com:doctrine/cache.git,v1.7.0,6192,2053,206,0.00%,3.2782874617737,0,184,110,164,0
git@github.com:doctrine/cache.git,v1.7.1,6210,2054,206,0.00%,3.280487804878,0,184,110,174,0
git@github.com:doctrine/cache.git,v1.8.0,5998,1375,217,0.00%,3.3900293255132,0,184,110,183,0
