repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:doctrine/common.git,2.0.0,5193,2104,183,0.00%,3.2775510204082,0,282,205,160,1
git@github.com:doctrine/common.git,2.0.1,5193,2104,183,0.00%,3.2775510204082,0,282,205,160,1
git@github.com:doctrine/common.git,2.0.2,5245,2117,186,0.00%,3.285140562249,0,282,205,161,1
git@github.com:doctrine/common.git,2.1.0,7753,3011,339,0.28%,3.7302052785924,0,282,205,277,1
git@github.com:doctrine/common.git,2.1.1,7756,3011,339,0.28%,3.733137829912,0,282,205,277,1
git@github.com:doctrine/common.git,2.1.2,7835,3034,341,0.28%,3.7434402332362,0,282,205,277,1
git@github.com:doctrine/common.git,2.1.3,7836,3034,341,0.28%,3.7434402332362,0,282,205,277,1
git@github.com:doctrine/common.git,2.1.4,7836,3034,341,0.28%,3.7434402332362,0,282,205,277,1
git@github.com:doctrine/common.git,2.2.0,16674,5568,594,11.45%,4.7237196765499,0,282,205,527,1
git@github.com:doctrine/common.git,2.2.1,16780,5613,594,11.38%,4.6995994659546,0,282,205,528,1
git@github.com:doctrine/common.git,2.2.2,16803,5613,596,11.37%,4.7003994673768,0,282,205,528,1
git@github.com:doctrine/common.git,2.2.3,16811,5614,597,11.36%,4.7030625832224,0,282,205,528,1
git@github.com:doctrine/common.git,2.3.0,21083,7166,722,9.06%,4.160469667319,0,282,205,628,1
git@github.com:doctrine/common.git,v2.4.0,12243,4856,374,0.16%,2.7140287769784,0,282,205,403,1
git@github.com:doctrine/common.git,v2.4.1,12243,4856,374,0.16%,2.7140287769784,0,282,205,403,1
git@github.com:doctrine/common.git,v2.4.2,12342,4890,370,0.16%,2.7518115942029,0,282,205,397,1
git@github.com:doctrine/common.git,v2.4.3,12343,4890,370,0.16%,2.7536231884058,0,282,205,397,1
git@github.com:doctrine/common.git,v2.5.0,12965,5002,375,0.15%,2.7289562289562,0,282,205,415,2
git@github.com:doctrine/common.git,v2.5.1,12966,5002,375,0.15%,2.7306397306397,0,282,205,415,2
git@github.com:doctrine/common.git,v2.5.2,12993,5002,376,0.15%,2.7495798319328,0,282,205,415,2
git@github.com:doctrine/common.git,v2.5.3,13021,5003,377,0.15%,2.7554438860972,0,282,205,415,2
git@github.com:doctrine/common.git,v2.6.0,13166,5032,383,0.17%,2.7269736842105,0,282,205,428,2
git@github.com:doctrine/common.git,v2.6.1,13194,5033,384,0.17%,2.7327868852459,0,282,205,428,2
git@github.com:doctrine/common.git,v2.6.2,13250,5038,385,0.17%,2.7483660130719,0,282,205,439,2
git@github.com:doctrine/common.git,v2.7.0,14561,5427,442,0.32%,2.6918604651163,0,282,205,473,2
git@github.com:doctrine/common.git,v2.7.1,14644,5469,438,0.31%,2.6743515850144,0,282,205,469,2
git@github.com:doctrine/common.git,v2.7.2,14790,5545,432,0.86%,2.6352112676056,0,282,205,466,2
git@github.com:doctrine/common.git,v2.7.3,14818,5553,433,0.86%,2.6357243319269,0,282,205,465,2
git@github.com:doctrine/common.git,v2.8.0,14848,5548,414,0.86%,2.6295264623955,0,282,205,465,2
git@github.com:doctrine/common.git,v2.8.1,14918,5561,415,0.85%,2.6301939058172,0,282,205,465,2
git@github.com:doctrine/common.git,v2.9.0,6455,1680,215,1.97%,2.9762711864407,0,282,205,254,2
git@github.com:doctrine/common.git,v2.10.0,6404,1643,215,1.98%,2.9762711864407,0,282,205,254,2
