repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:doctrine/dbal.git,2.0.0,28175,9230,1496,0.14%,3.0353874313606,0,934,464,872,0
git@github.com:doctrine/dbal.git,2.0.1,28188,9233,1496,0.14%,3.0359756097561,0,934,464,872,0
git@github.com:doctrine/dbal.git,2.0.2,24177,7693,1163,0.17%,3,0,934,464,721,0
git@github.com:doctrine/dbal.git,2.0.3,24204,7707,1165,0.17%,3,0,934,464,721,0
git@github.com:doctrine/dbal.git,2.0.4,24259,7714,1170,0.16%,3.0135869565217,0,934,464,727,0
git@github.com:doctrine/dbal.git,2.0.5,24262,7714,1171,0.16%,3.0142663043478,0,934,464,727,0
git@github.com:doctrine/dbal.git,2.0.6,24278,7725,1171,0.16%,3.0128988458927,0,934,464,727,0
git@github.com:doctrine/dbal.git,2.0.7,24354,7743,1177,0.16%,3.0216802168022,0,934,464,732,0
git@github.com:doctrine/dbal.git,2.0.8,24368,7743,1178,0.16%,3.020297699594,0,934,464,738,0
git@github.com:doctrine/dbal.git,2.0.9,24372,7743,1179,0.16%,3.021650879567,0,934,464,738,0
git@github.com:doctrine/dbal.git,2.1.0,28839,8914,1166,0.16%,2.8834391229083,0,934,464,1161,0
git@github.com:doctrine/dbal.git,2.1.1,28948,8928,1173,0.16%,2.9010356731876,0,934,464,1163,0
git@github.com:doctrine/dbal.git,2.1.2,28962,8929,1174,0.16%,2.9,0,934,464,1169,0
git@github.com:doctrine/dbal.git,2.1.3,29147,8959,1178,0.22%,2.9147597254005,0,934,464,1187,0
git@github.com:doctrine/dbal.git,2.1.5,29251,8974,1188,0.22%,2.9246145059966,0,934,464,1208,0
git@github.com:doctrine/dbal.git,2.1.6,29409,8981,1194,0.21%,2.93125,0,934,464,1217,0
git@github.com:doctrine/dbal.git,2.1.7,29437,8982,1199,0.16%,2.9318955732123,0,934,464,1218,0
git@github.com:doctrine/dbal.git,2.2.0,35118,10794,1433,0.43%,3.0154813739719,0,934,464,1411,0
git@github.com:doctrine/dbal.git,2.2.1,35119,10794,1433,0.43%,3.0154813739719,0,934,464,1411,0
git@github.com:doctrine/dbal.git,2.2.2,35226,10807,1442,0.43%,3.0294543698696,0,934,464,1416,0
git@github.com:doctrine/dbal.git,2.3.0,41564,12404,1751,0.53%,3.1239424703892,0,934,464,1610,0
git@github.com:doctrine/dbal.git,2.3.1,41754,12422,1761,0.54%,3.1063919259882,0,934,464,1616,0
git@github.com:doctrine/dbal.git,2.3.2,41808,12427,1767,0.54%,3.1138655462185,0,934,464,1625,0
git@github.com:doctrine/dbal.git,2.3.3,41830,12435,1764,0.54%,3.1104577908442,0,934,464,1620,0
git@github.com:doctrine/dbal.git,2.3.4,42154,12501,1775,0.54%,3.115336397827,0,934,464,1630,0
git@github.com:doctrine/dbal.git,v2.3.5,42226,12507,1777,0.56%,3.1203007518797,0,934,464,1657,0
git@github.com:doctrine/dbal.git,v2.4.0,47127,15176,1966,0.48%,3.2464114832536,0,934,464,1742,0
git@github.com:doctrine/dbal.git,v2.4.1,47166,15176,1966,0.51%,3.2502989238741,0,934,464,1768,0
git@github.com:doctrine/dbal.git,v2.4.2,47692,15240,1979,0.52%,3.2944664031621,0,934,464,1798,0
git@github.com:doctrine/dbal.git,v2.4.3,48127,15351,1991,0.51%,3.2992156862745,0,934,464,1805,0
git@github.com:doctrine/dbal.git,v2.4.4,48359,15399,2001,0.51%,3.2866043613707,0,934,464,1805,0
git@github.com:doctrine/dbal.git,v2.4.5,48783,15484,2017,0.50%,3.2938223938224,0,934,464,1838,0
git@github.com:doctrine/dbal.git,v2.5.0,67500,19692,2784,0.88%,3.4647967945049,0,934,464,2664,0
git@github.com:doctrine/dbal.git,v2.5.1,68649,19936,2829,0.87%,3.4729312762973,0,934,464,2701,0
git@github.com:doctrine/dbal.git,v2.5.2,69489,20086,2873,0.86%,3.481163434903,0,934,464,2739,0
git@github.com:doctrine/dbal.git,v2.5.3,69628,20115,2874,0.86%,3.491844069671,0,934,464,2740,0
git@github.com:doctrine/dbal.git,v2.5.4,69657,20118,2874,0.86%,3.493642896628,0,934,464,2742,0
git@github.com:doctrine/dbal.git,v2.5.5,71408,20478,2902,0.84%,3.4765980208612,0,934,464,2779,0
git@github.com:doctrine/dbal.git,v2.5.6,71408,20478,2902,0.84%,3.4765980208612,0,934,464,2779,0
