repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:doctrine/doctrine2.git,2.0.0,67857,20794,3363,1.42%,4.5884603124004,0,2025,794,2562,1
git@github.com:doctrine/doctrine2.git,2.0.1,68615,20979,3395,1.41%,4.5926275992439,0,2025,794,2614,1
git@github.com:doctrine/doctrine2.git,2.0.2,63804,19166,2923,1.51%,4.6499498495486,0,2025,794,2543,1
git@github.com:doctrine/doctrine2.git,2.0.3,63804,19166,2923,1.51%,4.6499498495486,0,2025,794,2543,1
git@github.com:doctrine/doctrine2.git,2.0.4,64228,19244,2941,1.50%,4.6645632680173,0,2025,794,2583,1
git@github.com:doctrine/doctrine2.git,2.0.5,64431,19280,2939,1.52%,4.6708609271523,0,2025,794,2602,1
git@github.com:doctrine/doctrine2.git,2.0.6,64999,19403,2948,1.51%,4.6906403940887,0,2025,794,2643,1
git@github.com:doctrine/doctrine2.git,2.0.7,65206,19433,2962,1.50%,4.6971185330714,0,2025,794,2649,1
git@github.com:doctrine/doctrine2.git,2.1.0,71083,21046,3256,1.35%,4.7486486486486,0,2025,794,2876,1
git@github.com:doctrine/doctrine2.git,2.1.1,72099,21289,3280,1.32%,4.7654723127036,0,2025,794,2945,1
git@github.com:doctrine/doctrine2.git,2.1.2,72776,21427,3297,1.31%,4.7794419970631,0,2025,794,3006,1
git@github.com:doctrine/doctrine2.git,2.1.3,73989,21659,3333,1.34%,4.7835885582202,0,2025,794,3073,1
git@github.com:doctrine/doctrine2.git,2.1.4,74132,21704,3334,1.33%,4.7783222830787,0,2025,794,3082,1
git@github.com:doctrine/doctrine2.git,2.1.5,74707,21800,3345,1.32%,4.7993119266055,0,2025,794,3139,1
git@github.com:doctrine/doctrine2.git,2.1.6,74904,21846,3359,1.32%,4.8009722619388,0,2025,794,3154,1
git@github.com:doctrine/doctrine2.git,2.1.7,75496,22024,3384,1.31%,4.8146147284618,0,2025,794,3198,1
git@github.com:doctrine/doctrine2.git,2.2.0,89155,25825,3675,1.68%,4.8761388820488,0,2025,794,3348,1
git@github.com:doctrine/doctrine2.git,2.2.1,89967,26001,3708,1.67%,4.9027132730384,0,2025,794,3441,1
git@github.com:doctrine/doctrine2.git,2.2.2,90600,26238,3736,1.66%,4.90141187926,0,2025,794,3465,1
git@github.com:doctrine/doctrine2.git,2.2.3,91078,26316,3758,1.67%,4.9139811000727,0,2025,794,3481,1
git@github.com:doctrine/doctrine2.git,2.3.0,101239,29123,3982,1.74%,5.002688774367,0,2025,794,3793,1
git@github.com:doctrine/doctrine2.git,2.3.1,101955,29266,3994,1.72%,5.0158093965709,0,2025,794,3833,1
git@github.com:doctrine/doctrine2.git,2.3.2,102208,29304,3999,1.72%,5.0119787045253,0,2025,794,3846,1
git@github.com:doctrine/doctrine2.git,2.3.3,102630,29366,4008,1.71%,5.0154627788823,0,2025,794,3878,1
git@github.com:doctrine/doctrine2.git,2.3.4,103202,29492,4015,1.71%,5.0230819960431,0,2025,794,3945,1
git@github.com:doctrine/doctrine2.git,2.3.5,104299,29718,4041,1.69%,5.0276327241079,0,2025,794,4068,1
git@github.com:doctrine/doctrine2.git,v2.3.6,104501,29777,4049,1.68%,5.0188720173536,0,2025,794,4080,1
git@github.com:doctrine/doctrine2.git,v2.4.0,116169,35185,4197,1.66%,5.0330360762059,0,2025,794,4344,2
git@github.com:doctrine/doctrine2.git,v2.4.1,116554,35258,4206,1.65%,5.036775106082,0,2025,794,4392,2
git@github.com:doctrine/doctrine2.git,v2.4.2,117163,35406,4219,1.65%,5.0329581993569,0,2025,794,4447,2
git@github.com:doctrine/doctrine2.git,v2.4.3,117759,35573,4232,1.64%,5.028971028971,0,2025,794,4486,2
git@github.com:doctrine/doctrine2.git,v2.4.4,117830,35581,4236,1.64%,5.0303514376997,0,2025,794,4494,2
git@github.com:doctrine/doctrine2.git,v2.4.5,117830,35581,4236,1.64%,5.0303514376997,0,2025,794,4494,2
git@github.com:doctrine/doctrine2.git,v2.4.6,117859,35588,4237,1.64%,5.0295409181637,0,2025,794,4498,2
git@github.com:doctrine/doctrine2.git,v2.4.7,118080,35672,4239,1.63%,5.0309072781655,0,2025,794,4503,2
git@github.com:doctrine/doctrine2.git,v2.4.8,118717,35816,4254,1.62%,5.0428826682549,0,2025,794,4522,2
git@github.com:doctrine/doctrine2.git,v2.5.0,154721,44440,5131,1.73%,5.271285604311,0,2025,794,6125,2
git@github.com:doctrine/doctrine2.git,v2.5.1,155169,44525,5135,1.74%,5.2760368663594,0,2025,794,6161,2
git@github.com:doctrine/doctrine2.git,v2.5.2,155521,44642,5139,1.74%,5.2693427301976,0,2025,794,6187,2
git@github.com:doctrine/doctrine2.git,v2.5.3,155677,44698,5143,1.74%,5.2688715357526,0,2025,794,6198,2
git@github.com:doctrine/doctrine2.git,v2.5.4,155743,44702,5143,1.73%,5.2704315886134,0,2025,794,6204,2
git@github.com:doctrine/doctrine2.git,v2.5.5,156452,44861,5152,1.73%,5.2766768292683,0,2025,794,6271,2
git@github.com:doctrine/doctrine2.git,v2.5.6,156791,44931,5154,1.73%,5.2846048423938,0,2025,794,6274,2
git@github.com:doctrine/doctrine2.git,v2.5.7,157535,45103,5156,1.72%,5.2899255432305,0,2025,794,6343,2
git@github.com:doctrine/doctrine2.git,v2.5.8,157535,45103,5156,1.72%,5.2899255432305,0,2025,794,6343,2
git@github.com:doctrine/doctrine2.git,v2.5.9,157635,45117,5157,1.72%,5.2910085054678,0,2025,794,6348,2
git@github.com:doctrine/doctrine2.git,v2.5.10,157631,45118,5157,1.72%,5.2910085054678,0,2025,794,6348,2
git@github.com:doctrine/doctrine2.git,v2.5.11,157631,45118,5157,1.72%,5.2910085054678,0,2025,794,6348,2
git@github.com:doctrine/doctrine2.git,v2.5.12,157631,45118,5157,1.72%,5.2910085054678,0,2025,794,6348,2
git@github.com:doctrine/doctrine2.git,v2.5.13,158178,45220,5167,1.71%,5.2867502643904,0,2025,794,6374,2
git@github.com:doctrine/doctrine2.git,v2.5.14,158200,45223,5169,1.71%,5.2870090634441,0,2025,794,6375,2
git@github.com:doctrine/doctrine2.git,v2.6.0,167269,46405,5226,1.68%,5.2380748357612,0,2025,794,6758,1
git@github.com:doctrine/doctrine2.git,v2.6.1,168208,46673,5238,1.67%,5.2364980102331,0,2025,794,6853,1
git@github.com:doctrine/doctrine2.git,v2.6.2,168464,46714,5245,1.66%,5.2333995459705,0,2025,794,6875,1
git@github.com:doctrine/doctrine2.git,v2.6.3,169017,46849,5248,1.66%,5.2357102433503,0,2025,794,6923,1
