repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:doctrine/migrations.git,v1.0.0,6856,1838,244,0.00%,4.2570532915361,0,278,145,377,12
git@github.com:doctrine/migrations.git,v1.1.0,7864,2068,266,0.00%,4.0670241286863,0,278,145,402,12
git@github.com:doctrine/migrations.git,v1.2.0,8119,2141,274,0.00%,4.109375,0,278,145,415,13
git@github.com:doctrine/migrations.git,v1.2.1,8148,2141,274,0.00%,4.1010362694301,0,278,145,415,13
git@github.com:doctrine/migrations.git,v1.2.2,8214,2148,277,0.00%,4.1025641025641,0,278,145,417,13
git@github.com:doctrine/migrations.git,v1.3.0,9290,2402,306,0.00%,3.8147321428571,0,278,145,431,13
git@github.com:doctrine/migrations.git,v1.3.1,9357,2413,307,0.00%,3.7836644591611,0,278,145,425,13
git@github.com:doctrine/migrations.git,v1.4.0,9422,2414,311,0.00%,3.8043956043956,0,278,145,427,13
git@github.com:doctrine/migrations.git,1.4.1,9422,2414,311,0.00%,3.8043956043956,0,278,145,427,13
git@github.com:doctrine/migrations.git,v1.5.0,10793,2571,329,0.00%,3.7267552182163,0,278,145,526,13
git@github.com:doctrine/migrations.git,v1.6.0,10896,1817,338,0.00%,3.7766323024055,0,278,145,559,15
git@github.com:doctrine/migrations.git,v1.6.1,10896,1817,338,0.00%,3.7766323024055,0,278,145,559,15
git@github.com:doctrine/migrations.git,v1.6.2,10896,1817,338,0.00%,3.7766323024055,0,278,145,559,15
git@github.com:doctrine/migrations.git,v1.7.0,11135,1818,344,0.00%,3.7979966611018,0,278,145,597,15
git@github.com:doctrine/migrations.git,v1.7.1,11156,1818,345,0.00%,3.7979966611018,0,278,145,600,15
git@github.com:doctrine/migrations.git,v1.7.2,11156,1818,345,0.00%,3.7979966611018,0,278,145,600,15
git@github.com:doctrine/migrations.git,v1.8.0,18366,1423,457,1.51%,3.8649885583524,0,278,145,1577,6
git@github.com:doctrine/migrations.git,v1.8.1,11172,1819,346,0.00%,3.7996661101836,0,278,145,600,15
git@github.com:doctrine/migrations.git,v2.0.0,18547,1436,455,1.49%,3.8728717366629,0,278,145,1589,6
