repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:drupal/drupal.git,3.0.0,904,49,118,0.00%,0,0,1625,126,52,0
git@github.com:drupal/drupal.git,3.0.1,373,46,39,0.00%,0,0,1625,126,14,8
git@github.com:drupal/drupal.git,3.0.2,904,49,118,0.00%,0,0,1625,126,52,0
git@github.com:drupal/drupal.git,4.0.0,988,98,71,0.00%,0,0,1625,126,47,0
git@github.com:drupal/drupal.git,4.1.0,1165,113,77,0.00%,0,0,1625,126,48,0
git@github.com:drupal/drupal.git,4.2.0,1175,124,66,0.00%,0,0,1625,126,39,0
git@github.com:drupal/drupal.git,4.3.0,912,127,55,0.00%,0,0,1625,126,38,0
git@github.com:drupal/drupal.git,4.3.1,912,127,55,0.00%,0,0,1625,126,38,0
git@github.com:drupal/drupal.git,4.3.2,912,127,55,0.00%,0,0,1625,126,38,0
git@github.com:drupal/drupal.git,4.4.0,280,75,14,0.00%,0,0,1625,126,7,0
git@github.com:drupal/drupal.git,4.4.1,280,75,14,0.00%,0,0,1625,126,7,0
git@github.com:drupal/drupal.git,4.4.2,280,75,14,0.00%,0,0,1625,126,7,0
git@github.com:drupal/drupal.git,4.4.3,280,75,14,0.00%,0,0,1625,126,7,0
git@github.com:drupal/drupal.git,4.5.0,343,80,16,0.00%,0,0,1625,126,7,0
git@github.com:drupal/drupal.git,4.5.1,343,80,16,0.00%,0,0,1625,126,7,0
git@github.com:drupal/drupal.git,4.5.2,355,82,19,0.00%,0,0,1625,126,9,0
git@github.com:drupal/drupal.git,4.5.3,355,82,19,0.00%,0,0,1625,126,9,0
git@github.com:drupal/drupal.git,4.5.4,355,82,19,0.00%,0,0,1625,126,9,0
git@github.com:drupal/drupal.git,4.5.5,352,82,19,0.00%,0,0,1625,126,9,0
git@github.com:drupal/drupal.git,4.5.6,352,82,19,0.00%,0,0,1625,126,9,0
git@github.com:drupal/drupal.git,4.5.7,352,82,19,0.00%,0,0,1625,126,9,0
git@github.com:drupal/drupal.git,4.5.8,352,82,19,0.00%,0,0,1625,126,9,0
git@github.com:drupal/drupal.git,4.6.0,440,150,19,0.00%,0,0,1625,126,9,0
git@github.com:drupal/drupal.git,4.6.1,440,150,19,0.00%,0,0,1625,126,9,0
git@github.com:drupal/drupal.git,4.6.2,440,150,19,0.00%,0,0,1625,126,9,0
git@github.com:drupal/drupal.git,4.6.3,437,150,19,0.00%,0,0,1625,126,9,0
git@github.com:drupal/drupal.git,4.6.4,437,150,19,0.00%,0,0,1625,126,9,0
git@github.com:drupal/drupal.git,4.6.5,437,150,19,0.00%,0,0,1625,126,9,0
git@github.com:drupal/drupal.git,4.6.6,437,150,19,0.00%,0,0,1625,126,9,0
git@github.com:drupal/drupal.git,4.6.7,437,150,19,0.00%,0,0,1625,126,9,0
git@github.com:drupal/drupal.git,4.6.8,437,150,19,0.00%,0,0,1625,126,9,0
git@github.com:drupal/drupal.git,4.6.9,437,150,19,0.00%,0,0,1625,126,9,0
git@github.com:drupal/drupal.git,4.6.10,441,151,19,0.00%,0,0,1625,126,9,0
git@github.com:drupal/drupal.git,4.6.11,441,151,19,0.00%,0,0,1625,126,9,0
git@github.com:drupal/drupal.git,4.7.0,1228,325,142,0.00%,0,0,1625,126,28,0
git@github.com:drupal/drupal.git,4.7.1,1228,325,142,0.00%,0,0,1625,126,28,0
git@github.com:drupal/drupal.git,4.7.2,1228,325,142,0.00%,0,0,1625,126,28,0
git@github.com:drupal/drupal.git,4.7.3,1228,325,142,0.00%,0,0,1625,126,28,0
git@github.com:drupal/drupal.git,4.7.4,1235,326,143,0.00%,0,0,1625,126,29,0
git@github.com:drupal/drupal.git,4.7.5,1236,327,144,0.00%,0,0,1625,126,30,0
git@github.com:drupal/drupal.git,4.7.6,1249,333,146,0.00%,0,0,1625,126,30,0
git@github.com:drupal/drupal.git,4.7.7,1261,344,146,0.00%,0,0,1625,126,30,0
git@github.com:drupal/drupal.git,4.7.8,1261,344,146,0.00%,0,0,1625,126,30,0
git@github.com:drupal/drupal.git,4.7.9,1261,344,146,0.00%,0,0,1625,126,30,0
git@github.com:drupal/drupal.git,4.7.10,1261,344,146,0.00%,0,0,1625,126,30,0
git@github.com:drupal/drupal.git,4.7.11,1261,344,146,0.00%,0,0,1625,126,30,0
git@github.com:drupal/drupal.git,8.0.0,1127672,399097,44442,1.13%,5.1882014219402,0,1625,126,51942,1
git@github.com:drupal/drupal.git,8.0.1,1128212,399296,44446,1.13%,5.1891352224343,0,1625,126,51987,1
git@github.com:drupal/drupal.git,8.0.2,1131048,400490,44487,1.13%,5.1943825495485,0,1625,126,52104,1
git@github.com:drupal/drupal.git,8.0.3,1133431,401264,44543,1.13%,5.2013817734711,0,1625,126,52206,1
git@github.com:drupal/drupal.git,8.0.4,1133622,401332,44555,1.13%,5.2020899803881,0,1625,126,52211,1
git@github.com:drupal/drupal.git,8.0.5,1137025,402401,44623,1.13%,5.2171880933602,0,1625,126,46029,1
git@github.com:drupal/drupal.git,8.0.6,1138631,402929,44668,1.15%,5.2215705156264,0,1625,126,46173,1
git@github.com:drupal/drupal.git,8.1.0,858340,280839,25978,1.26%,5.9875520417175,0,1625,126,34469,1
git@github.com:drupal/drupal.git,8.1.1,859792,281236,25999,1.26%,5.9958852920183,0,1625,126,34523,1
git@github.com:drupal/drupal.git,8.1.2,863125,281970,26057,1.25%,6.0023443714154,0,1625,126,34672,1
git@github.com:drupal/drupal.git,8.1.3,863188,281991,26058,1.25%,6.0022185943321,0,1625,126,34673,1
git@github.com:drupal/drupal.git,8.1.4,868450,283946,26169,1.25%,6.004033096337,0,1625,126,34904,1
git@github.com:drupal/drupal.git,8.1.5,868450,283946,26169,1.25%,6.004033096337,0,1625,126,34904,1
git@github.com:drupal/drupal.git,8.1.6,868460,283954,26169,1.25%,6.004033096337,0,1625,126,34904,1
