repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:drush-ops/drush.git,2.0.0,278,127,26,0.00%,0,0,932,411,9,0
git@github.com:drush-ops/drush.git,2.1.0,458,259,26,0.00%,0,0,932,411,9,0
git@github.com:drush-ops/drush.git,3.0.0,705,480,29,0.00%,0,0,932,411,9,0
git@github.com:drush-ops/drush.git,3.1.0,715,489,29,0.00%,0,0,932,411,9,0
git@github.com:drush-ops/drush.git,3.2.0,715,489,29,0.00%,0,0,932,411,9,0
git@github.com:drush-ops/drush.git,3.3.0,715,489,29,0.00%,0,0,932,411,9,0
git@github.com:drush-ops/drush.git,4.0.0,946,660,35,0.00%,0,0,932,411,10,0
git@github.com:drush-ops/drush.git,4.1.0,946,660,35,0.00%,0,0,932,411,10,0
git@github.com:drush-ops/drush.git,4.2.0,949,660,36,0.00%,0,0,932,411,11,0
git@github.com:drush-ops/drush.git,4.3.0,976,676,36,0.00%,0,0,932,411,11,0
git@github.com:drush-ops/drush.git,4.4.0,976,676,36,0.00%,0,0,932,411,11,0
git@github.com:drush-ops/drush.git,4.5.0,2027,944,49,0.00%,13.689655172414,0,932,411,30,0
git@github.com:drush-ops/drush.git,4.6.0,2178,993,50,0.00%,14.58064516129,0,932,411,29,0
git@github.com:drush-ops/drush.git,5.0.0,3969,1473,86,0.00%,9.18,0,932,411,56,0
git@github.com:drush-ops/drush.git,5.1.0,3972,1473,86,0.00%,9.18,0,932,411,56,0
git@github.com:drush-ops/drush.git,5.2.0,4094,1500,90,0.00%,9.2019230769231,0,932,411,57,0
git@github.com:drush-ops/drush.git,5.3.0,4144,1500,95,0.00%,9.2884615384615,0,932,411,59,0
git@github.com:drush-ops/drush.git,5.4.0,4144,1500,95,0.00%,9.2884615384615,0,932,411,59,0
git@github.com:drush-ops/drush.git,5.5.0,4266,1509,98,0.00%,9.2110091743119,0,932,411,63,0
git@github.com:drush-ops/drush.git,5.6.0,4266,1509,98,0.00%,9.2110091743119,0,932,411,63,0
git@github.com:drush-ops/drush.git,5.7.0,4266,1509,98,0.00%,9.2110091743119,0,932,411,63,0
git@github.com:drush-ops/drush.git,5.8.0,4424,1588,102,0.00%,9.1578947368421,0,932,411,62,0
git@github.com:drush-ops/drush.git,5.9.0,4588,1673,104,0.00%,8.8842975206612,0,932,411,64,0
git@github.com:drush-ops/drush.git,5.10.0,4725,1701,108,0.00%,8.9354838709677,0,932,411,68,0
git@github.com:drush-ops/drush.git,5.11.0,4727,1707,108,0.00%,8.9032258064516,0,932,411,67,0
git@github.com:drush-ops/drush.git,6.0.0,8710,2771,405,0.00%,7.7380952380952,0,932,411,215,0
git@github.com:drush-ops/drush.git,6.1.0,8661,2758,404,0.00%,7.7011952191235,0,932,411,214,0
git@github.com:drush-ops/drush.git,6.2.0,8675,2765,406,0.00%,7.7250996015936,0,932,411,213,0
git@github.com:drush-ops/drush.git,6.3.0,8709,2771,408,0.00%,7.7848605577689,0,932,411,217,0
git@github.com:drush-ops/drush.git,6.4.0,8743,2805,408,0.00%,7.7848605577689,0,932,411,217,0
git@github.com:drush-ops/drush.git,6.5.0,8773,2815,408,0.00%,7.7738095238095,0,932,411,217,0
git@github.com:drush-ops/drush.git,6.6.0,8797,2820,408,0.00%,7.7747035573123,0,932,411,217,0
git@github.com:drush-ops/drush.git,6.7.0,8797,2820,408,0.00%,7.7747035573123,0,932,411,217,0
git@github.com:drush-ops/drush.git,7.0.0,13569,4357,752,0.00%,6.1185468451243,0,932,411,367,0
git@github.com:drush-ops/drush.git,7.1.0,13682,4390,767,0.00%,6.1615969581749,0,932,411,377,0
git@github.com:drush-ops/drush.git,7.2.0,13893,4464,785,0.00%,6.2296015180266,0,932,411,380,0
git@github.com:drush-ops/drush.git,7.3.0,13923,4474,792,0.00%,6.2447817836812,0,932,411,382,0
git@github.com:drush-ops/drush.git,7.4.0,13932,4476,792,0.00%,6.2542694497154,0,932,411,382,0
git@github.com:drush-ops/drush.git,8.0.0,14349,4585,835,0.00%,6.0140845070423,0,932,411,415,0
git@github.com:drush-ops/drush.git,8.0.1,14315,4555,835,0.00%,6.0140845070423,0,932,411,415,0
