repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:easy-swoole/easyswoole.git,v2.0.1,9168,1504,714,0.00%,2.9304207119741,0,272,22,473,0
git@github.com:easy-swoole/easyswoole.git,v2.0.2,10805,1662,906,0.24%,3.1783166904422,0,272,22,570,0
git@github.com:easy-swoole/easyswoole.git,v2.1.1,11140,1705,939,1.05%,3.2451253481894,0,272,22,600,0
git@github.com:easy-swoole/easyswoole.git,v2.1.2,11187,1746,952,1.05%,3.2653631284916,0,272,22,607,0
git@github.com:easy-swoole/easyswoole.git,v2.1.4,11211,1753,953,1.04%,3.2663877266388,0,272,22,609,0
git@github.com:easy-swoole/easyswoole.git,v2.1.5,11211,1753,953,1.04%,3.2663877266388,0,272,22,609,0
git@github.com:easy-swoole/easyswoole.git,3.0.2,1476,191,122,0.00%,2.7058823529412,0,272,22,64,0
git@github.com:easy-swoole/easyswoole.git,3.0.3,1540,198,137,0.00%,2.6901408450704,0,272,22,69,0
git@github.com:easy-swoole/easyswoole.git,3.0.4,1538,199,138,0.00%,2.6901408450704,0,272,22,70,0
git@github.com:easy-swoole/easyswoole.git,3.0.5,2128,284,188,0.00%,3,0,272,22,121,0
git@github.com:easy-swoole/easyswoole.git,3.0.6,2413,397,200,0.00%,3.1559633027523,0,272,22,124,0
git@github.com:easy-swoole/easyswoole.git,3.0.7,2612,426,221,0.00%,3.1592920353982,0,272,22,132,0
git@github.com:easy-swoole/easyswoole.git,3.0.8,3349,572,277,0.00%,3.1354838709677,0,272,22,152,0
git@github.com:easy-swoole/easyswoole.git,3.0.9,4093,665,336,1.15%,3.1020408163265,0,272,22,180,0
git@github.com:easy-swoole/easyswoole.git,3.0.10,4158,689,339,1.13%,3.1356783919598,0,272,22,181,0
git@github.com:easy-swoole/easyswoole.git,3.0.11,4260,709,346,1.10%,3.0724637681159,0,272,22,185,0
git@github.com:easy-swoole/easyswoole.git,3.1.1,2546,470,210,0.00%,3.4095238095238,0,272,22,123,0
git@github.com:easy-swoole/easyswoole.git,3.1.2,2545,475,199,0.00%,3.3333333333333,0,272,22,118,0
git@github.com:easy-swoole/easyswoole.git,3.1.3,2563,475,202,0.00%,3.3333333333333,0,272,22,118,0
git@github.com:easy-swoole/easyswoole.git,3.1.4,2225,471,160,0.00%,3.4315789473684,0,272,22,108,0
git@github.com:easy-swoole/easyswoole.git,3.1.5,2218,471,160,0.00%,3.4315789473684,0,272,22,106,0
git@github.com:easy-swoole/easyswoole.git,3.1.6,2211,466,158,0.00%,3.4574468085106,0,272,22,105,0
git@github.com:easy-swoole/easyswoole.git,3.1.7,2229,468,162,0.00%,3.5106382978723,0,272,22,108,0
