repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:elastic/elasticsearch-php.git,v0.4.0,17260,4702,340,1.22%,4.0380818053597,0,627,128,737,0
git@github.com:elastic/elasticsearch-php.git,v0.4.1,17193,4681,344,1.22%,4.0127478753541,0,627,128,738,0
git@github.com:elastic/elasticsearch-php.git,v0.4.2,17916,4792,386,1.42%,3.9671232876712,0,627,128,786,0
git@github.com:elastic/elasticsearch-php.git,v0.4.3,18080,4807,398,1.40%,3.9634146341463,0,627,128,793,0
git@github.com:elastic/elasticsearch-php.git,v0.4.4,18361,4856,412,1.55%,4.0080753701211,0,627,128,829,0
git@github.com:elastic/elasticsearch-php.git,v0.4.5,18517,4903,425,1.53%,4.0053404539386,0,627,128,829,0
git@github.com:elastic/elasticsearch-php.git,v1.0.1,22954,6539,662,1.54%,3.8166849615807,0,627,128,981,0
git@github.com:elastic/elasticsearch-php.git,v1.0.2,23283,6642,674,1.52%,3.8218142548596,0,627,128,995,0
git@github.com:elastic/elasticsearch-php.git,v1.1.0,23552,6709,688,1.50%,3.8461538461538,0,627,128,1012,0
git@github.com:elastic/elasticsearch-php.git,v1.2.0,23760,6798,697,1.49%,3.8500527983105,0,627,128,1023,0
git@github.com:elastic/elasticsearch-php.git,v1.2.1,24370,7027,711,1.70%,3.843237704918,0,627,128,1035,0
git@github.com:elastic/elasticsearch-php.git,v1.2.2,24370,7027,711,1.70%,3.843237704918,0,627,128,1035,0
git@github.com:elastic/elasticsearch-php.git,v1.3.0,24622,7097,720,1.44%,3.8438133874239,0,627,128,1044,0
git@github.com:elastic/elasticsearch-php.git,v1.3.1,24616,7100,718,1.44%,3.842799188641,0,627,128,1043,0
git@github.com:elastic/elasticsearch-php.git,v1.3.2,24617,7111,726,1.44%,3.8225152129817,0,627,128,1047,0
git@github.com:elastic/elasticsearch-php.git,v1.3.3,24740,7155,734,1.43%,3.8242424242424,0,627,128,1050,0
git@github.com:elastic/elasticsearch-php.git,v1.3.4,24919,7227,734,1.42%,3.809,0,627,128,1041,0
git@github.com:elastic/elasticsearch-php.git,v1.4.0,26326,7690,773,1.47%,3.8,0,627,128,1122,0
git@github.com:elastic/elasticsearch-php.git,v1.4.1,26336,7691,776,1.47%,3.8037914691943,0,627,128,1123,0
git@github.com:elastic/elasticsearch-php.git,v2.0.0,18383,5978,744,1.50%,3.9586563307494,0,627,128,655,0
