repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:electerious/Lychee.git,1.0.1,845,65,201,0.00%,0,0,621,33,68,1
git@github.com:electerious/Lychee.git,1.0.2,845,65,201,0.00%,0,0,621,33,68,0
git@github.com:electerious/Lychee.git,1.3.1,1063,84,271,0.00%,0,0,621,33,90,0
git@github.com:electerious/Lychee.git,1.3.2,1063,84,271,0.00%,0,0,621,33,90,0
git@github.com:electerious/Lychee.git,v1.3.2,1063,84,271,0.00%,0,0,621,33,90,0
git@github.com:electerious/Lychee.git,v2.0.1,1828,163,349,0.00%,0,0,621,33,80,0
git@github.com:electerious/Lychee.git,v2.0.2,1845,166,357,0.00%,0,0,621,33,81,0
git@github.com:electerious/Lychee.git,v2.0.3,1847,166,357,0.00%,0,0,621,33,81,0
git@github.com:electerious/Lychee.git,v2.1.1,1979,188,362,0.00%,0,0,621,33,68,0
git@github.com:electerious/Lychee.git,v2.5.5,3589,563,451,0.00%,9.7128712871287,0,621,33,142,0
git@github.com:electerious/Lychee.git,v2.5.6,3596,567,453,0.00%,9.81,0,621,33,141,0
git@github.com:electerious/Lychee.git,v2.6.1,3674,644,456,0.00%,9.77,0,621,33,140,0
git@github.com:electerious/Lychee.git,v2.6.2,4065,707,498,0.00%,10.428571428571,0,621,33,151,0
git@github.com:electerious/Lychee.git,v2.6.3,4079,709,501,0.00%,10.457142857143,0,621,33,152,0
git@github.com:electerious/Lychee.git,v2.7.0,4195,715,522,0.00%,10.716981132075,0,621,33,157,0
git@github.com:electerious/Lychee.git,v2.7.1,4173,656,528,0.00%,10.728971962617,0,621,33,157,0
git@github.com:electerious/Lychee.git,v2.7.2,4206,666,530,0.00%,10.803738317757,0,621,33,159,0
git@github.com:electerious/Lychee.git,v3.0.0,4598,811,549,0.00%,10.767857142857,0,621,33,164,0
git@github.com:electerious/Lychee.git,v3.0.1,4741,831,570,0.00%,10.964601769912,0,621,33,174,0
git@github.com:electerious/Lychee.git,v3.0.2,4748,831,572,0.00%,10.964601769912,0,621,33,174,0
git@github.com:electerious/Lychee.git,v3.0.3,4782,840,577,0.00%,10.982300884956,0,621,33,175,0
git@github.com:electerious/Lychee.git,v3.0.4,4842,853,590,0.00%,11.131578947368,0,621,33,174,0
git@github.com:electerious/Lychee.git,v3.0.5,4842,853,590,0.00%,11.131578947368,0,621,33,174,0
git@github.com:electerious/Lychee.git,v3.0.6,4860,854,595,0.00%,11.201754385965,0,621,33,174,0
git@github.com:electerious/Lychee.git,v3.0.7,4862,854,599,0.00%,11.201754385965,0,621,33,174,0
git@github.com:electerious/Lychee.git,v3.0.8,4857,854,599,0.00%,11.157894736842,0,621,33,174,0
git@github.com:electerious/Lychee.git,v3.0.9,4894,861,610,0.00%,11.175438596491,0,621,33,176,0
git@github.com:electerious/Lychee.git,v3.1.0,4782,930,556,0.00%,10.168,0,621,33,175,0
git@github.com:electerious/Lychee.git,v3.1.1,4850,953,570,0.00%,10.070866141732,0,621,33,178,0
git@github.com:electerious/Lychee.git,v3.1.2,4964,970,587,0.00%,10.236220472441,0,621,33,178,0
git@github.com:electerious/Lychee.git,v3.1.3,4980,968,591,0.00%,10.314960629921,0,621,33,180,0
git@github.com:electerious/Lychee.git,v3.1.4,4980,968,591,0.00%,10.314960629921,0,621,33,180,0
git@github.com:electerious/Lychee.git,v3.1.5,4980,968,591,0.00%,10.314960629921,0,621,33,180,0
git@github.com:electerious/Lychee.git,v3.1.6,4978,968,590,0.00%,10.307086614173,0,621,33,180,0
