repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:emojione/emojione.git,v1.0.0,186,7,6,0.00%,4.8,0,548,68,2,0
git@github.com:emojione/emojione.git,1.0.1,186,7,6,0.00%,4.8,0,548,68,2,0
git@github.com:emojione/emojione.git,v1.0.1,186,7,6,0.00%,4.8,0,548,68,2,0
git@github.com:emojione/emojione.git,v1.0.3,186,7,6,0.00%,4.8,0,548,68,2,0
git@github.com:emojione/emojione.git,v1.0.4,186,7,6,0.00%,4.8,0,548,68,2,0
git@github.com:emojione/emojione.git,v1.0.5,186,7,6,0.00%,4.8,0,548,68,2,0
git@github.com:emojione/emojione.git,v1.0.6,188,7,8,0.00%,4.4,0,548,68,2,0
git@github.com:emojione/emojione.git,v1.0.7,205,8,12,0.00%,5,0,548,68,4,0
git@github.com:emojione/emojione.git,v1.1.0,205,8,12,0.00%,5,0,548,68,4,0
git@github.com:emojione/emojione.git,v1.2.0,785,50,52,0.00%,4.5,0,548,68,80,0
git@github.com:emojione/emojione.git,v1.2.1,785,50,52,0.00%,4.5,0,548,68,80,0
git@github.com:emojione/emojione.git,v1.2.2,2725,50,52,0.00%,4.5,0,548,68,80,0
git@github.com:emojione/emojione.git,v1.2.3,2737,50,52,0.91%,4.5,0,548,68,80,0
git@github.com:emojione/emojione.git,v1.2.4,2737,50,52,0.91%,4.5,0,548,68,80,0
git@github.com:emojione/emojione.git,v1.2.5,2737,50,52,0.91%,4.5,0,548,68,80,0
git@github.com:emojione/emojione.git,v1.3.0,3149,50,52,0.79%,4.5,0,548,68,80,0
git@github.com:emojione/emojione.git,v1.3.1,3149,50,52,0.79%,4.5,0,548,68,81,0
git@github.com:emojione/emojione.git,v1.4.0,3149,50,52,0.79%,4.5,0,548,68,81,0
git@github.com:emojione/emojione.git,v1.4.1,4397,459,57,0.00%,6.9016393442623,0,548,68,120,0
git@github.com:emojione/emojione.git,v1.5.0,5292,459,57,0.00%,6.9016393442623,0,548,68,120,0
git@github.com:emojione/emojione.git,v1.5.1,5290,459,57,0.00%,6.9016393442623,0,548,68,120,0
git@github.com:emojione/emojione.git,v1.5.2,5290,459,57,0.00%,6.9016393442623,0,548,68,120,0
git@github.com:emojione/emojione.git,v2.0.0,6365,460,57,0.00%,6.8852459016393,0,548,68,119,0
git@github.com:emojione/emojione.git,v2.0.1,6367,460,57,0.00%,6.8852459016393,0,548,68,119,0
git@github.com:emojione/emojione.git,v2.1.0,6367,460,57,0.00%,6.8852459016393,0,548,68,119,0
git@github.com:emojione/emojione.git,v2.1.1,6377,460,59,0.00%,6.9180327868852,0,548,68,119,0
git@github.com:emojione/emojione.git,v2.1.2,6377,460,59,0.00%,6.9180327868852,0,548,68,119,0
git@github.com:emojione/emojione.git,v2.1.3,6377,460,59,0.00%,6.9180327868852,0,548,68,119,0
git@github.com:emojione/emojione.git,v2.1.4,6405,460,59,0.00%,6.9180327868852,0,548,68,119,0
git@github.com:emojione/emojione.git,v2.2.0,6405,460,59,0.00%,6.9180327868852,0,548,68,119,0
git@github.com:emojione/emojione.git,v2.2.1,6405,460,59,0.00%,6.9180327868852,0,548,68,119,0
git@github.com:emojione/emojione.git,v2.2.2,6405,460,59,0.00%,6.9180327868852,0,548,68,119,0
git@github.com:emojione/emojione.git,v2.2.3,6405,460,59,0.00%,6.9180327868852,0,548,68,119,0
git@github.com:emojione/emojione.git,v2.2.4,6955,460,59,0.00%,6.9180327868852,0,548,68,119,0
git@github.com:emojione/emojione.git,v2.2.5,7043,460,59,0.00%,6.9180327868852,0,548,68,119,0
git@github.com:emojione/emojione.git,v2.2.6,7031,460,59,0.00%,6.9180327868852,0,548,68,119,0
git@github.com:emojione/emojione.git,v2.2.7,7140,484,73,0.00%,6.8030303030303,0,548,68,134,0
git@github.com:emojione/emojione.git,v3.0.0,9472,453,55,0.00%,6.6153846153846,0,548,68,121,0
git@github.com:emojione/emojione.git,v3.0.1,9499,453,58,0.00%,6.7230769230769,0,548,68,130,0
git@github.com:emojione/emojione.git,v3.0.2,9516,457,68,0.00%,6.8769230769231,0,548,68,133,0
git@github.com:emojione/emojione.git,v3.0.3,9516,457,68,0.00%,6.8769230769231,0,548,68,133,0
git@github.com:emojione/emojione.git,v3.1.0,10457,457,68,0.00%,6.8769230769231,0,548,68,133,0
git@github.com:emojione/emojione.git,v3.1.1,10457,457,68,0.00%,6.8769230769231,0,548,68,133,0
git@github.com:emojione/emojione.git,3.1.2,10457,457,68,0.00%,6.8769230769231,0,548,68,133,0
git@github.com:emojione/emojione.git,3.1.3,10463,457,70,0.00%,6.9230769230769,0,548,68,134,0
git@github.com:emojione/emojione.git,3.1.4,10463,457,70,0.00%,6.9230769230769,0,548,68,134,0
git@github.com:emojione/emojione.git,3.1.5,10622,457,70,0.00%,6.9230769230769,0,548,68,134,0
git@github.com:emojione/emojione.git,3.1.6,10622,457,70,0.00%,6.9230769230769,0,548,68,134,0
git@github.com:emojione/emojione.git,3.1.7,10600,457,70,0.00%,6.9230769230769,0,548,68,134,0
git@github.com:emojione/emojione.git,4.0.0,11039,454,56,0.00%,6.71875,0,548,68,124,0
