repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:erusev/parsedown.git,0.1.0,823,76,114,0.00%,31.2,0,836,41,32,0
git@github.com:erusev/parsedown.git,0.1.1,666,78,102,0.00%,23.428571428571,0,836,41,27,0
git@github.com:erusev/parsedown.git,0.1.2,666,78,102,0.00%,23.428571428571,0,836,41,27,0
git@github.com:erusev/parsedown.git,0.1.3,667,77,104,0.00%,23.428571428571,0,836,41,27,0
git@github.com:erusev/parsedown.git,0.1.4,678,78,106,0.00%,24.285714285714,0,836,41,27,0
git@github.com:erusev/parsedown.git,0.1.5,678,78,106,0.00%,24.285714285714,0,836,41,27,0
git@github.com:erusev/parsedown.git,0.2.0,647,65,78,0.00%,26.5,0,836,41,18,0
git@github.com:erusev/parsedown.git,0.2.1,645,65,78,0.00%,26.333333333333,0,836,41,18,0
git@github.com:erusev/parsedown.git,0.3.0,700,70,86,0.00%,28.166666666667,0,836,41,18,0
git@github.com:erusev/parsedown.git,0.4.0,729,75,92,0.00%,25.285714285714,0,836,41,18,0
git@github.com:erusev/parsedown.git,0.4.1,729,75,93,0.00%,25.571428571429,0,836,41,18,0
git@github.com:erusev/parsedown.git,0.4.2,734,75,93,0.00%,25.714285714286,0,836,41,18,0
git@github.com:erusev/parsedown.git,0.4.3,731,75,97,0.00%,30,0,836,41,18,0
git@github.com:erusev/parsedown.git,0.4.4,731,75,98,0.00%,30,0,836,41,18,0
git@github.com:erusev/parsedown.git,0.4.5,731,75,98,0.00%,30,0,836,41,18,0
git@github.com:erusev/parsedown.git,0.4.6,741,74,100,0.00%,30.333333333333,0,836,41,18,0
git@github.com:erusev/parsedown.git,0.4.7,741,74,100,0.00%,30.333333333333,0,836,41,18,0
git@github.com:erusev/parsedown.git,0.4.8,741,74,100,0.00%,30.333333333333,0,836,41,18,0
git@github.com:erusev/parsedown.git,0.5.0,842,81,115,0.00%,33.333333333333,0,836,41,18,0
git@github.com:erusev/parsedown.git,0.6.0,838,79,111,0.00%,33.833333333333,0,836,41,18,0
git@github.com:erusev/parsedown.git,0.7.0,849,78,113,0.00%,34.166666666667,0,836,41,18,0
git@github.com:erusev/parsedown.git,0.7.1,850,78,113,0.00%,34.166666666667,0,836,41,18,0
git@github.com:erusev/parsedown.git,0.7.2,855,78,116,0.00%,34.666666666667,0,836,41,18,0
git@github.com:erusev/parsedown.git,0.7.3,855,78,116,0.00%,34.666666666667,0,836,41,18,0
git@github.com:erusev/parsedown.git,0.7.4,855,74,117,0.00%,34.833333333333,0,836,41,18,0
git@github.com:erusev/parsedown.git,0.7.5,859,75,117,0.00%,35,0,836,41,18,0
git@github.com:erusev/parsedown.git,0.7.6,856,75,114,0.00%,34.833333333333,0,836,41,18,0
git@github.com:erusev/parsedown.git,0.7.7,881,75,118,0.00%,35.5,0,836,41,20,0
git@github.com:erusev/parsedown.git,0.8.0,1044,67,144,0.00%,36.857142857143,0,836,41,32,0
git@github.com:erusev/parsedown.git,0.8.1,1046,64,146,0.00%,36.857142857143,0,836,41,32,0
git@github.com:erusev/parsedown.git,0.8.2,1081,66,149,0.00%,37.857142857143,0,836,41,32,0
git@github.com:erusev/parsedown.git,0.8.3,1086,63,145,0.00%,38.857142857143,0,836,41,32,0
git@github.com:erusev/parsedown.git,0.9.0,1108,62,150,0.00%,40.285714285714,0,836,41,33,0
git@github.com:erusev/parsedown.git,0.9.1,1161,67,149,0.00%,41.428571428571,0,836,41,35,0
git@github.com:erusev/parsedown.git,0.9.2,1189,67,151,0.00%,37.75,0,836,41,36,0
git@github.com:erusev/parsedown.git,0.9.3,1191,67,152,0.00%,37.875,0,836,41,36,0
git@github.com:erusev/parsedown.git,0.9.4,1191,67,152,0.00%,37.875,0,836,41,36,0
git@github.com:erusev/parsedown.git,1.0.0,1470,120,139,0.00%,6.4222222222222,0,836,41,43,0
git@github.com:erusev/parsedown.git,1.0.1,1469,119,139,0.00%,6.4222222222222,0,836,41,43,0
git@github.com:erusev/parsedown.git,1.1.0,1556,127,142,0.00%,6.1836734693878,0,836,41,46,0
git@github.com:erusev/parsedown.git,1.1.1,1571,127,143,0.00%,6.2040816326531,0,836,41,46,0
git@github.com:erusev/parsedown.git,1.1.2,1578,127,144,0.00%,6.2448979591837,0,836,41,46,0
git@github.com:erusev/parsedown.git,1.1.3,1578,127,144,0.00%,6.2448979591837,0,836,41,46,0
git@github.com:erusev/parsedown.git,1.1.4,1578,127,144,0.00%,6.2448979591837,0,836,41,46,0
git@github.com:erusev/parsedown.git,1.2.0,1804,142,163,0.00%,6.4285714285714,0,836,41,55,0
git@github.com:erusev/parsedown.git,1.3.0,1761,142,155,0.00%,6.25,0,836,41,52,0
git@github.com:erusev/parsedown.git,1.4.0,1755,141,153,0.00%,6.2857142857143,0,836,41,53,0
git@github.com:erusev/parsedown.git,1.4.1,1755,141,152,0.00%,6.2857142857143,0,836,41,53,0
git@github.com:erusev/parsedown.git,1.4.2,1759,141,153,0.00%,6.2857142857143,0,836,41,52,0
git@github.com:erusev/parsedown.git,1.4.3,1760,141,153,0.00%,6.3035714285714,0,836,41,52,0
git@github.com:erusev/parsedown.git,1.4.4,1759,141,153,0.00%,6.2857142857143,0,836,41,52,0
git@github.com:erusev/parsedown.git,1.4.5,1764,141,155,0.00%,6.3035714285714,0,836,41,52,0
git@github.com:erusev/parsedown.git,1.5.0,1750,129,165,0.00%,6.6730769230769,0,836,41,51,0
git@github.com:erusev/parsedown.git,1.5.1,1743,127,165,0.00%,6.6538461538462,0,836,41,51,0
git@github.com:erusev/parsedown.git,1.5.2,1743,127,165,0.00%,6.6538461538462,0,836,41,51,0
git@github.com:erusev/parsedown.git,1.5.3,1743,127,165,0.00%,6.6538461538462,0,836,41,51,0
git@github.com:erusev/parsedown.git,1.5.4,1743,133,165,0.00%,6.5961538461538,0,836,41,51,0
git@github.com:erusev/parsedown.git,1.6.0,1768,135,165,0.00%,6.6603773584906,0,836,41,51,0
git@github.com:erusev/parsedown.git,1.6.1,1788,135,167,0.00%,6.4909090909091,0,836,41,52,0
git@github.com:erusev/parsedown.git,1.6.2,1793,135,169,0.00%,6.4727272727273,0,836,41,52,0
git@github.com:erusev/parsedown.git,1.6.3,1793,135,168,0.00%,6.4727272727273,0,836,41,52,0
git@github.com:erusev/parsedown.git,1.6.4,1794,135,167,0.00%,6.4727272727273,0,836,41,52,0
git@github.com:erusev/parsedown.git,1.7.0,1889,137,180,0.00%,6.1666666666667,0,836,41,57,0
git@github.com:erusev/parsedown.git,1.7.1,1984,158,189,0.00%,6,0,836,41,61,0
