repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:etrepat/baum.git,1.0.0,1749,862,42,0.00%,1.8039215686275,0,333,17,52,0
git@github.com:etrepat/baum.git,1.0.1,1748,865,42,0.00%,1.8039215686275,0,333,17,51,0
git@github.com:etrepat/baum.git,1.0.2,2310,889,45,0.00%,2.6513157894737,0,333,17,164,0
git@github.com:etrepat/baum.git,1.0.3,2442,928,48,0.00%,2.7,0,333,17,170,0
git@github.com:etrepat/baum.git,1.0.4,2501,928,48,0.00%,2.6932515337423,0,333,17,252,0
git@github.com:etrepat/baum.git,1.0.5,2730,960,58,0.00%,2.8554913294798,0,333,17,284,0
git@github.com:etrepat/baum.git,1.0.6,2848,991,59,0.00%,2.8251366120219,0,333,17,306,0
git@github.com:etrepat/baum.git,1.0.7,2848,991,59,0.00%,2.8251366120219,0,333,17,306,0
git@github.com:etrepat/baum.git,1.0.8,2937,1002,60,0.00%,2.8290155440415,0,333,17,307,0
git@github.com:etrepat/baum.git,1.0.9,3188,1049,69,0.00%,2.8439024390244,0,333,17,353,0
git@github.com:etrepat/baum.git,1.0.10,6034,1405,114,1.54%,4.0102301790281,0,333,17,618,0
git@github.com:etrepat/baum.git,1.0.11,7144,1491,143,2.25%,4.2426303854875,0,333,17,739,0
git@github.com:etrepat/baum.git,1.0.12,7417,1535,155,2.21%,4.2451193058568,0,333,17,777,0
git@github.com:etrepat/baum.git,1.0.13,7609,1535,155,2.94%,4.3207547169811,0,333,17,777,0
git@github.com:etrepat/baum.git,1.0.14,7609,1535,155,2.94%,4.3207547169811,0,333,17,777,0
git@github.com:etrepat/baum.git,1.0.15,7610,1535,155,2.94%,4.3228511530398,0,333,17,777,0
git@github.com:etrepat/baum.git,1.1.0,7567,1501,153,2.96%,4.3298319327731,0,333,17,777,0
git@github.com:etrepat/baum.git,1.1.1,7568,1501,153,2.96%,4.3319327731092,0,333,17,777,0
