repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:ezyang/htmlpurifier.git,v1.0.0,10403,2406,662,0.00%,9.5387453874539,0,209,50,355,0
git@github.com:ezyang/htmlpurifier.git,v1.0.1,10473,2409,666,0.00%,9.5421245421245,0,209,50,357,0
git@github.com:ezyang/htmlpurifier.git,v1.1.0,10943,2518,715,0.00%,9.6546762589928,0,209,50,369,0
git@github.com:ezyang/htmlpurifier.git,v1.1.1,11062,2535,729,0.00%,9.7168458781362,0,209,50,375,0
git@github.com:ezyang/htmlpurifier.git,v1.1.2,11170,2569,737,0.00%,9.7714285714286,0,209,50,382,0
git@github.com:ezyang/htmlpurifier.git,v1.2.0,12014,2746,777,0.00%,8.7413249211356,0,209,50,381,0
git@github.com:ezyang/htmlpurifier.git,v1.3.0,13266,2905,899,0.00%,8.8410404624277,0,209,50,423,0
git@github.com:ezyang/htmlpurifier.git,v1.3.1,13333,2912,902,0.00%,8.8439306358382,0,209,50,425,0
git@github.com:ezyang/htmlpurifier.git,v1.3.2,13493,2941,905,0.00%,8.7920227920228,0,209,50,426,0
git@github.com:ezyang/htmlpurifier.git,v1.4.0,14559,3160,992,0.00%,8.8645833333333,0,209,50,509,0
git@github.com:ezyang/htmlpurifier.git,v1.4.1,14559,3160,992,0.00%,8.8645833333333,0,209,50,509,0
git@github.com:ezyang/htmlpurifier.git,v1.5.0,16717,3814,1156,0.00%,8.4656319290466,0,209,50,633,0
git@github.com:ezyang/htmlpurifier.git,v1.6.0,17228,3851,1180,0.00%,8.3717948717949,0,209,50,642,0
git@github.com:ezyang/htmlpurifier.git,v1.6.1,18109,3991,1198,0.00%,8.0550098231827,0,209,50,692,0
git@github.com:ezyang/htmlpurifier.git,v2.0.0,22447,4622,1410,0.00%,7.6053748231966,0,209,50,976,0
git@github.com:ezyang/htmlpurifier.git,v2.0.1,24838,4969,1608,0.00%,7.676322418136,0,209,50,1164,0
git@github.com:ezyang/htmlpurifier.git,v2.1.0,27064,5317,1777,0.00%,6.8724544480171,0,209,50,1229,0
git@github.com:ezyang/htmlpurifier.git,v2.1.1,27100,5320,1779,0.00%,6.8557692307692,0,209,50,1227,0
git@github.com:ezyang/htmlpurifier.git,v2.1.2,31832,6601,2453,0.12%,5.6991426344505,0,209,50,1615,0
git@github.com:ezyang/htmlpurifier.git,v2.1.3,35931,7944,3120,10.62%,6.0154185022026,0,209,50,2017,0
git@github.com:ezyang/htmlpurifier.git,v2.1.4,38310,8736,3470,9.96%,5.4938875305623,0,209,50,2656,0
git@github.com:ezyang/htmlpurifier.git,v2.1.5,37259,8220,3240,10.24%,5.9215017064846,0,209,50,2224,0
git@github.com:ezyang/htmlpurifier.git,v3.0.0,36655,8011,3174,10.41%,6.0143266475645,0,209,50,2334,0
git@github.com:ezyang/htmlpurifier.git,v3.1.0,38310,8736,3470,9.96%,5.4938875305623,0,209,50,2656,0
git@github.com:ezyang/htmlpurifier.git,v3.1.1,40062,8993,3623,9.53%,5.4051918735892,0,209,50,2887,0
git@github.com:ezyang/htmlpurifier.git,v3.2.0,42064,9403,3770,9.07%,5.2346133613887,0,209,50,3094,0
git@github.com:ezyang/htmlpurifier.git,v3.3.0,43179,9919,3865,8.84%,5.2300518134715,0,209,50,3152,0
git@github.com:ezyang/htmlpurifier.git,v4.0.0,43505,9958,3906,8.77%,5.2046153846154,0,209,50,3136,0
git@github.com:ezyang/htmlpurifier.git,v4.1.0,44007,10012,3957,8.67%,5.1921132457027,0,209,50,3165,0
git@github.com:ezyang/htmlpurifier.git,v4.1.1,44060,10029,3963,8.66%,5.1898031297325,0,209,50,3171,0
git@github.com:ezyang/htmlpurifier.git,v4.2.0,44246,10050,3976,8.62%,5.1799498746867,0,209,50,3176,0
git@github.com:ezyang/htmlpurifier.git,v4.3.0,45136,10407,4042,8.45%,5.1750245821042,0,209,50,3225,0
git@github.com:ezyang/htmlpurifier.git,v4.4.0,46043,10692,4136,8.29%,5.1689937409726,0,209,50,3359,0
git@github.com:ezyang/htmlpurifier.git,v4.5.0,46213,10757,4143,8.26%,5.1615532118888,0,209,50,3364,0
git@github.com:ezyang/htmlpurifier.git,v4.6.0,53277,13321,4119,7.28%,5.1186200378072,0,209,50,3475,0
git@github.com:ezyang/htmlpurifier.git,v4.7.0,53167,13301,4106,7.29%,5.1096926713948,0,209,50,3450,0
git@github.com:ezyang/htmlpurifier.git,v4.8.0,53630,13379,4134,7.23%,5.0883177570093,0,209,50,3472,0
git@github.com:ezyang/htmlpurifier.git,4.8.0,53630,13379,4134,7.23%,5.0883177570093,0,209,50,3472,0
git@github.com:ezyang/htmlpurifier.git,v4.9.1,54274,13590,4177,7.11%,5.0886426592798,0,209,50,3507,0
git@github.com:ezyang/htmlpurifier.git,v4.9.2,54288,13590,4179,7.11%,5.0909510618652,0,209,50,3507,0
git@github.com:ezyang/htmlpurifier.git,v4.9.3,54288,13590,4179,7.11%,5.0909510618652,0,209,50,3507,0
git@github.com:ezyang/htmlpurifier.git,v4.10.0,54363,13615,4190,7.10%,5.094557195572,0,209,50,3516,0
