repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:facebook/php-graph-sdk.git,4.0.0,2719,1058,88,0.00%,3.6776859504132,0,1315,126,48,0
git@github.com:facebook/php-graph-sdk.git,v4.0.0,2719,1058,88,0.00%,3.6776859504132,0,1315,126,48,0
git@github.com:facebook/php-graph-sdk.git,4.0.1,2711,1053,89,0.00%,3.6776859504132,0,1315,126,45,0
git@github.com:facebook/php-graph-sdk.git,4.0.2,2941,1114,100,0.00%,3.7368421052632,0,1315,126,51,0
git@github.com:facebook/php-graph-sdk.git,4.0.3,2995,1172,99,0.00%,3.7293233082707,0,1315,126,50,0
git@github.com:facebook/php-graph-sdk.git,4.0.4,3082,1174,109,0.00%,4.0671641791045,0,1315,126,52,0
git@github.com:facebook/php-graph-sdk.git,4.0.5,3245,1232,119,0.00%,4.1,0,1315,126,58,0
git@github.com:facebook/php-graph-sdk.git,4.0.6,4369,1610,125,0.62%,3.6551724137931,0,1315,126,166,0
git@github.com:facebook/php-graph-sdk.git,4.0.7,4617,1678,140,0.58%,3.706976744186,0,1315,126,173,0
git@github.com:facebook/php-graph-sdk.git,4.0.8,5292,1883,156,0.51%,3.7,0,1315,126,248,0
git@github.com:facebook/php-graph-sdk.git,4.0.9,6701,2462,185,0.81%,3.5466237942122,0,1315,126,380,0
git@github.com:facebook/php-graph-sdk.git,4.0.10,6685,2455,186,0.81%,3.5451612903226,0,1315,126,381,0
git@github.com:facebook/php-graph-sdk.git,4.0.11,6703,2461,188,0.81%,3.5434083601286,0,1315,126,381,0
git@github.com:facebook/php-graph-sdk.git,4.0.12,6734,2469,191,0.80%,3.5367412140575,0,1315,126,382,0
git@github.com:facebook/php-graph-sdk.git,4.0.13,6818,2467,202,0.79%,3.5230263157895,0,1315,126,379,0
git@github.com:facebook/php-graph-sdk.git,4.0.14,6846,2472,202,0.79%,3.5261437908497,0,1315,126,379,0
git@github.com:facebook/php-graph-sdk.git,4.0.15,6881,2479,203,0.78%,3.525974025974,0,1315,126,380,0
git@github.com:facebook/php-graph-sdk.git,4.0.16,6887,2479,206,0.78%,3.5292207792208,0,1315,126,381,0
git@github.com:facebook/php-graph-sdk.git,4.0.17,6914,2490,208,0.78%,3.5436893203883,0,1315,126,382,0
git@github.com:facebook/php-graph-sdk.git,4.0.18,6914,2490,208,0.78%,3.5436893203883,0,1315,126,382,0
git@github.com:facebook/php-graph-sdk.git,4.0.19,6937,2490,212,0.78%,3.5954692556634,0,1315,126,383,0
git@github.com:facebook/php-graph-sdk.git,4.0.20,6936,2490,212,0.78%,3.5922330097087,0,1315,126,382,0
git@github.com:facebook/php-graph-sdk.git,4.0.21,7010,2519,212,0.77%,3.5922330097087,0,1315,126,382,0
git@github.com:facebook/php-graph-sdk.git,4.0.22,6990,2528,214,0.77%,3.5870967741935,0,1315,126,376,0
git@github.com:facebook/php-graph-sdk.git,4.0.23,6999,2529,218,0.77%,3.5967741935484,0,1315,126,378,0
git@github.com:facebook/php-graph-sdk.git,5.0.0,16761,6430,349,0.27%,3.1680107526882,0,1315,126,431,0
git@github.com:facebook/php-graph-sdk.git,5.1.0,17470,6734,368,0.26%,3.1806451612903,0,1315,126,443,0
git@github.com:facebook/php-graph-sdk.git,5.1.1,17875,6933,370,0.26%,3.1517067003793,0,1315,126,432,0
git@github.com:facebook/php-graph-sdk.git,5.1.2,17875,6933,370,0.26%,3.1517067003793,0,1315,126,432,0
git@github.com:facebook/php-graph-sdk.git,5.1.3,17896,6943,375,0.26%,3.1527777777778,0,1315,126,432,0
git@github.com:facebook/php-graph-sdk.git,5.1.4,17896,6943,375,0.26%,3.1527777777778,0,1315,126,432,0
git@github.com:facebook/php-graph-sdk.git,5.1.5,17845,6947,378,0.00%,3.1354430379747,0,1315,126,395,0
git@github.com:facebook/php-graph-sdk.git,5.2.0,18030,7016,382,0.00%,3.1476846057572,0,1315,126,405,0
git@github.com:facebook/php-graph-sdk.git,5.2.1,18374,7304,383,0.00%,3.1475,0,1315,126,391,0
git@github.com:facebook/php-graph-sdk.git,5.3.0,18374,7304,383,0.00%,3.1475,0,1315,126,391,0
git@github.com:facebook/php-graph-sdk.git,5.3.1,18374,7304,383,0.00%,3.1475,0,1315,126,391,0
git@github.com:facebook/php-graph-sdk.git,5.4.0,18393,7312,383,0.00%,3.142144638404,0,1315,126,391,0
git@github.com:facebook/php-graph-sdk.git,5.4.1,18404,7312,383,0.00%,3.1419676214197,0,1315,126,391,0
git@github.com:facebook/php-graph-sdk.git,5.4.2,18537,7367,389,0.00%,3.1449814126394,0,1315,126,396,0
git@github.com:facebook/php-graph-sdk.git,5.4.3,18582,7370,389,0.00%,3.1423267326733,0,1315,126,397,0
git@github.com:facebook/php-graph-sdk.git,5.4.4,18583,7370,389,0.00%,3.1423267326733,0,1315,126,397,0
git@github.com:facebook/php-graph-sdk.git,5.5.0,18702,7377,395,0.00%,3.1724137931034,0,1315,126,407,0
git@github.com:facebook/php-graph-sdk.git,5.6.0,18702,7377,395,0.00%,3.1724137931034,0,1315,126,407,0
git@github.com:facebook/php-graph-sdk.git,5.6.1,18702,7377,395,0.00%,3.1724137931034,0,1315,126,407,0
git@github.com:facebook/php-graph-sdk.git,5.6.2,18714,7378,397,0.00%,3.1761083743842,0,1315,126,407,0
git@github.com:facebook/php-graph-sdk.git,5.6.3,18714,7378,397,0.00%,3.1761083743842,0,1315,126,407,0
git@github.com:facebook/php-graph-sdk.git,5.7.0,18862,7402,402,0.00%,3.1849148418491,0,1315,126,411,0
