repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:facebookarchive/facebook-php-sdk.git,v2.0.0,1385,331,68,0.00%,4.9047619047619,0,3141,56,51,0
git@github.com:facebookarchive/facebook-php-sdk.git,v2.0.1,1397,335,70,0.00%,4.9365079365079,0,3141,56,52,0
git@github.com:facebookarchive/facebook-php-sdk.git,v2.0.2,1397,335,70,0.00%,4.9365079365079,0,3141,56,52,0
git@github.com:facebookarchive/facebook-php-sdk.git,v2.0.3,1403,336,73,0.00%,5,0,3141,56,56,0
git@github.com:facebookarchive/facebook-php-sdk.git,v2.0.4,1482,317,76,0.00%,5.1212121212121,0,3141,56,66,0
git@github.com:facebookarchive/facebook-php-sdk.git,v2.0.6,1499,323,76,0.00%,5.1194029850746,0,3141,56,66,0
git@github.com:facebookarchive/facebook-php-sdk.git,v2.0.7,1499,323,76,0.00%,5.1194029850746,0,3141,56,66,0
git@github.com:facebookarchive/facebook-php-sdk.git,v2.1.0,1678,367,82,0.00%,4.9113924050633,0,3141,56,67,0
git@github.com:facebookarchive/facebook-php-sdk.git,v2.1.1,1745,381,83,0.00%,4.8214285714286,0,3141,56,70,0
git@github.com:facebookarchive/facebook-php-sdk.git,v2.1.2,1818,392,92,0.00%,4.9186046511628,0,3141,56,81,0
git@github.com:facebookarchive/facebook-php-sdk.git,v3.0.0,1985,513,99,0.00%,4.2135922330097,0,3141,56,77,0
git@github.com:facebookarchive/facebook-php-sdk.git,v3.0.1,2071,520,106,0.00%,4.212962962963,0,3141,56,84,0
git@github.com:facebookarchive/facebook-php-sdk.git,v3.1.0,2225,584,110,0.00%,4.280701754386,0,3141,56,88,0
git@github.com:facebookarchive/facebook-php-sdk.git,v3.1.1,2241,586,113,0.00%,4.3333333333333,0,3141,56,89,0
git@github.com:facebookarchive/facebook-php-sdk.git,v3.2.0,3720,719,161,0.00%,4.4903846153846,0,3141,56,334,0
git@github.com:facebookarchive/facebook-php-sdk.git,v3.2.1,3726,714,158,0.00%,4.4502369668246,0,3141,56,331,0
git@github.com:facebookarchive/facebook-php-sdk.git,v3.2.2,3801,717,163,0.00%,4.4537037037037,0,3141,56,338,0
git@github.com:facebookarchive/facebook-php-sdk.git,v3.2.3,3919,728,175,0.00%,4.472972972973,0,3141,56,344,0
