repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:fideloper/TrustedProxy.git,1.0.0,43,17,1,0.00%,2.5,0,71,26,0,0
git@github.com:fideloper/TrustedProxy.git,1.1.0,43,17,1,0.00%,2.5,0,71,26,0,0
git@github.com:fideloper/TrustedProxy.git,2.0.0,82,42,1,0.00%,1,0,71,26,0,0
git@github.com:fideloper/TrustedProxy.git,2.0.1,82,42,1,0.00%,1,0,71,26,0,0
git@github.com:fideloper/TrustedProxy.git,2.0.2,80,45,1,0.00%,2.5,0,71,26,0,0
git@github.com:fideloper/TrustedProxy.git,2.0.3,80,45,1,0.00%,2.5,0,71,26,0,0
git@github.com:fideloper/TrustedProxy.git,2.1.0,80,45,1,0.00%,2.5,0,71,26,0,0
git@github.com:fideloper/TrustedProxy.git,2.1.1,117,48,1,0.00%,2,0,71,26,3,0
git@github.com:fideloper/TrustedProxy.git,3.0.0,314,127,3,0.00%,2.9,0,71,26,1,0
git@github.com:fideloper/TrustedProxy.git,3.1.0,319,127,6,0.00%,3,0,71,26,2,0
git@github.com:fideloper/TrustedProxy.git,3.2.0,468,161,12,0.00%,2.6923076923077,0,71,26,9,0
git@github.com:fideloper/TrustedProxy.git,3.3.0,484,171,14,0.00%,2.6923076923077,0,71,26,9,0
git@github.com:fideloper/TrustedProxy.git,3.3.1,484,171,15,0.00%,2.6923076923077,0,71,26,9,0
git@github.com:fideloper/TrustedProxy.git,3.3.2,537,210,15,0.00%,2.5714285714286,0,71,26,10,0
git@github.com:fideloper/TrustedProxy.git,3.3.3,543,213,17,0.00%,2.5714285714286,0,71,26,10,0
git@github.com:fideloper/TrustedProxy.git,3.3.4,603,227,19,0.00%,2.375,0,71,26,11,0
git@github.com:fideloper/TrustedProxy.git,4.0.0,438,167,14,0.00%,2.5833333333333,0,71,26,7,0
git@github.com:fideloper/TrustedProxy.git,4.1.0,497,181,19,0.00%,3.1666666666667,0,71,26,8,0
