repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:filp/whoops.git,0.8.4,2059,541,57,0.00%,2.8732394366197,0,506,120,73,0
git@github.com:filp/whoops.git,0.9.0,2022,615,65,0.00%,3.0481927710843,0,506,120,78,0
git@github.com:filp/whoops.git,1.0.0,2282,688,74,0.00%,3.2,0,506,120,83,0
git@github.com:filp/whoops.git,1.0.1,2416,743,80,0.00%,3.2446808510638,0,506,120,88,0
git@github.com:filp/whoops.git,1.0.3,2670,792,101,0.00%,3.5148514851485,0,506,120,101,0
git@github.com:filp/whoops.git,1.0.4,2740,812,101,0.00%,3.5490196078431,0,506,120,103,0
git@github.com:filp/whoops.git,1.0.5,2887,842,109,0.00%,3.5865384615385,0,506,120,109,0
git@github.com:filp/whoops.git,1.0.6,3153,937,113,0.00%,3.625,0,506,120,112,0
git@github.com:filp/whoops.git,1.0.7,3245,964,120,0.00%,3.5929203539823,0,506,120,125,0
git@github.com:filp/whoops.git,1.0.8,3426,1017,134,0.00%,3.7155172413793,0,506,120,129,0
git@github.com:filp/whoops.git,1.0.9,3479,1036,136,0.00%,3.7155172413793,0,506,120,136,0
git@github.com:filp/whoops.git,1.0.10,3728,1104,146,0.75%,3.71875,0,506,120,140,0
git@github.com:filp/whoops.git,1.1.0,5277,1632,188,0.00%,3.7109004739336,0,506,120,130,0
git@github.com:filp/whoops.git,1.1.1,5277,1632,188,0.00%,3.7109004739336,0,506,120,130,0
git@github.com:filp/whoops.git,1.1.2,5406,1656,200,0.00%,3.75,0,506,120,135,0
git@github.com:filp/whoops.git,1.1.3,5405,1657,204,0.00%,3.7777777777778,0,506,120,139,0
git@github.com:filp/whoops.git,1.1.4,5461,1673,206,0.00%,3.8064516129032,0,506,120,140,0
git@github.com:filp/whoops.git,1.1.5,5499,1683,207,0.00%,3.8302752293578,0,506,120,147,0
git@github.com:filp/whoops.git,1.1.6,5603,1707,221,0.00%,3.8272727272727,0,506,120,151,0
git@github.com:filp/whoops.git,1.1.7,5605,1707,221,0.00%,3.8272727272727,0,506,120,151,0
git@github.com:filp/whoops.git,1.1.8,5603,1707,221,0.00%,3.8272727272727,0,506,120,151,0
git@github.com:filp/whoops.git,1.1.9,5603,1707,221,0.00%,3.8272727272727,0,506,120,151,0
git@github.com:filp/whoops.git,1.1.10,5605,1707,221,0.00%,3.8272727272727,0,506,120,151,0
git@github.com:filp/whoops.git,2.0.0,4991,1549,202,0.00%,3.7114427860697,0,506,120,125,0
git@github.com:filp/whoops.git,2.1.0,5456,1629,212,0.00%,3.4188034188034,0,506,120,154,0
git@github.com:filp/whoops.git,2.1.1,5646,1736,215,0.00%,3.3865546218487,0,506,120,158,0
git@github.com:filp/whoops.git,2.1.2,5648,1736,216,0.00%,3.3865546218487,0,506,120,158,0
git@github.com:filp/whoops.git,2.1.3,5648,1736,216,0.00%,3.3865546218487,0,506,120,158,0
git@github.com:filp/whoops.git,2.1.4,5891,1809,234,0.00%,3.3588709677419,0,506,120,171,0
git@github.com:filp/whoops.git,2.1.5,5994,1839,234,0.00%,3.328125,0,506,120,171,0
git@github.com:filp/whoops.git,2.1.6,6098,1879,237,0.00%,3.2889733840304,0,506,120,173,0
git@github.com:filp/whoops.git,2.1.7,6098,1879,237,0.00%,3.2889733840304,0,506,120,173,0
git@github.com:filp/whoops.git,2.1.8,6101,1882,238,0.00%,3.2889733840304,0,506,120,173,0
git@github.com:filp/whoops.git,2.1.9,6158,1890,242,0.00%,3.2905660377358,0,506,120,172,0
git@github.com:filp/whoops.git,2.1.10,6258,1923,244,0.00%,3.2851851851852,0,506,120,174,0
git@github.com:filp/whoops.git,2.1.11,6264,1923,244,0.00%,3.2851851851852,0,506,120,174,0
git@github.com:filp/whoops.git,2.1.12,6264,1923,244,0.00%,3.2851851851852,0,506,120,174,0
git@github.com:filp/whoops.git,2.1.13,6274,1930,244,0.00%,3.2851851851852,0,506,120,174,0
git@github.com:filp/whoops.git,2.1.14,6275,1930,244,0.00%,3.2851851851852,0,506,120,174,0
git@github.com:filp/whoops.git,2.2.0,6281,1930,246,0.00%,3.2851851851852,0,506,120,174,0
git@github.com:filp/whoops.git,2.2.1,6293,1930,247,0.00%,3.2888888888889,0,506,120,174,0
git@github.com:filp/whoops.git,2.3.0,6420,1956,250,0.00%,3.3381818181818,0,506,120,175,0
git@github.com:filp/whoops.git,2.3.1,6434,1962,251,0.00%,3.3369565217391,0,506,120,175,0
