repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:firefly-iii/firefly-iii.git,3.0.0,20901,4312,596,1.03%,5.8534798534799,0,293,74,1630,52
git@github.com:firefly-iii/firefly-iii.git,3.0.1,20962,4389,605,1.14%,5.7099099099099,0,293,74,1603,52
git@github.com:firefly-iii/firefly-iii.git,3.0.2,18775,4589,613,0.12%,4.9186602870813,0,293,74,896,52
git@github.com:firefly-iii/firefly-iii.git,3.0.3,18836,4677,614,0.12%,4.9192399049881,0,293,74,905,52
git@github.com:firefly-iii/firefly-iii.git,3.1.1,22026,6123,834,0.26%,6.3393258426966,0,293,74,987,75
git@github.com:firefly-iii/firefly-iii.git,3.1.2,22026,6123,834,0.26%,6.3393258426966,0,293,74,987,75
git@github.com:firefly-iii/firefly-iii.git,3.1.3,21834,6060,833,0.27%,6.459584295612,0,293,74,996,74
git@github.com:firefly-iii/firefly-iii.git,3.1.4,21813,6054,828,0.27%,6.4364896073903,0,293,74,990,74
git@github.com:firefly-iii/firefly-iii.git,3.1.5,25766,7296,1106,0.70%,6.0856643356643,0,293,74,1279,74
git@github.com:firefly-iii/firefly-iii.git,3.1.6,33450,11423,1517,6.09%,5.1988700564972,0,293,74,1799,61
git@github.com:firefly-iii/firefly-iii.git,3.2.0,33526,11534,1492,6.02%,5.149833518313,0,293,74,1791,61
git@github.com:firefly-iii/firefly-iii.git,3.2.1,22417,5597,797,0.39%,4.513353115727,0,293,74,1680,65
git@github.com:firefly-iii/firefly-iii.git,3.2.2,25830,6093,695,0.22%,4.3743902439024,0,293,74,2229,68
git@github.com:firefly-iii/firefly-iii.git,3.2.3,25992,6117,695,0.22%,4.3830303030303,0,293,74,2253,70
git@github.com:firefly-iii/firefly-iii.git,3.2.4,26039,6125,695,0.22%,4.3922518159806,0,293,74,2253,70
git@github.com:firefly-iii/firefly-iii.git,3.2.5,26583,6301,615,0.39%,4.3611111111111,0,293,74,2280,80
git@github.com:firefly-iii/firefly-iii.git,3.3.1,23457,5427,432,0.81%,4.0280649926145,0,293,74,2027,77
