repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:getgrav/grav.git,0.1.0,2417,502,260,0.00%,7.972602739726,0,1009,173,162,0
git@github.com:getgrav/grav.git,0.1.1,2416,502,260,0.00%,7.958904109589,0,1009,173,162,0
git@github.com:getgrav/grav.git,0.2.0,2534,519,277,0.00%,8.0649350649351,0,1009,173,169,0
git@github.com:getgrav/grav.git,0.3.0,2618,531,293,0.00%,8.0897435897436,0,1009,173,170,0
git@github.com:getgrav/grav.git,0.8.0,45939,15751,3749,1.00%,3.5710710710711,0,1009,173,2669,0
git@github.com:getgrav/grav.git,0.9.0,61716,20963,5496,1.00%,4.0492730210016,0,1009,173,4415,0
git@github.com:getgrav/grav.git,0.9.1,61925,21001,5517,1.00%,4.0629032258065,0,1009,173,4432,0
git@github.com:getgrav/grav.git,0.9.2,12078,3977,1043,0.00%,3.8868613138686,0,1009,173,495,0
git@github.com:getgrav/grav.git,0.9.3,13036,3506,1234,1.30%,4.6819012797075,0,1009,173,540,0
git@github.com:getgrav/grav.git,0.9.4,14054,3924,1273,0.41%,4.7280701754386,0,1009,173,578,0
git@github.com:getgrav/grav.git,0.9.5,14156,3942,1283,0.40%,4.7282229965157,0,1009,173,591,0
git@github.com:getgrav/grav.git,0.9.6,14165,3940,1287,0.40%,4.7264808362369,0,1009,173,601,0
git@github.com:getgrav/grav.git,0.9.7,14229,3961,1291,0.40%,4.7264808362369,0,1009,173,605,0
git@github.com:getgrav/grav.git,0.9.8,14200,3935,1300,0.40%,4.7799295774648,0,1009,173,608,0
git@github.com:getgrav/grav.git,0.9.9,14229,3952,1300,0.40%,4.7513134851138,0,1009,173,606,0
git@github.com:getgrav/grav.git,0.9.10,14329,3973,1315,0.40%,4.783595113438,0,1009,173,617,0
git@github.com:getgrav/grav.git,0.9.11,14348,3974,1319,0.40%,4.7923211169284,0,1009,173,624,0
git@github.com:getgrav/grav.git,0.9.12,14639,4024,1352,0.68%,4.8474870017331,0,1009,173,644,0
git@github.com:getgrav/grav.git,0.9.13,14904,4078,1388,0.55%,4.8824531516184,0,1009,173,657,0
git@github.com:getgrav/grav.git,0.9.14,15196,4137,1419,0.54%,4.9243697478992,0,1009,173,686,0
git@github.com:getgrav/grav.git,0.9.15,15194,4137,1419,0.54%,4.9243697478992,0,1009,173,686,0
git@github.com:getgrav/grav.git,0.9.16,15570,4205,1462,0.53%,5.004958677686,0,1009,173,716,0
git@github.com:getgrav/grav.git,0.9.17,15590,4205,1465,0.53%,5.0181818181818,0,1009,173,717,0
git@github.com:getgrav/grav.git,0.9.18,15995,4301,1499,0.36%,5.108064516129,0,1009,173,746,0
git@github.com:getgrav/grav.git,0.9.19,16020,4306,1498,0.00%,5.0850722311396,0,1009,173,742,0
git@github.com:getgrav/grav.git,0.9.20,16070,4331,1499,0.00%,5.0702875399361,0,1009,173,744,0
