repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:giggsey/libphonenumber-for-php.git,5.7.2,68808,3134,422,22.29%,4.9638888888889,0,280,48,374,0
git@github.com:giggsey/libphonenumber-for-php.git,5.8.4,95768,4025,448,37.28%,4.8756218905473,0,280,48,402,0
git@github.com:giggsey/libphonenumber-for-php.git,5.8.8,198816,4886,651,24.30%,5.6648936170213,0,280,48,691,0
git@github.com:giggsey/libphonenumber-for-php.git,5.9.1,199260,5092,689,21.02%,5.7079207920792,0,280,48,777,0
git@github.com:giggsey/libphonenumber-for-php.git,5.9.2,199891,5108,689,21.12%,5.7079207920792,0,280,48,777,0
git@github.com:giggsey/libphonenumber-for-php.git,5.9.3,480047,5108,689,8.80%,5.7079207920792,0,280,48,777,0
git@github.com:giggsey/libphonenumber-for-php.git,5.9.4,480989,5108,690,8.77%,5.7079207920792,0,280,48,777,0
git@github.com:giggsey/libphonenumber-for-php.git,6.1.1,482820,9070,694,6.19%,5.7192118226601,0,280,48,777,0
git@github.com:giggsey/libphonenumber-for-php.git,6.2.1,483264,9101,694,6.22%,5.7135842880524,0,280,48,777,0
git@github.com:giggsey/libphonenumber-for-php.git,6.2.2,483560,9141,695,6.21%,5.6875,0,280,48,777,0
git@github.com:giggsey/libphonenumber-for-php.git,6.3.1,491040,10868,710,6.13%,5.6415094339623,0,280,48,788,0
git@github.com:giggsey/libphonenumber-for-php.git,7.0.1,491497,10995,717,6.17%,5.6055900621118,0,280,48,791,0
git@github.com:giggsey/libphonenumber-for-php.git,7.0.2,491496,10999,717,6.16%,5.6055900621118,0,280,48,791,0
git@github.com:giggsey/libphonenumber-for-php.git,7.0.3,491763,10987,717,6.15%,5.6055900621118,0,280,48,791,0
git@github.com:giggsey/libphonenumber-for-php.git,7.0.4,492003,10999,717,6.15%,5.6055900621118,0,280,48,791,0
git@github.com:giggsey/libphonenumber-for-php.git,7.0.5,505496,11015,717,5.99%,5.6055900621118,0,280,48,791,0
git@github.com:giggsey/libphonenumber-for-php.git,7.0.6,505672,11016,717,5.99%,5.5935085007728,0,280,48,791,0
git@github.com:giggsey/libphonenumber-for-php.git,7.0.7,510484,11029,718,5.91%,5.5846153846154,0,280,48,791,0
git@github.com:giggsey/libphonenumber-for-php.git,7.0.8,510831,11279,718,5.90%,5.5416666666667,0,280,48,790,0
git@github.com:giggsey/libphonenumber-for-php.git,7.0.9,511167,11324,719,5.89%,5.5168711656442,0,280,48,789,0
git@github.com:giggsey/libphonenumber-for-php.git,7.0.10,512328,11352,730,5.90%,5.4931714719272,0,280,48,791,0
git@github.com:giggsey/libphonenumber-for-php.git,7.0.11,513199,11380,730,5.92%,5.4931714719272,0,280,48,791,0
git@github.com:giggsey/libphonenumber-for-php.git,7.1.0,513215,11380,730,5.92%,5.4931714719272,0,280,48,791,0
git@github.com:giggsey/libphonenumber-for-php.git,7.1.1,513342,11384,730,5.90%,5.4931714719272,0,280,48,791,0
git@github.com:giggsey/libphonenumber-for-php.git,7.2.1,514048,11403,730,5.89%,5.4773413897281,0,280,48,791,0
git@github.com:giggsey/libphonenumber-for-php.git,7.2.2,514472,11407,730,5.81%,5.4773413897281,0,280,48,791,0
git@github.com:giggsey/libphonenumber-for-php.git,7.2.3,514549,11411,730,5.79%,5.4773413897281,0,280,48,791,0
git@github.com:giggsey/libphonenumber-for-php.git,7.2.4,514585,11411,730,5.79%,5.4743202416918,0,280,48,791,0
git@github.com:giggsey/libphonenumber-for-php.git,7.2.5,514611,11411,730,5.78%,5.4743202416918,0,280,48,791,0
git@github.com:giggsey/libphonenumber-for-php.git,7.2.6,514632,11415,730,5.78%,5.4743202416918,0,280,48,791,0
git@github.com:giggsey/libphonenumber-for-php.git,7.2.7,514697,11415,730,5.78%,5.4743202416918,0,280,48,791,0
git@github.com:giggsey/libphonenumber-for-php.git,7.2.8,514920,11475,730,5.77%,5.4743202416918,0,280,48,791,0
git@github.com:giggsey/libphonenumber-for-php.git,7.3.0,515256,11592,745,5.75%,5.4685628742515,0,280,48,796,0
git@github.com:giggsey/libphonenumber-for-php.git,7.3.1,515416,11592,745,5.75%,5.4685628742515,0,280,48,796,0
git@github.com:giggsey/libphonenumber-for-php.git,7.3.2,531234,11608,750,5.56%,5.4575260804769,0,280,48,798,0
git@github.com:giggsey/libphonenumber-for-php.git,7.4.1,531455,11608,750,5.55%,5.4575260804769,0,280,48,798,0
git@github.com:giggsey/libphonenumber-for-php.git,7.4.2,531505,11612,750,5.55%,5.4575260804769,0,280,48,798,0
git@github.com:giggsey/libphonenumber-for-php.git,7.4.3,531747,11628,750,5.54%,5.4575260804769,0,280,48,798,0
git@github.com:giggsey/libphonenumber-for-php.git,7.4.4,531806,11636,750,5.54%,5.4575260804769,0,280,48,798,0
git@github.com:giggsey/libphonenumber-for-php.git,7.4.5,532080,11648,750,5.51%,5.4575260804769,0,280,48,798,0
git@github.com:giggsey/libphonenumber-for-php.git,7.5.0,531970,11627,734,5.51%,5.4617691154423,0,280,48,796,0
git@github.com:giggsey/libphonenumber-for-php.git,7.5.1,532330,11671,734,5.51%,5.4617691154423,0,280,48,796,0
git@github.com:giggsey/libphonenumber-for-php.git,7.5.2,532353,11675,734,5.51%,5.4617691154423,0,280,48,796,0
git@github.com:giggsey/libphonenumber-for-php.git,7.6.0,533890,12017,735,5.50%,5.4872563718141,0,280,48,800,0
git@github.com:giggsey/libphonenumber-for-php.git,7.6.1,533914,12377,791,5.02%,5.5561569688769,0,280,48,888,0
git@github.com:giggsey/libphonenumber-for-php.git,7.7.1,537680,15787,792,4.98%,5.5527027027027,0,280,48,890,0
git@github.com:giggsey/libphonenumber-for-php.git,7.7.2,537918,15797,793,5.03%,5.5527027027027,0,280,48,888,0
git@github.com:giggsey/libphonenumber-for-php.git,7.7.3,528419,11406,806,5.14%,5.5033112582781,0,280,48,887,0
git@github.com:giggsey/libphonenumber-for-php.git,7.7.4,530698,11632,924,5.15%,5.8623737373737,0,280,48,988,0
git@github.com:giggsey/libphonenumber-for-php.git,7.7.5,525634,11618,922,4.49%,5.8558786346397,0,280,48,979,0
git@github.com:giggsey/libphonenumber-for-php.git,8.0.1,527646,11599,916,4.46%,5.9313471502591,0,280,48,974,0
git@github.com:giggsey/libphonenumber-for-php.git,8.1.0,527789,11623,918,4.45%,5.937984496124,0,280,48,977,0
git@github.com:giggsey/libphonenumber-for-php.git,8.2.0,528520,11623,918,4.44%,5.937984496124,0,280,48,977,0
git@github.com:giggsey/libphonenumber-for-php.git,8.3.0,528814,11678,916,4.44%,5.9129321382843,0,280,48,1000,0
git@github.com:giggsey/libphonenumber-for-php.git,8.3.1,533574,11689,917,4.40%,5.9156010230179,0,280,48,1000,0
git@github.com:giggsey/libphonenumber-for-php.git,8.3.2,533641,11689,917,4.40%,5.9156010230179,0,280,48,1000,0
git@github.com:giggsey/libphonenumber-for-php.git,8.3.3,533692,11691,917,4.40%,5.9156010230179,0,280,48,1000,0
git@github.com:giggsey/libphonenumber-for-php.git,8.4.1,542485,15953,1128,4.37%,6.6340468909276,0,280,48,1116,0
git@github.com:giggsey/libphonenumber-for-php.git,8.4.2,542551,15955,1130,4.37%,6.638124362895,0,280,48,1118,0
git@github.com:giggsey/libphonenumber-for-php.git,8.4.3,542730,15958,1133,4.36%,6.632382892057,0,280,48,1119,0
git@github.com:giggsey/libphonenumber-for-php.git,8.5.1,540454,16025,1134,3.61%,6.6107178968655,0,280,48,1120,0
git@github.com:giggsey/libphonenumber-for-php.git,8.5.2,540785,16048,1135,3.63%,6.6131313131313,0,280,48,1122,0
