repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:guzzle/psr7.git,1.0.0,6147,915,317,0.00%,3.3844155844156,0,153,71,833,0
git@github.com:guzzle/psr7.git,1.1.0,6202,923,318,0.00%,3.3664122137405,0,153,71,836,0
git@github.com:guzzle/psr7.git,1.2.0,6267,918,321,0.00%,3.4020100502513,0,153,71,841,0
git@github.com:guzzle/psr7.git,1.2.1,6266,917,321,0.00%,3.4020100502513,0,153,71,841,0
git@github.com:guzzle/psr7.git,1.2.2,6326,927,327,0.00%,3.3980099502488,0,153,71,847,0
git@github.com:guzzle/psr7.git,1.2.3,6402,935,331,0.00%,3.4172839506173,0,153,71,856,0
git@github.com:guzzle/psr7.git,1.3.0,7917,1205,370,0.35%,3.3854166666667,0,153,71,896,0
git@github.com:guzzle/psr7.git,1.3.1,8395,1267,365,0.33%,3.473786407767,0,153,71,973,0
git@github.com:guzzle/psr7.git,1.4.0,9496,1608,435,0.00%,3.5790408525755,0,153,71,1030,0
git@github.com:guzzle/psr7.git,1.4.1,9511,1605,435,0.00%,3.5879218472469,0,153,71,1031,0
git@github.com:guzzle/psr7.git,1.4.2,9500,1605,435,0.00%,3.5843694493783,0,153,71,1031,0
git@github.com:guzzle/psr7.git,1.5.0,10136,1687,461,0.00%,3.665,0,153,71,1058,0
git@github.com:guzzle/psr7.git,1.5.1,10161,1690,462,0.00%,3.6473509933775,0,153,71,1058,0
git@github.com:guzzle/psr7.git,1.5.2,10191,1690,463,0.00%,3.6446280991736,0,153,71,1058,0
