repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:helei112g/payment.git,v2.6.1,5024,1957,255,1.87%,4.2676056338028,0,519,16,163,0
git@github.com:helei112g/payment.git,v2.7.0,9417,4689,316,1.36%,2.8562091503268,0,519,16,202,0
git@github.com:helei112g/payment.git,v2.7.1,9402,4689,316,1.36%,2.8562091503268,0,519,16,202,0
git@github.com:helei112g/payment.git,v2.7.2,9536,4690,316,1.33%,2.8562091503268,0,519,16,204,0
git@github.com:helei112g/payment.git,v2.7.3,9536,4690,317,1.33%,2.8562091503268,0,519,16,204,0
git@github.com:helei112g/payment.git,v3.0.0,6572,2431,320,2.01%,4.2131979695431,0,519,16,204,0
git@github.com:helei112g/payment.git,v3.0.1,6591,2423,327,2.00%,4.2626262626263,0,519,16,209,0
git@github.com:helei112g/payment.git,v3.0.2,6590,2423,327,2.00%,4.2626262626263,0,519,16,209,0
git@github.com:helei112g/payment.git,v3.0.3,6636,2425,333,1.99%,4.2562814070352,0,519,16,214,0
git@github.com:helei112g/payment.git,v3.0.4,6726,2447,343,1.96%,4.2512315270936,0,519,16,223,0
git@github.com:helei112g/payment.git,v3.0.5,6720,2446,343,1.96%,4.2413793103448,0,519,16,223,0
git@github.com:helei112g/payment.git,v3.0.6,6772,2460,345,1.95%,4.2682926829268,0,519,16,227,0
git@github.com:helei112g/payment.git,v3.0.7,6799,2463,345,1.94%,4.2682926829268,0,519,16,227,0
git@github.com:helei112g/payment.git,v3.0.8,6793,2463,345,1.94%,4.2682926829268,0,519,16,227,0
git@github.com:helei112g/payment.git,v3.0.9,6793,2463,346,1.94%,4.2682926829268,0,519,16,227,0
git@github.com:helei112g/payment.git,v3.1.0,9311,3105,535,1.43%,4.6363636363636,0,519,16,371,0
git@github.com:helei112g/payment.git,v3.1.1,9332,3114,536,1.43%,4.6284584980237,0,519,16,370,0
git@github.com:helei112g/payment.git,v3.1.2,9322,3113,530,1.43%,4.6126482213439,0,519,16,370,0
git@github.com:helei112g/payment.git,v3.1.3,9322,3113,531,1.43%,4.6126482213439,0,519,16,370,0
git@github.com:helei112g/payment.git,v3.1.4,9322,3113,532,1.43%,4.6126482213439,0,519,16,370,0
git@github.com:helei112g/payment.git,v3.1.5,8830,2966,531,1.30%,4.9730941704036,0,519,16,336,0
git@github.com:helei112g/payment.git,v4.0.0,9327,3124,535,1.01%,4.656,0,519,16,369,0
git@github.com:helei112g/payment.git,v4.0.1,9318,3125,531,1.01%,4.64,0,519,16,369,0
git@github.com:helei112g/payment.git,v4.1.0,8772,2964,525,1.31%,4.9417040358744,0,519,16,331,0
git@github.com:helei112g/payment.git,v4.1.1,8772,2964,525,1.31%,4.9417040358744,0,519,16,331,0
git@github.com:helei112g/payment.git,v4.1.2,8778,2965,526,1.31%,4.9461883408072,0,519,16,332,0
git@github.com:helei112g/payment.git,v4.1.3,8778,2965,526,1.31%,4.9461883408072,0,519,16,332,0
git@github.com:helei112g/payment.git,v4.1.4,8778,2965,526,1.31%,4.9461883408072,0,519,16,332,0
git@github.com:helei112g/payment.git,v4.1.5,8800,2962,524,1.31%,4.9461883408072,0,519,16,332,0
git@github.com:helei112g/payment.git,v4.1.6,8832,2966,531,1.30%,4.9820627802691,0,519,16,336,0
git@github.com:helei112g/payment.git,v4.1.7,8833,2966,531,1.30%,4.9820627802691,0,519,16,336,0
