repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:hirak/prestissimo.git,0.1.1,1344,202,119,2.83%,6.1,0,124,24,151,0
git@github.com:hirak/prestissimo.git,0.1.2,1392,219,118,0.00%,5.758064516129,0,124,24,153,0
git@github.com:hirak/prestissimo.git,0.1.3,1414,227,123,0.00%,5.8225806451613,0,124,24,154,0
git@github.com:hirak/prestissimo.git,0.1.4,1451,227,123,0.00%,5.8888888888889,0,124,24,161,0
git@github.com:hirak/prestissimo.git,0.1.5,1571,245,130,0.00%,6.0909090909091,0,124,24,167,0
git@github.com:hirak/prestissimo.git,0.1.6,1704,273,134,0.00%,5.7236842105263,0,124,24,163,0
git@github.com:hirak/prestissimo.git,0.1.7,2058,287,152,0.00%,5.3333333333333,0,124,24,196,0
git@github.com:hirak/prestissimo.git,0.1.8,2074,299,152,0.00%,5.3333333333333,0,124,24,196,0
git@github.com:hirak/prestissimo.git,0.1.9,2121,305,145,0.00%,5.1428571428571,0,124,24,196,0
git@github.com:hirak/prestissimo.git,0.1.10,2226,311,130,0.00%,5.0275229357798,0,124,24,183,0
git@github.com:hirak/prestissimo.git,0.1.11,2388,322,134,0.00%,4.9322033898305,0,124,24,204,0
git@github.com:hirak/prestissimo.git,0.1.12,2500,335,137,0.00%,4.8467741935484,0,124,24,247,0
git@github.com:hirak/prestissimo.git,0.1.13,2587,355,138,0.00%,4.6666666666667,0,124,24,245,0
git@github.com:hirak/prestissimo.git,0.1.14,2686,361,138,0.00%,4.6814814814815,0,124,24,296,0
git@github.com:hirak/prestissimo.git,0.1.15,2815,370,134,0.00%,4.7142857142857,0,124,24,324,0
git@github.com:hirak/prestissimo.git,0.1.16,2765,373,124,0.00%,4.5142857142857,0,124,24,323,0
git@github.com:hirak/prestissimo.git,0.1.17,2792,376,129,0.00%,4.5460992907801,0,124,24,325,0
git@github.com:hirak/prestissimo.git,0.1.18,2792,376,129,0.00%,4.5460992907801,0,124,24,325,0
git@github.com:hirak/prestissimo.git,0.2.0,1773,215,98,0.00%,4.7857142857143,0,124,24,175,0
git@github.com:hirak/prestissimo.git,0.2.1,1773,215,98,0.00%,4.7857142857143,0,124,24,175,0
git@github.com:hirak/prestissimo.git,0.2.2,1770,215,97,0.00%,4.7619047619048,0,124,24,174,0
git@github.com:hirak/prestissimo.git,0.2.3,1765,214,98,0.00%,5,0,124,24,172,0
git@github.com:hirak/prestissimo.git,0.2.4,1765,214,98,0.00%,5,0,124,24,172,0
git@github.com:hirak/prestissimo.git,0.3.0,1723,169,140,0.00%,5.379746835443,0,124,24,279,0
git@github.com:hirak/prestissimo.git,0.3.1,1828,197,147,0.00%,5.4047619047619,0,124,24,293,0
git@github.com:hirak/prestissimo.git,0.3.2,1830,195,150,0.00%,5.4285714285714,0,124,24,296,0
git@github.com:hirak/prestissimo.git,0.3.3,1881,196,156,0.00%,5.3563218390805,0,124,24,297,0
git@github.com:hirak/prestissimo.git,0.3.4,1920,198,163,0.00%,5.4318181818182,0,124,24,301,0
git@github.com:hirak/prestissimo.git,0.3.5,1923,198,164,0.00%,5.4318181818182,0,124,24,301,0
git@github.com:hirak/prestissimo.git,0.3.6,1935,198,163,0.00%,5.4659090909091,0,124,24,302,0
git@github.com:hirak/prestissimo.git,0.3.7,1949,198,165,0.00%,5.5340909090909,0,124,24,305,0
git@github.com:hirak/prestissimo.git,0.3.8,1963,202,166,0.00%,5.5280898876404,0,124,24,306,0
