repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:hwi/HWIOAuthBundle.git,0.2.0,6801,2090,177,0.63%,3.127147766323,0,688,245,687,0
git@github.com:hwi/HWIOAuthBundle.git,0.2.1,6802,2090,177,0.63%,3.1305841924399,0,688,245,687,0
git@github.com:hwi/HWIOAuthBundle.git,0.2.2,6798,2090,176,0.63%,3.127147766323,0,688,245,687,0
git@github.com:hwi/HWIOAuthBundle.git,0.2.3,6850,2096,181,0.55%,3.1700680272109,0,688,245,688,0
git@github.com:hwi/HWIOAuthBundle.git,0.2.4,6904,2120,182,0.55%,3.1959459459459,0,688,245,696,0
git@github.com:hwi/HWIOAuthBundle.git,0.2.5,6906,2120,182,0.55%,3.1925675675676,0,688,245,696,0
git@github.com:hwi/HWIOAuthBundle.git,0.2.6,7391,2190,189,0.51%,3.1974921630094,0,688,245,711,0
git@github.com:hwi/HWIOAuthBundle.git,0.2.7,7407,2200,191,0.51%,3.16875,0,688,245,714,0
git@github.com:hwi/HWIOAuthBundle.git,0.2.8,7576,2244,201,0.50%,3.1484848484848,0,688,245,714,0
git@github.com:hwi/HWIOAuthBundle.git,0.2.9,7578,2244,201,0.50%,3.1484848484848,0,688,245,714,0
git@github.com:hwi/HWIOAuthBundle.git,0.2.10,7571,2238,201,0.50%,3.1484848484848,0,688,245,714,0
git@github.com:hwi/HWIOAuthBundle.git,0.3.0,11300,3166,238,0.20%,3.1434262948207,0,688,245,869,0
git@github.com:hwi/HWIOAuthBundle.git,0.3.1,11447,3209,239,0.20%,3.1377952755906,0,688,245,870,0
git@github.com:hwi/HWIOAuthBundle.git,0.3.2,11460,3213,240,0.20%,3.1397637795276,0,688,245,872,0
git@github.com:hwi/HWIOAuthBundle.git,0.3.3,11515,3222,243,0.20%,3.1506849315068,0,688,245,876,0
git@github.com:hwi/HWIOAuthBundle.git,0.3.4,11537,3230,247,0.20%,3.140625,0,688,245,886,0
git@github.com:hwi/HWIOAuthBundle.git,0.3.5,11546,3232,255,0.20%,3.1484375,0,688,245,889,0
git@github.com:hwi/HWIOAuthBundle.git,0.3.6,11563,3233,256,0.20%,3.154296875,0,688,245,891,0
git@github.com:hwi/HWIOAuthBundle.git,0.3.7,11641,3238,263,0.20%,3.181640625,0,688,245,893,0
git@github.com:hwi/HWIOAuthBundle.git,0.3.8,11643,3238,265,0.20%,3.18359375,0,688,245,894,0
git@github.com:hwi/HWIOAuthBundle.git,0.3.9,11645,3239,268,0.20%,3.18359375,0,688,245,894,0
git@github.com:hwi/HWIOAuthBundle.git,0.4.0,15684,4117,353,0.33%,3.3527607361963,0,688,245,1113,0
git@github.com:hwi/HWIOAuthBundle.git,0.4.1,15734,4124,359,0.33%,3.3541984732824,0,688,245,1111,0
git@github.com:hwi/HWIOAuthBundle.git,0.4.2,15732,4124,359,0.33%,3.3541984732824,0,688,245,1111,0
git@github.com:hwi/HWIOAuthBundle.git,0.4.3,15811,4125,360,0.35%,3.3587786259542,0,688,245,1153,0
git@github.com:hwi/HWIOAuthBundle.git,0.5.0,16685,4358,370,0.34%,3.3367198838897,0,688,245,1213,0
git@github.com:hwi/HWIOAuthBundle.git,0.5.1,16684,4358,370,0.34%,3.3352685050798,0,688,245,1213,0
git@github.com:hwi/HWIOAuthBundle.git,0.5.2,16800,4365,379,0.33%,3.3536231884058,0,688,245,1224,0
git@github.com:hwi/HWIOAuthBundle.git,0.5.3,16812,4364,379,0.33%,3.3516642547033,0,688,245,1233,0
git@github.com:hwi/HWIOAuthBundle.git,0.6.0,17483,4609,358,0.53%,3.5045045045045,0,688,245,1239,0
git@github.com:hwi/HWIOAuthBundle.git,0.6.1,17537,4617,360,0.52%,3.5112443778111,0,688,245,1241,0
git@github.com:hwi/HWIOAuthBundle.git,0.6.2,17553,4617,361,0.52%,3.5134730538922,0,688,245,1241,0
git@github.com:hwi/HWIOAuthBundle.git,0.6.3,17587,4621,365,0.52%,3.5142002989537,0,688,245,1240,0
