repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:hybridauth/hybridauth.git,v2.0.8,18186,5968,1292,1.74%,5.0704441041348,0,1046,244,1434,2
git@github.com:hybridauth/hybridauth.git,v2.0.9,15455,4646,1164,0.86%,5.4026717557252,0,1046,244,1272,0
git@github.com:hybridauth/hybridauth.git,v2.0.10,19026,6169,1403,0.62%,5.7234042553191,0,1046,244,1670,0
git@github.com:hybridauth/hybridauth.git,v2.0.11,19135,6206,1477,0.62%,5.7384155455904,0,1046,244,1697,0
git@github.com:hybridauth/hybridauth.git,v2.1.0,20084,6337,1661,0.74%,5.9244186046512,0,1046,244,1987,0
git@github.com:hybridauth/hybridauth.git,v2.1.1,20721,6523,1739,1.16%,6.002808988764,0,1046,244,2097,0
git@github.com:hybridauth/hybridauth.git,v2.2.0,23816,7411,2189,1.73%,6.3341708542714,0,1046,244,2538,0
git@github.com:hybridauth/hybridauth.git,v2.2.1,23816,7411,2189,1.73%,6.3341708542714,0,1046,244,2537,0
git@github.com:hybridauth/hybridauth.git,v2.2.2,24115,7647,2199,1.63%,6.3329161451815,0,1046,244,2565,0
git@github.com:hybridauth/hybridauth.git,v2.3.0,23925,7737,2222,1.65%,6.3221809169765,0,1046,244,2560,0
git@github.com:hybridauth/hybridauth.git,v2.4.0,22935,7915,2169,1.38%,6.3201911589008,0,1046,244,2652,0
git@github.com:hybridauth/hybridauth.git,v2.4.1,22940,7915,2170,1.38%,6.3201911589008,0,1046,244,2651,0
git@github.com:hybridauth/hybridauth.git,v2.5.0,22378,7885,2160,1.35%,6.6785260482846,0,1046,244,2709,0
git@github.com:hybridauth/hybridauth.git,2.5.1,22742,7990,2181,1.33%,6.6553884711779,0,1046,244,2734,0
git@github.com:hybridauth/hybridauth.git,v2.6.0,23165,8105,2213,1.17%,6.6259168704156,0,1046,244,2802,0
git@github.com:hybridauth/hybridauth.git,v2.7.0,23748,8221,2290,1.62%,6.6869772998805,0,1046,244,2892,0
git@github.com:hybridauth/hybridauth.git,v2.8.0,22306,7622,2149,2.13%,6.8734015345269,0,1046,244,2858,0
git@github.com:hybridauth/hybridauth.git,v2.8.1,22320,7634,2150,2.13%,6.8708439897698,0,1046,244,2857,0
git@github.com:hybridauth/hybridauth.git,v2.8.2,22326,7637,2150,1.85%,6.8721227621483,0,1046,244,2858,0
git@github.com:hybridauth/hybridauth.git,v2.9.0,23264,7841,2253,2.82%,6.8731527093596,0,1046,244,2975,0
git@github.com:hybridauth/hybridauth.git,v2.9.1,23263,7841,2253,2.82%,6.8756157635468,0,1046,244,2975,0
git@github.com:hybridauth/hybridauth.git,v2.9.2,23351,7854,2271,2.81%,6.8882063882064,0,1046,244,2994,0
git@github.com:hybridauth/hybridauth.git,v2.9.3,23333,7875,2261,2.82%,6.8733087330873,0,1046,244,2959,0
git@github.com:hybridauth/hybridauth.git,v2.9.4,23339,7875,2262,2.82%,6.8757687576876,0,1046,244,2961,0
git@github.com:hybridauth/hybridauth.git,v2.9.5,19940,6256,2015,3.29%,6.9026425591099,0,1046,244,2785,0
git@github.com:hybridauth/hybridauth.git,v2.9.6,19909,6273,2013,2.80%,6.8680555555556,0,1046,244,2786,0
git@github.com:hybridauth/hybridauth.git,v2.10.0,19905,6295,1986,2.80%,6.8210818307906,0,1046,244,2753,0
git@github.com:hybridauth/hybridauth.git,v2.11.0,19922,6297,1989,2.80%,6.8280166435506,0,1046,244,2756,0
git@github.com:hybridauth/hybridauth.git,v2.12.0,19937,6297,1989,2.78%,6.8349514563107,0,1046,244,2756,0
git@github.com:hybridauth/hybridauth.git,v2.13.0,19812,6292,1945,2.80%,6.7711511789182,0,1046,244,2679,0
