repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:illuminate/database.git,v1.0.0,5260,2115,97,0.00%,2.8127090301003,0,408,775,541,0
git@github.com:illuminate/database.git,v1.1.0,16012,5326,223,0.76%,3.2626158599382,0,408,775,2125,0
git@github.com:illuminate/database.git,v1.1.1,16029,5333,224,0.76%,3.2626158599382,0,408,775,2125,0
git@github.com:illuminate/database.git,v4.0.0,15488,7167,396,0.00%,2.0969976905312,0,408,775,298,0
git@github.com:illuminate/database.git,v4.0.1,15531,7186,397,0.00%,2.0979262672811,0,408,775,299,0
git@github.com:illuminate/database.git,v4.0.2,15544,7192,397,0.00%,2.0978135788262,0,408,775,300,0
git@github.com:illuminate/database.git,v4.0.3,15547,7193,397,0.00%,2.0989643268124,0,408,775,300,0
git@github.com:illuminate/database.git,v4.0.4,15599,7216,399,0.00%,2.1019473081329,0,408,775,302,0
git@github.com:illuminate/database.git,v4.0.5,15634,7234,399,0.00%,2.0993150684932,0,408,775,302,0
git@github.com:illuminate/database.git,v4.0.6,15971,7391,411,0.00%,2.0969899665552,0,408,775,308,0
git@github.com:illuminate/database.git,v4.0.7,15972,7394,415,0.00%,2.0883668903803,0,408,775,312,0
git@github.com:illuminate/database.git,v4.0.8,16312,7526,438,0.00%,2.0954994511526,0,408,775,311,0
git@github.com:illuminate/database.git,v4.0.9,16326,7531,440,0.00%,2.0964912280702,0,408,775,311,0
git@github.com:illuminate/database.git,v4.0.10,16446,7580,446,0.00%,2.0957562568009,0,408,775,311,0
git@github.com:illuminate/database.git,v4.1.0,18049,8342,501,0.00%,2.1053677932406,0,408,775,349,0
git@github.com:illuminate/database.git,v4.1.1,18049,8342,501,0.00%,2.1053677932406,0,408,775,349,0
git@github.com:illuminate/database.git,v4.1.2,18049,8342,501,0.00%,2.1053677932406,0,408,775,349,0
git@github.com:illuminate/database.git,v4.1.3,18049,8342,501,0.00%,2.1053677932406,0,408,775,349,0
git@github.com:illuminate/database.git,v4.1.4,18056,8345,502,0.00%,2.1073558648111,0,408,775,350,0
git@github.com:illuminate/database.git,v4.1.5,18056,8345,502,0.00%,2.1073558648111,0,408,775,350,0
git@github.com:illuminate/database.git,v4.1.6,18056,8345,502,0.00%,2.1073558648111,0,408,775,350,0
git@github.com:illuminate/database.git,v4.1.7,18056,8345,502,0.00%,2.1073558648111,0,408,775,350,0
