repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:invoiceninja/invoiceninja.git,v1.0.2,17521,3892,755,0.15%,5.5921052631579,0,1289,161,1163,50
git@github.com:invoiceninja/invoiceninja.git,v1.0.3,21222,4331,781,3.84%,5.6379746835443,0,1289,161,1193,51
git@github.com:invoiceninja/invoiceninja.git,v1.1.0,55986,14455,2389,4.83%,4.1127129750983,0,1289,161,2493,65
git@github.com:invoiceninja/invoiceninja.git,v1.1.1,56248,14467,2378,4.84%,4.120497707924,0,1289,161,2499,65
git@github.com:invoiceninja/invoiceninja.git,v1.1.2,49394,13811,2030,3.25%,4.096837944664,0,1289,161,2394,67
git@github.com:invoiceninja/invoiceninja.git,v1.2.0,50775,13866,2073,3.70%,4.1070496083551,0,1289,161,2408,68
git@github.com:invoiceninja/invoiceninja.git,v1.2.1,50888,13866,2075,3.47%,4.1102413568167,0,1289,161,2410,69
git@github.com:invoiceninja/invoiceninja.git,v1.2.2,52040,14121,2097,4.14%,4.1315618924174,0,1289,161,2435,69
git@github.com:invoiceninja/invoiceninja.git,v1.3.0,52717,14127,2126,4.35%,4.1795865633075,0,1289,161,2447,71
git@github.com:invoiceninja/invoiceninja.git,v1.3.1,53094,14150,2178,4.31%,4.1879795396419,0,1289,161,2465,71
git@github.com:invoiceninja/invoiceninja.git,v1.3.2,54057,14217,2187,4.24%,4.1877394636015,0,1289,161,2544,73
git@github.com:invoiceninja/invoiceninja.git,v1.3.3,54233,14213,2195,4.41%,4.1959157626037,0,1289,161,2546,73
git@github.com:invoiceninja/invoiceninja.git,v1.4.0,55082,14256,2242,4.51%,4.2253164556962,0,1289,161,2578,74
git@github.com:invoiceninja/invoiceninja.git,v1.5.0,56320,14295,2279,3.84%,4.2418136020151,0,1289,161,2611,76
git@github.com:invoiceninja/invoiceninja.git,v1.5.1,56325,14294,2281,3.84%,4.2418136020151,0,1289,161,2611,76
git@github.com:invoiceninja/invoiceninja.git,v1.5.2,76254,24970,2403,6.82%,2.8706927175844,0,1289,161,3135,78
git@github.com:invoiceninja/invoiceninja.git,v1.6.0,77143,24958,2470,6.93%,2.9109225874867,0,1289,161,3191,78
git@github.com:invoiceninja/invoiceninja.git,v1.6.1,76739,24962,2481,7.06%,2.9141342756184,0,1289,161,3190,79
git@github.com:invoiceninja/invoiceninja.git,v1.7.0,78341,25093,2648,7.55%,2.9936974789916,0,1289,161,3313,78
git@github.com:invoiceninja/invoiceninja.git,v1.7.1,78345,25093,2650,7.55%,2.9940476190476,0,1289,161,3313,78
git@github.com:invoiceninja/invoiceninja.git,v1.7.2,78460,25103,2658,7.20%,2.9958012596221,0,1289,161,3319,78
git@github.com:invoiceninja/invoiceninja.git,v2.0.0,36636,3916,1389,6.83%,6.263358778626,0,1289,161,1914,75
git@github.com:invoiceninja/invoiceninja.git,v2.0.1,37056,3922,1419,7.49%,6.219696969697,0,1289,161,1923,75
git@github.com:invoiceninja/invoiceninja.git,v2.1.0,37745,3855,1382,8.82%,6.3948412698413,0,1289,161,1897,77
git@github.com:invoiceninja/invoiceninja.git,v2.1.1,37632,3823,1391,8.75%,6.4087301587302,0,1289,161,1904,77
