repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:itsgoingd/clockwork.git,v0.9.0,1299,337,74,0.00%,2.5,0,140,62,76,0
git@github.com:itsgoingd/clockwork.git,v0.9.1,1421,387,81,0.00%,2.5294117647059,0,140,62,76,0
git@github.com:itsgoingd/clockwork.git,v1.4.1,2298,583,117,0.00%,2.6440677966102,0,140,62,133,0
git@github.com:itsgoingd/clockwork.git,v1.4.2,2298,583,117,0.00%,2.6440677966102,0,140,62,133,0
git@github.com:itsgoingd/clockwork.git,v1.4.3,2298,583,117,0.00%,2.6440677966102,0,140,62,133,0
git@github.com:itsgoingd/clockwork.git,v1.4.4,2299,583,117,0.00%,2.6440677966102,0,140,62,133,0
git@github.com:itsgoingd/clockwork.git,v1.8.1,3015,708,149,0.00%,2.7435897435897,0,140,62,161,0
git@github.com:itsgoingd/clockwork.git,v1.10.1,3661,813,191,7.43%,2.8010471204188,0,140,62,188,0
git@github.com:itsgoingd/clockwork.git,v1.11.1,3719,811,206,7.10%,2.796875,0,140,62,192,0
git@github.com:itsgoingd/clockwork.git,v1.11.2,3723,811,207,7.09%,2.8020833333333,0,140,62,192,0
git@github.com:itsgoingd/clockwork.git,v1.13.1,3980,825,231,5.63%,2.7307692307692,0,140,62,207,0
git@github.com:itsgoingd/clockwork.git,v1.14.2,4095,845,240,6.32%,2.7405660377358,0,140,62,215,0
git@github.com:itsgoingd/clockwork.git,v1.14.3,4110,847,240,4.62%,2.7370892018779,0,140,62,216,0
git@github.com:itsgoingd/clockwork.git,v1.14.4,4114,847,241,4.62%,2.7417840375587,0,140,62,217,0
git@github.com:itsgoingd/clockwork.git,v1.14.5,4113,847,241,4.62%,2.7370892018779,0,140,62,217,0
git@github.com:itsgoingd/clockwork.git,v2.0.1,4552,840,272,4.17%,2.5446808510638,0,140,62,237,0
git@github.com:itsgoingd/clockwork.git,v2.0.2,4552,840,273,4.17%,2.5446808510638,0,140,62,237,0
git@github.com:itsgoingd/clockwork.git,v2.0.3,4555,837,273,4.17%,2.5189873417722,0,140,62,235,0
git@github.com:itsgoingd/clockwork.git,v2.0.4,4555,837,274,4.17%,2.5189873417722,0,140,62,235,0
git@github.com:itsgoingd/clockwork.git,v2.1.1,4742,962,279,4.01%,2.5443037974684,0,140,62,236,0
git@github.com:itsgoingd/clockwork.git,v2.2.1,4779,968,284,3.41%,2.5481171548117,0,140,62,238,0
git@github.com:itsgoingd/clockwork.git,v2.2.2,4779,968,284,3.41%,2.5481171548117,0,140,62,238,0
git@github.com:itsgoingd/clockwork.git,v2.2.3,4785,970,286,3.41%,2.5523012552301,0,140,62,239,0
git@github.com:itsgoingd/clockwork.git,v2.2.4,4764,965,282,3.42%,2.5504201680672,0,140,62,238,0
git@github.com:itsgoingd/clockwork.git,v2.2.5,4764,965,282,3.42%,2.5504201680672,0,140,62,238,0
git@github.com:itsgoingd/clockwork.git,v3.0.1,5831,918,364,3.31%,2.5825242718447,0,140,62,288,0
git@github.com:itsgoingd/clockwork.git,v3.0.2,5831,918,364,3.31%,2.5825242718447,0,140,62,288,0
git@github.com:itsgoingd/clockwork.git,v3.1.1,6535,1097,436,3.57%,2.5186246418338,0,140,62,311,0
git@github.com:itsgoingd/clockwork.git,v3.1.2,6537,1097,436,3.56%,2.5186246418338,0,140,62,311,0
