repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:j4mie/idiorm.git,v0.1.0,1662,649,46,0.00%,2.5575221238938,0,371,53,35,0
git@github.com:j4mie/idiorm.git,v0.1.1,1663,649,46,0.00%,2.5663716814159,0,371,53,35,0
git@github.com:j4mie/idiorm.git,0.6.1,1158,392,34,0.00%,2.9032258064516,0,371,53,19,0
git@github.com:j4mie/idiorm.git,0.7.0,1455,489,49,0.00%,2.7283950617284,0,371,53,23,0
git@github.com:j4mie/idiorm.git,v0.7.0,1455,489,49,0.00%,2.7283950617284,0,371,53,23,0
git@github.com:j4mie/idiorm.git,v1.0.0,1459,489,49,0.00%,2.7073170731707,0,371,53,23,0
git@github.com:j4mie/idiorm.git,v1.0.1,1598,524,56,0.00%,2.7142857142857,0,371,53,24,0
git@github.com:j4mie/idiorm.git,v1.1.0,1598,524,56,0.00%,2.7142857142857,0,371,53,24,0
git@github.com:j4mie/idiorm.git,v1.1.1,1609,526,57,0.00%,2.7252747252747,0,371,53,24,0
git@github.com:j4mie/idiorm.git,v1.2.0,2051,674,85,0.00%,2.7321428571429,0,371,53,35,0
git@github.com:j4mie/idiorm.git,v1.2.1,2051,674,85,0.00%,2.7321428571429,0,371,53,35,0
git@github.com:j4mie/idiorm.git,v1.2.2,2052,674,85,0.00%,2.7321428571429,0,371,53,35,0
git@github.com:j4mie/idiorm.git,v1.2.3,2052,674,85,0.00%,2.7321428571429,0,371,53,35,0
git@github.com:j4mie/idiorm.git,v1.3.0,3062,905,101,0.00%,2.9064748201439,0,371,53,48,0
git@github.com:j4mie/idiorm.git,v1.4.0,3879,974,114,0.00%,2.9791666666667,0,371,53,60,0
git@github.com:j4mie/idiorm.git,v1.4.1,3863,967,113,0.00%,2.976501305483,0,371,53,60,0
git@github.com:j4mie/idiorm.git,v1.5.0,4537,1080,193,0.00%,3.2037914691943,0,371,53,113,0
git@github.com:j4mie/idiorm.git,v1.5.1,4542,1080,194,0.00%,3.196682464455,0,371,53,117,0
git@github.com:j4mie/idiorm.git,v1.5.2,4645,1157,194,0.00%,3.2047058823529,0,371,53,119,0
git@github.com:j4mie/idiorm.git,v1.5.3,4645,1157,194,0.00%,3.2047058823529,0,371,53,119,0
git@github.com:j4mie/idiorm.git,v1.5.4,4694,1161,195,0.00%,3.2284382284382,0,371,53,128,0
git@github.com:j4mie/idiorm.git,v1.5.5,4694,1161,195,0.00%,3.2284382284382,0,371,53,128,0
git@github.com:j4mie/idiorm.git,v1.5.6,4696,1161,195,0.00%,3.2307692307692,0,371,53,128,0
