repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:jadjoubran/laravel5-angular-material-starter.git,2.2.3,3088,1332,8,0.00%,1.2058823529412,0,444,33,11,10
git@github.com:jadjoubran/laravel5-angular-material-starter.git,2.3.0,3088,1332,8,0.00%,1.2058823529412,0,444,33,11,10
git@github.com:jadjoubran/laravel5-angular-material-starter.git,2.3.1,3088,1332,8,0.00%,1.2058823529412,0,444,33,11,10
git@github.com:jadjoubran/laravel5-angular-material-starter.git,2.3.2,3084,1332,8,0.00%,1.2058823529412,0,444,33,11,10
git@github.com:jadjoubran/laravel5-angular-material-starter.git,2.3.3,3084,1332,8,0.00%,1.2058823529412,0,444,33,11,10
git@github.com:jadjoubran/laravel5-angular-material-starter.git,2.4.0,3084,1332,8,0.00%,1.2058823529412,0,444,33,11,10
git@github.com:jadjoubran/laravel5-angular-material-starter.git,2.4.2,3127,1331,8,0.00%,1.2,0,444,33,11,11
git@github.com:jadjoubran/laravel5-angular-material-starter.git,2.4.3,3127,1331,8,0.00%,1.2,0,444,33,11,11
git@github.com:jadjoubran/laravel5-angular-material-starter.git,2.5.0,3119,1328,8,0.00%,1.2,0,444,33,11,11
git@github.com:jadjoubran/laravel5-angular-material-starter.git,2.6.0,3119,1328,8,0.00%,1.2,0,444,33,11,11
git@github.com:jadjoubran/laravel5-angular-material-starter.git,2.6.1,3260,1371,10,0.00%,1.8974358974359,0,444,33,21,11
git@github.com:jadjoubran/laravel5-angular-material-starter.git,2.6.2,3412,1422,10,0.00%,2.1333333333333,0,444,33,31,11
git@github.com:jadjoubran/laravel5-angular-material-starter.git,2.7.0,3412,1422,10,0.00%,2.1333333333333,0,444,33,31,11
git@github.com:jadjoubran/laravel5-angular-material-starter.git,2.7.1,3419,1422,10,0.00%,2.1333333333333,0,444,33,31,11
git@github.com:jadjoubran/laravel5-angular-material-starter.git,2.7.2,3419,1422,10,0.00%,2.1333333333333,0,444,33,31,11
git@github.com:jadjoubran/laravel5-angular-material-starter.git,2.7.3,3419,1422,10,0.00%,2.1333333333333,0,444,33,31,11
git@github.com:jadjoubran/laravel5-angular-material-starter.git,2.7.4,3497,1447,11,0.00%,2.4468085106383,0,444,33,36,11
git@github.com:jadjoubran/laravel5-angular-material-starter.git,2.7.5,3499,1447,11,0.00%,2.4893617021277,0,444,33,36,11
git@github.com:jadjoubran/laravel5-angular-material-starter.git,2.8.0,3504,1452,11,0.00%,2.4893617021277,0,444,33,36,11
git@github.com:jadjoubran/laravel5-angular-material-starter.git,2.8.1,3504,1452,11,0.00%,2.4893617021277,0,444,33,36,11
git@github.com:jadjoubran/laravel5-angular-material-starter.git,2.8.2,3504,1452,11,0.00%,2.4893617021277,0,444,33,36,11
git@github.com:jadjoubran/laravel5-angular-material-starter.git,2.9.0,3556,1464,11,0.00%,2.4,0,444,33,36,11
git@github.com:jadjoubran/laravel5-angular-material-starter.git,2.9.1,3623,1461,11,0.00%,2.5849056603774,0,444,33,36,11
git@github.com:jadjoubran/laravel5-angular-material-starter.git,2.10.0,3845,1608,11,0.00%,2.5555555555556,0,444,33,36,11
git@github.com:jadjoubran/laravel5-angular-material-starter.git,2.10.1,3856,1608,12,0.00%,2.5454545454545,0,444,33,36,11
git@github.com:jadjoubran/laravel5-angular-material-starter.git,2.10.2,3901,1627,12,0.00%,2.5454545454545,0,444,33,36,11
git@github.com:jadjoubran/laravel5-angular-material-starter.git,3.0.0,3325,1471,10,0.00%,1.6666666666667,0,444,33,17,6
git@github.com:jadjoubran/laravel5-angular-material-starter.git,3.0.1,3325,1471,10,0.00%,1.6666666666667,0,444,33,17,6
git@github.com:jadjoubran/laravel5-angular-material-starter.git,3.0.2,3325,1471,10,0.00%,1.6666666666667,0,444,33,17,6
