repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:jcc/blog.git,v1.0.0,10418,2973,101,0.00%,2.0611620795107,0,564,21,197,37
git@github.com:jcc/blog.git,v1.0.1,10418,2973,101,0.00%,2.0611620795107,0,564,21,197,37
git@github.com:jcc/blog.git,v1.0.2,10440,2978,101,0.00%,2.0609756097561,0,564,21,197,37
git@github.com:jcc/blog.git,v1.0.3,10485,2978,102,0.00%,2.0640243902439,0,564,21,198,37
git@github.com:jcc/blog.git,v1.0.4,10516,2988,102,0.00%,2.0670731707317,0,564,21,198,37
git@github.com:jcc/blog.git,v1.0.5,10512,2982,102,0.00%,2.0642201834862,0,564,21,198,37
git@github.com:jcc/blog.git,v1.1.0,10527,2968,102,0.00%,2.0606060606061,0,564,21,0,0
git@github.com:jcc/blog.git,v1.1.1,10527,2968,102,0.00%,2.0606060606061,0,564,21,0,0
git@github.com:jcc/blog.git,v1.1.2,10411,2962,102,0.00%,2.0395136778116,0,564,21,0,0
git@github.com:jcc/blog.git,v1.1.3,10410,2962,102,0.00%,2.0395136778116,0,564,21,0,0
git@github.com:jcc/blog.git,v1.1.4,10415,2963,104,0.00%,2.0395136778116,0,564,21,0,0
git@github.com:jcc/blog.git,v1.1.5,10415,2963,104,0.00%,2.0395136778116,0,564,21,0,0
git@github.com:jcc/blog.git,v1.1.6,10417,2963,104,0.00%,2.0395136778116,0,564,21,0,0
git@github.com:jcc/blog.git,v1.1.7,10439,2979,104,0.00%,2.0392749244713,0,564,21,197,37
git@github.com:jcc/blog.git,v1.1.8,10505,2981,104,0.00%,2.0479041916168,0,564,21,197,37
git@github.com:jcc/blog.git,v1.1.9,10534,2983,104,0.00%,2.0595238095238,0,564,21,195,37
git@github.com:jcc/blog.git,v1.1.10,10539,2983,106,0.00%,2.0654761904762,0,564,21,194,37
git@github.com:jcc/blog.git,v1.1.11,10537,2983,106,0.00%,2.0625,0,564,21,194,37
git@github.com:jcc/blog.git,v1.1.12,10540,2985,106,0.00%,2.0625,0,564,21,192,37
git@github.com:jcc/blog.git,v1.1.13,10555,2985,106,0.00%,2.0625,0,564,21,192,38
git@github.com:jcc/blog.git,v1.1.14,10575,2991,107,0.00%,2.0741839762611,0,564,21,192,38
git@github.com:jcc/blog.git,v1.1.15,10589,2998,107,0.00%,2.0769230769231,0,564,21,192,38
git@github.com:jcc/blog.git,v1.1.16,10590,2998,107,0.00%,2.0769230769231,0,564,21,192,38
git@github.com:jcc/blog.git,v1.1.17,10594,2998,107,0.00%,2.0769230769231,0,564,21,192,38
git@github.com:jcc/blog.git,v1.2.0,11044,3071,121,0.00%,2.0712250712251,0,564,21,208,42
git@github.com:jcc/blog.git,v1.2.1,11048,3071,121,0.00%,2.0712250712251,0,564,21,208,42
git@github.com:jcc/blog.git,v1.2.2,11048,3071,121,0.00%,2.0712250712251,0,564,21,208,42
git@github.com:jcc/blog.git,v1.2.3,11210,3109,134,0.00%,2.0730337078652,0,564,21,211,42
git@github.com:jcc/blog.git,v1.2.4,11384,3164,140,0.00%,2.0824175824176,0,564,21,211,42
git@github.com:jcc/blog.git,v1.2.5,11383,3164,140,0.00%,2.0824175824176,0,564,21,211,42
git@github.com:jcc/blog.git,v1.2.6,11383,3164,140,0.00%,2.0824175824176,0,564,21,211,42
git@github.com:jcc/blog.git,v1.2.7,11385,3164,140,0.00%,2.0824175824176,0,564,21,211,42
git@github.com:jcc/blog.git,v1.2.8,11606,3289,152,0.00%,2.0748663101604,0,564,21,215,42
git@github.com:jcc/blog.git,v1.2.9,11606,3289,152,0.00%,2.0748663101604,0,564,21,215,42
git@github.com:jcc/blog.git,v1.2.10,11606,3289,152,0.00%,2.0748663101604,0,564,21,215,42
git@github.com:jcc/blog.git,v1.2.11,11613,3289,153,0.00%,2.0802139037433,0,564,21,215,42
git@github.com:jcc/blog.git,v1.3.0,11609,3285,153,0.00%,2.0802139037433,0,564,21,215,42
git@github.com:jcc/blog.git,v1.3.1,11613,3285,153,0.00%,2.0802139037433,0,564,21,215,42
git@github.com:jcc/blog.git,v1.3.2,11614,3285,159,0.00%,2.0641711229947,0,564,21,213,42
git@github.com:jcc/blog.git,v1.3.3,11614,3285,159,0.00%,2.0641711229947,0,564,21,213,42
git@github.com:jcc/blog.git,v1.4.0,12096,3435,159,0.00%,2.0909090909091,0,564,21,236,42
git@github.com:jcc/blog.git,v1.4.1,12096,3435,159,0.00%,2.0909090909091,0,564,21,236,42
git@github.com:jcc/blog.git,v1.4.2,12096,3435,159,0.00%,2.0909090909091,0,564,21,236,42
git@github.com:jcc/blog.git,v1.4.3,12096,3435,159,0.00%,2.0909090909091,0,564,21,236,42
git@github.com:jcc/blog.git,v1.4.4,12096,3435,159,0.00%,2.0909090909091,0,564,21,236,42
