repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:jenssegers/agent.git,v1.0.0,739,239,39,0.00%,2.08,0,257,21,7,0
git@github.com:jenssegers/agent.git,v2.0.0,2096,287,63,0.00%,4,0,257,21,75,0
git@github.com:jenssegers/agent.git,v2.0.1,2098,288,64,0.00%,3.9772727272727,0,257,21,75,0
git@github.com:jenssegers/agent.git,v2.0.2,418,107,17,0.00%,3,0,257,21,10,0
git@github.com:jenssegers/agent.git,v2.1.0,486,115,20,0.00%,3.3333333333333,0,257,21,14,0
git@github.com:jenssegers/agent.git,v2.1.1,574,133,27,0.00%,3.3809523809524,0,257,21,23,0
git@github.com:jenssegers/agent.git,v2.1.2,574,133,27,0.00%,3.3809523809524,0,257,21,23,0
git@github.com:jenssegers/agent.git,v2.1.3,574,133,27,0.00%,3.3809523809524,0,257,21,23,0
git@github.com:jenssegers/agent.git,v2.1.4,618,137,32,0.00%,3.4347826086957,0,257,21,30,0
git@github.com:jenssegers/agent.git,v2.1.5,618,138,32,0.00%,3.3913043478261,0,257,21,30,0
git@github.com:jenssegers/agent.git,v2.1.6,648,146,36,0.00%,3.4583333333333,0,257,21,47,0
git@github.com:jenssegers/agent.git,v2.1.7,653,146,36,0.00%,3.4583333333333,0,257,21,47,0
git@github.com:jenssegers/agent.git,v2.2.0,674,150,37,0.00%,3.44,0,257,21,47,0
git@github.com:jenssegers/agent.git,v2.2.1,676,150,37,0.00%,3.44,0,257,21,47,0
git@github.com:jenssegers/agent.git,v2.2.2,691,157,38,0.00%,3.4615384615385,0,257,21,51,0
git@github.com:jenssegers/agent.git,v2.3.0,787,166,44,0.00%,4.5,0,257,21,81,0
git@github.com:jenssegers/agent.git,v2.3.1,787,166,44,0.00%,4.5,0,257,21,81,0
git@github.com:jenssegers/agent.git,v2.3.2,792,166,44,0.00%,4.5,0,257,21,81,0
git@github.com:jenssegers/agent.git,v2.3.3,792,166,44,0.00%,4.5,0,257,21,81,0
git@github.com:jenssegers/agent.git,v2.4.0,772,158,37,0.00%,4.2142857142857,0,257,21,72,0
git@github.com:jenssegers/agent.git,v2.4.1,772,158,37,0.00%,4.2142857142857,0,257,21,72,0
git@github.com:jenssegers/agent.git,v2.5.0,737,150,39,0.00%,4.0689655172414,0,257,21,71,0
git@github.com:jenssegers/agent.git,v2.5.1,729,150,41,0.00%,4.0689655172414,0,257,21,71,0
git@github.com:jenssegers/agent.git,v2.5.2,729,150,41,0.00%,4.0689655172414,0,257,21,71,0
git@github.com:jenssegers/agent.git,v2.6.0,729,150,41,0.00%,4.0689655172414,0,257,21,71,0
git@github.com:jenssegers/agent.git,v2.6.1,742,154,39,0.00%,3.9677419354839,0,257,21,72,0
git@github.com:jenssegers/agent.git,v2.6.2,762,128,45,0.00%,3.6666666666667,0,257,21,73,0
