repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:jenssegers/date.git,v1.0.0,1141,300,62,0.00%,5.1454545454545,0,223,135,37,0
git@github.com:jenssegers/date.git,v2.0.0,1051,220,37,0.00%,5.5,0,223,135,22,0
git@github.com:jenssegers/date.git,v2.0.1,1346,280,37,0.00%,5.2571428571429,0,223,135,23,0
git@github.com:jenssegers/date.git,v2.0.2,1580,325,45,0.00%,4.9285714285714,0,223,135,25,0
git@github.com:jenssegers/date.git,v2.0.3,1685,351,45,0.00%,4.804347826087,0,223,135,24,0
git@github.com:jenssegers/date.git,v2.0.4,1682,350,45,0.00%,4.7608695652174,0,223,135,24,0
git@github.com:jenssegers/date.git,v2.0.5,1863,377,47,0.00%,4.8333333333333,0,223,135,26,0
git@github.com:jenssegers/date.git,v2.0.6,1971,397,49,0.00%,4.8958333333333,0,223,135,26,0
git@github.com:jenssegers/date.git,v2.0.7,2123,424,49,0.00%,5,0,223,135,26,0
git@github.com:jenssegers/date.git,v2.0.8,2305,451,49,0.00%,5,0,223,135,26,0
git@github.com:jenssegers/date.git,v2.0.9,2399,469,50,0.00%,5,0,223,135,27,0
git@github.com:jenssegers/date.git,v2.0.10,2449,478,50,0.00%,5.0208333333333,0,223,135,27,0
git@github.com:jenssegers/date.git,v2.0.11,2496,487,50,0.00%,5.0208333333333,0,223,135,27,0
git@github.com:jenssegers/date.git,v2.0.12,2505,489,51,0.00%,5.0416666666667,0,223,135,28,0
git@github.com:jenssegers/date.git,v2.0.13,2579,514,56,0.00%,4.8301886792453,0,223,135,32,0
git@github.com:jenssegers/date.git,v2.0.14,2585,515,57,0.00%,4.8490566037736,0,223,135,32,0
git@github.com:jenssegers/date.git,v2.0.15,2694,533,57,0.00%,4.8490566037736,0,223,135,32,0
git@github.com:jenssegers/date.git,v2.0.16,2824,542,63,0.00%,5,0,223,135,35,0
git@github.com:jenssegers/date.git,v2.0.17,2819,542,62,0.00%,4.9636363636364,0,223,135,35,0
git@github.com:jenssegers/date.git,v2.0.18,2820,543,62,0.00%,4.9636363636364,0,223,135,35,0
git@github.com:jenssegers/date.git,v2.0.19,2867,552,62,0.00%,4.9636363636364,0,223,135,35,0
git@github.com:jenssegers/date.git,v2.0.20,2866,552,63,0.00%,4.9636363636364,0,223,135,35,0
git@github.com:jenssegers/date.git,v2.0.21,2866,552,63,0.00%,4.9636363636364,0,223,135,35,0
