repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:jenssegers/laravel-mongodb.git,v1.0.0,2351,498,76,0.00%,4.5259259259259,0,931,126,50,0
git@github.com:jenssegers/laravel-mongodb.git,v1.0.1,2457,507,79,0.00%,4.5815602836879,0,931,126,52,0
git@github.com:jenssegers/laravel-mongodb.git,v1.0.2,2774,608,85,0.00%,4.1666666666667,0,931,126,56,0
git@github.com:jenssegers/laravel-mongodb.git,v1.0.3,2759,543,80,0.00%,4.2822085889571,0,931,126,55,0
git@github.com:jenssegers/laravel-mongodb.git,v1.0.4,2918,586,84,0.00%,4.2906976744186,0,931,126,58,0
git@github.com:jenssegers/laravel-mongodb.git,v1.0.5,3008,600,85,0.00%,4.3885714285714,0,931,126,61,0
git@github.com:jenssegers/laravel-mongodb.git,v1.0.6,3269,652,100,0.00%,4.4565217391304,0,931,126,65,0
git@github.com:jenssegers/laravel-mongodb.git,v1.0.7,3764,805,117,0.00%,4.6292682926829,0,931,126,94,0
git@github.com:jenssegers/laravel-mongodb.git,v1.0.8,3846,810,118,0.00%,4.7766990291262,0,931,126,96,0
git@github.com:jenssegers/laravel-mongodb.git,v1.1.0,3881,820,121,0.00%,4.8115942028986,0,931,126,95,0
git@github.com:jenssegers/laravel-mongodb.git,v1.1.1,4201,873,130,0.00%,4.7612612612613,0,931,126,118,0
git@github.com:jenssegers/laravel-mongodb.git,v1.1.2,4255,877,133,0.00%,4.868778280543,0,931,126,118,0
git@github.com:jenssegers/laravel-mongodb.git,v1.1.3,4373,908,137,0.00%,4.8526785714286,0,931,126,120,0
git@github.com:jenssegers/laravel-mongodb.git,v1.1.4,4811,1044,149,0.00%,4.741935483871,0,931,126,153,0
git@github.com:jenssegers/laravel-mongodb.git,v1.2.0,5113,1120,166,0.00%,4.9115384615385,0,931,126,189,0
git@github.com:jenssegers/laravel-mongodb.git,v1.2.1,5135,1121,168,0.00%,4.9233716475096,0,931,126,190,0
git@github.com:jenssegers/laravel-mongodb.git,v1.2.2,5243,1150,171,0.00%,4.9067164179104,0,931,126,203,0
git@github.com:jenssegers/laravel-mongodb.git,v1.2.3,5788,1283,191,0.00%,5.0104529616725,0,931,126,301,0
git@github.com:jenssegers/laravel-mongodb.git,v1.2.4,5816,1297,190,0.00%,5.1985815602837,0,931,126,297,0
git@github.com:jenssegers/laravel-mongodb.git,v1.2.5,5872,1308,193,0.00%,5.2175438596491,0,931,126,310,0
git@github.com:jenssegers/laravel-mongodb.git,v1.2.6,5820,1239,187,0.00%,5.3859649122807,0,931,126,318,0
git@github.com:jenssegers/laravel-mongodb.git,v1.2.7,5831,1236,186,0.00%,5.4315789473684,0,931,126,319,0
git@github.com:jenssegers/laravel-mongodb.git,v1.2.8,5861,1252,186,0.00%,5.3854166666667,0,931,126,320,0
git@github.com:jenssegers/laravel-mongodb.git,v1.2.9,5915,1264,188,0.00%,5.4275862068966,0,931,126,334,0
git@github.com:jenssegers/laravel-mongodb.git,v1.3.0,6201,1320,205,0.18%,5.4901315789474,0,931,126,414,0
git@github.com:jenssegers/laravel-mongodb.git,v1.3.1,6374,1351,213,0.17%,5.4951140065147,0,931,126,423,0
git@github.com:jenssegers/laravel-mongodb.git,v1.3.2,6463,1363,216,0.17%,5.5193548387097,0,931,126,436,0
git@github.com:jenssegers/laravel-mongodb.git,v1.4.0,6469,1363,215,0.17%,5.5161290322581,0,931,126,432,0
git@github.com:jenssegers/laravel-mongodb.git,v1.4.1,6505,1362,216,0.17%,5.540192926045,0,931,126,434,0
git@github.com:jenssegers/laravel-mongodb.git,v1.4.2,6708,1420,228,0.16%,5.4751552795031,0,931,126,445,0
git@github.com:jenssegers/laravel-mongodb.git,v1.4.3,6760,1430,229,0.16%,5.5061728395062,0,931,126,447,0
git@github.com:jenssegers/laravel-mongodb.git,v2.0.0,7958,1691,275,0.36%,5.7204301075269,0,931,126,746,0
git@github.com:jenssegers/laravel-mongodb.git,v2.0.1,7989,1693,278,0.36%,5.7345844504021,0,931,126,749,0
git@github.com:jenssegers/laravel-mongodb.git,v2.0.2,7999,1698,278,0.36%,5.7192513368984,0,931,126,749,0
git@github.com:jenssegers/laravel-mongodb.git,v2.0.3,8020,1702,278,0.36%,5.7306666666667,0,931,126,751,0
git@github.com:jenssegers/laravel-mongodb.git,v2.0.4,8022,1702,278,0.36%,5.7306666666667,0,931,126,751,0
git@github.com:jenssegers/laravel-mongodb.git,v2.0.5,8075,1710,279,0.36%,5.737400530504,0,931,126,754,0
git@github.com:jenssegers/laravel-mongodb.git,v2.1.0,7958,1705,277,0.36%,5.7319034852547,0,931,126,747,0
git@github.com:jenssegers/laravel-mongodb.git,v2.1.1,7998,1711,278,0.36%,5.7333333333333,0,931,126,749,0
git@github.com:jenssegers/laravel-mongodb.git,v2.1.2,8055,1719,279,0.36%,5.7480106100796,0,931,126,752,0
git@github.com:jenssegers/laravel-mongodb.git,v2.1.3,8043,1711,280,0.36%,5.7612732095491,0,931,126,753,0
git@github.com:jenssegers/laravel-mongodb.git,v2.1.4,8057,1715,285,0.36%,5.7513227513228,0,931,126,752,0
git@github.com:jenssegers/laravel-mongodb.git,v2.1.5,8087,1725,287,0.36%,5.7433862433862,0,931,126,757,0
git@github.com:jenssegers/laravel-mongodb.git,v2.1.6,8115,1732,287,0.36%,5.7308707124011,0,931,126,761,0
git@github.com:jenssegers/laravel-mongodb.git,v2.1.7,8130,1734,291,0.36%,5.7414248021108,0,931,126,763,0
git@github.com:jenssegers/laravel-mongodb.git,v2.1.8,8159,1753,292,0.36%,5.7165354330709,0,931,126,763,0
git@github.com:jenssegers/laravel-mongodb.git,v2.1.9,8137,1723,291,0.36%,5.7139107611549,0,931,126,763,0
git@github.com:jenssegers/laravel-mongodb.git,v2.2.0,8130,1736,293,0.23%,5.7018469656992,0,931,126,806,0
git@github.com:jenssegers/laravel-mongodb.git,v2.2.1,8140,1741,293,0.23%,5.6894736842105,0,931,126,806,0
git@github.com:jenssegers/laravel-mongodb.git,v2.2.2,8140,1741,293,0.23%,5.6894736842105,0,931,126,806,0
git@github.com:jenssegers/laravel-mongodb.git,v2.2.3,8156,1746,293,0.23%,5.6675392670157,0,931,126,806,0
git@github.com:jenssegers/laravel-mongodb.git,v2.2.4,8195,1756,295,0.23%,5.6736292428198,0,931,126,808,0
git@github.com:jenssegers/laravel-mongodb.git,v2.2.5,8230,1763,297,0.23%,5.6727272727273,0,931,126,810,0
git@github.com:jenssegers/laravel-mongodb.git,v2.2.6,8232,1764,297,0.23%,5.6727272727273,0,931,126,810,0
git@github.com:jenssegers/laravel-mongodb.git,v2.2.7,8231,1764,299,0.23%,5.6727272727273,0,931,126,810,0
git@github.com:jenssegers/laravel-mongodb.git,v2.2.8,8060,1765,299,0.24%,5.6779220779221,0,931,126,804,0
git@github.com:jenssegers/laravel-mongodb.git,v2.2.9,8068,1765,299,0.24%,5.6805194805195,0,931,126,804,0
git@github.com:jenssegers/laravel-mongodb.git,v2.2.10,8194,1796,302,0.23%,5.6512820512821,0,931,126,811,0
git@github.com:jenssegers/laravel-mongodb.git,v2.3.0,7826,1681,281,0.24%,5.7093333333333,0,931,126,734,0
git@github.com:jenssegers/laravel-mongodb.git,v2.3.1,7831,1681,281,0.24%,5.7093333333333,0,931,126,734,0
git@github.com:jenssegers/laravel-mongodb.git,v2.3.2,7839,1682,283,0.24%,5.7146666666667,0,931,126,734,0
git@github.com:jenssegers/laravel-mongodb.git,v2.3.3,8003,1724,286,0.24%,5.6719160104987,0,931,126,742,0
git@github.com:jenssegers/laravel-mongodb.git,v2.3.4,8009,1724,286,0.24%,5.6623036649215,0,931,126,742,0
git@github.com:jenssegers/laravel-mongodb.git,v2.3.5,8050,1744,286,0.24%,5.625974025974,0,931,126,748,0
git@github.com:jenssegers/laravel-mongodb.git,v3.0.0,8034,1740,294,0.24%,5.668407310705,0,931,126,750,0
git@github.com:jenssegers/laravel-mongodb.git,v3.0.1,8032,1739,296,0.24%,5.6710182767624,0,931,126,750,0
git@github.com:jenssegers/laravel-mongodb.git,v3.0.2,8074,1760,296,0.24%,5.6347150259067,0,931,126,756,0
git@github.com:jenssegers/laravel-mongodb.git,v3.1.0,8421,1858,312,0.23%,5.6329113924051,0,931,126,792,0
git@github.com:jenssegers/laravel-mongodb.git,v3.1.1,8465,1867,315,0.22%,5.6372795969773,0,931,126,792,0
git@github.com:jenssegers/laravel-mongodb.git,v3.1.2,8451,1854,316,0.22%,5.5818639798489,0,931,126,790,0
git@github.com:jenssegers/laravel-mongodb.git,v3.1.3,8451,1854,316,0.22%,5.5818639798489,0,931,126,791,0
git@github.com:jenssegers/laravel-mongodb.git,v3.1.4,8463,1854,315,0.22%,5.5753768844221,0,931,126,792,0
git@github.com:jenssegers/laravel-mongodb.git,v3.2.0,8427,1649,321,0.23%,5.3717026378897,0,931,126,786,0
git@github.com:jenssegers/laravel-mongodb.git,v3.2.1,8437,1654,321,0.23%,5.3588516746411,0,931,126,786,0
git@github.com:jenssegers/laravel-mongodb.git,v3.2.2,8496,1658,323,0.22%,5.3890214797136,0,931,126,793,0
git@github.com:jenssegers/laravel-mongodb.git,v3.2.3,9162,1753,342,0.21%,5.3657407407407,0,931,126,823,0
git@github.com:jenssegers/laravel-mongodb.git,v3.3.0,9283,1775,350,0.23%,5.3692660550459,0,931,126,837,0
git@github.com:jenssegers/laravel-mongodb.git,v3.3.1,9327,1786,352,0.23%,5.3416856492027,0,931,126,837,0
git@github.com:jenssegers/laravel-mongodb.git,v3.4.0,9416,1815,360,0.22%,5.2988764044944,0,931,126,841,0
git@github.com:jenssegers/laravel-mongodb.git,v3.4.1,9480,1820,361,0.22%,5.3229398663697,0,931,126,887,0
git@github.com:jenssegers/laravel-mongodb.git,v3.4.2,9599,1834,367,0.22%,5.2923076923077,0,931,126,895,0
git@github.com:jenssegers/laravel-mongodb.git,v3.4.3,9598,1834,368,0.22%,5.2967032967033,0,931,126,894,0
git@github.com:jenssegers/laravel-mongodb.git,v3.4.4,9605,1839,368,0.22%,5.2967032967033,0,931,126,894,0
git@github.com:jenssegers/laravel-mongodb.git,v3.4.5,9709,1895,368,0.22%,5.2224622030238,0,931,126,894,0
