repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:johnroper100/dropplets.git,v1.5.0,4049,1004,250,0.00%,5.6105263157895,0,229,55,159,0
git@github.com:johnroper100/dropplets.git,v1.5.1,4048,1004,249,0.00%,5.6105263157895,0,229,55,159,0
git@github.com:johnroper100/dropplets.git,v1.5.2,4048,1004,249,0.00%,5.6105263157895,0,229,55,159,0
git@github.com:johnroper100/dropplets.git,v1.5.3,4049,1004,250,0.00%,5.6105263157895,0,229,55,159,0
git@github.com:johnroper100/dropplets.git,v1.5.4,4063,1005,250,0.00%,5.6105263157895,0,229,55,159,0
git@github.com:johnroper100/dropplets.git,v1.5.5,4071,1006,250,0.00%,5.6105263157895,0,229,55,159,0
git@github.com:johnroper100/dropplets.git,v1.5.6,4095,1006,253,0.00%,5.6105263157895,0,229,55,161,0
git@github.com:johnroper100/dropplets.git,v1.6.1,4181,1006,263,0.00%,5.6105263157895,0,229,55,159,0
git@github.com:johnroper100/dropplets.git,v1.6.2,4346,1012,288,0.00%,5.4466019417476,0,229,55,173,0
git@github.com:johnroper100/dropplets.git,v1.6.5,12523,3215,1201,0.00%,10.48309178744,0,229,55,511,0
git@github.com:johnroper100/dropplets.git,1.6.6,12522,3215,1201,0.00%,10.48309178744,0,229,55,511,0
git@github.com:johnroper100/dropplets.git,v1.6.7,13994,3575,1307,0.45%,10.430327868852,0,229,55,593,0
git@github.com:johnroper100/dropplets.git,v1.6.8,14506,4015,1338,0.50%,10.487704918033,0,229,55,605,0
