repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:justinrainbow/json-schema.git,v1.1.0,2197,318,94,0.00%,2.2666666666667,0,275,100,72,0
git@github.com:justinrainbow/json-schema.git,v1.1.1,2372,327,104,0.00%,2.2435897435897,0,275,100,75,0
git@github.com:justinrainbow/json-schema.git,v1.2.0,3737,773,159,0.00%,2.9230769230769,0,275,100,103,0
git@github.com:justinrainbow/json-schema.git,1.2.1,3773,774,160,0.00%,2.9153846153846,0,275,100,105,0
git@github.com:justinrainbow/json-schema.git,1.2.2,3778,774,161,0.00%,2.9230769230769,0,275,100,105,0
git@github.com:justinrainbow/json-schema.git,1.2.3,3778,774,161,0.00%,2.9230769230769,0,275,100,105,0
git@github.com:justinrainbow/json-schema.git,1.2.4,3783,774,162,0.00%,2.9230769230769,0,275,100,105,0
git@github.com:justinrainbow/json-schema.git,1.3.0,3806,774,162,0.00%,2.9230769230769,0,275,100,105,0
git@github.com:justinrainbow/json-schema.git,1.3.1,3810,774,163,0.00%,2.9230769230769,0,275,100,105,0
git@github.com:justinrainbow/json-schema.git,1.3.2,5452,995,246,2.26%,3.0602409638554,0,275,100,152,0
git@github.com:justinrainbow/json-schema.git,1.3.3,5686,1013,262,2.16%,3.1597633136095,0,275,100,158,0
git@github.com:justinrainbow/json-schema.git,1.3.4,6333,1111,277,1.36%,3.1624365482234,0,275,100,177,0
git@github.com:justinrainbow/json-schema.git,1.3.5,6328,1107,277,1.36%,3.1624365482234,0,275,100,177,0
git@github.com:justinrainbow/json-schema.git,1.3.6,6364,1111,278,1.35%,3.1776649746193,0,275,100,181,0
git@github.com:justinrainbow/json-schema.git,1.3.7,6802,1152,283,0.57%,3.1560975609756,0,275,100,184,0
git@github.com:justinrainbow/json-schema.git,1.4.0,6802,1152,283,0.57%,3.1560975609756,0,275,100,184,0
git@github.com:justinrainbow/json-schema.git,1.4.1,6811,1152,285,0.57%,3.1658536585366,0,275,100,187,0
git@github.com:justinrainbow/json-schema.git,1.4.2,6824,1148,285,0.57%,3.1330049261084,0,275,100,189,0
git@github.com:justinrainbow/json-schema.git,1.4.3,6857,1141,286,0.57%,3.1601941747573,0,275,100,191,0
git@github.com:justinrainbow/json-schema.git,1.4.4,6881,1147,286,0.57%,3.1835748792271,0,275,100,194,0
git@github.com:justinrainbow/json-schema.git,1.5.0,6942,1151,294,0.56%,3.2596153846154,0,275,100,197,0
git@github.com:justinrainbow/json-schema.git,1.6.0,7373,1221,319,0.53%,3.3287671232877,0,275,100,206,0
git@github.com:justinrainbow/json-schema.git,1.6.1,7444,1245,311,0.52%,3.2633928571429,0,275,100,206,0
git@github.com:justinrainbow/json-schema.git,2.0.0,7833,1421,318,0.50%,3.099173553719,0,275,100,340,0
git@github.com:justinrainbow/json-schema.git,2.0.1,7869,1424,318,0.50%,3.0979591836735,0,275,100,349,0
git@github.com:justinrainbow/json-schema.git,2.0.2,7978,1436,319,0.49%,3.080971659919,0,275,100,351,0
git@github.com:justinrainbow/json-schema.git,2.0.3,7973,1436,320,0.49%,3.1008064516129,0,275,100,351,0
git@github.com:justinrainbow/json-schema.git,2.0.4,8003,1448,319,0.49%,3.0887096774194,0,275,100,351,0
git@github.com:justinrainbow/json-schema.git,2.0.5,8003,1448,320,0.49%,3.0887096774194,0,275,100,351,0
git@github.com:justinrainbow/json-schema.git,3.0.0,8660,1499,349,0.45%,3.0273037542662,0,275,100,221,0
git@github.com:justinrainbow/json-schema.git,3.0.1,8667,1502,350,0.45%,3.0273037542662,0,275,100,221,0
git@github.com:justinrainbow/json-schema.git,4.0.0,8969,1531,366,0.43%,3.1129568106312,0,275,100,229,0
git@github.com:justinrainbow/json-schema.git,4.0.1,9031,1532,370,0.43%,3.1528239202658,0,275,100,232,0
git@github.com:justinrainbow/json-schema.git,4.1.0,9338,1588,375,0.42%,3.1282051282051,0,275,100,256,0
git@github.com:justinrainbow/json-schema.git,5.0.0,9418,1625,372,0.41%,3.2305194805195,0,275,100,267,0
git@github.com:justinrainbow/json-schema.git,5.1.0,9802,1730,400,0.41%,3.2902208201893,0,275,100,286,0
git@github.com:justinrainbow/json-schema.git,5.2.0,11030,1912,456,0.36%,3.4825737265416,0,275,100,367,0
git@github.com:justinrainbow/json-schema.git,5.2.1,11140,1922,468,0.36%,3.5187165775401,0,275,100,396,0
git@github.com:justinrainbow/json-schema.git,5.2.2,11240,1932,480,0.00%,3.5197889182058,0,275,100,403,0
git@github.com:justinrainbow/json-schema.git,5.2.3,11261,1932,481,0.00%,3.5368421052632,0,275,100,415,0
git@github.com:justinrainbow/json-schema.git,5.2.4,11261,1932,481,0.00%,3.5368421052632,0,275,100,415,0
git@github.com:justinrainbow/json-schema.git,5.2.5,11265,1932,482,0.00%,3.5368421052632,0,275,100,415,0
git@github.com:justinrainbow/json-schema.git,5.2.6,11265,1932,482,0.00%,3.5368421052632,0,275,100,415,0
git@github.com:justinrainbow/json-schema.git,5.2.7,11270,1932,482,0.00%,3.5461741424802,0,275,100,414,0
