repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:kakserpom/phpdaemon.git,v0.4.0,17022,3837,1937,2.58%,5.4065573770492,0,254,70,3806,0
git@github.com:kakserpom/phpdaemon.git,0.4.1,17685,4010,2001,2.57%,5.35,0,254,70,3937,0
git@github.com:kakserpom/phpdaemon.git,v0.4.1,19156,4333,2145,4.78%,5.5,0,254,70,4194,0
git@github.com:kakserpom/phpdaemon.git,v0.6.0,20615,4376,2432,1.50%,4.9435582822086,0,254,70,4651,0
git@github.com:kakserpom/phpdaemon.git,v0.8.0,23860,4831,2859,1.98%,4.7446153846154,0,254,70,5381,0
git@github.com:kakserpom/phpdaemon.git,v0.9.0,27260,7268,3047,1.16%,4.7483059051307,0,254,70,5179,0
git@github.com:kakserpom/phpdaemon.git,v0.9.2,28412,7882,3041,0.94%,4.5948766603416,0,254,70,5098,0
git@github.com:kakserpom/phpdaemon.git,v0.9.6,30956,9054,3181,2.02%,4.4959053685168,0,254,70,5421,0
git@github.com:kakserpom/phpdaemon.git,v0.9.7,38858,12141,3913,1.19%,4.3465866466617,0,254,70,6525,0
git@github.com:kakserpom/phpdaemon.git,v0.9.8,38858,12141,3913,1.19%,4.3465866466617,0,254,70,6525,0
