repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:kanboard/kanboard.git,v1.0.0,5949,379,539,0.00%,4.1838565022422,0,1121,313,336,0
git@github.com:kanboard/kanboard.git,v1.0.1,8351,1156,566,0.75%,4.4920127795527,0,1121,313,444,0
git@github.com:kanboard/kanboard.git,v1.0.2,8939,1188,624,0.70%,4.5541795665635,0,1121,313,470,0
git@github.com:kanboard/kanboard.git,v1.0.3,12259,1844,766,0.82%,4.7931034482759,0,1121,313,709,0
git@github.com:kanboard/kanboard.git,v1.0.4,24074,5627,1285,1.91%,4.2724056603774,0,1121,313,1122,0
git@github.com:kanboard/kanboard.git,v1.0.5,27070,6760,1328,1.80%,4.1786867599569,0,1121,313,1221,0
git@github.com:kanboard/kanboard.git,v1.0.6,29276,7004,1391,1.66%,4.2190669371197,0,1121,313,1266,0
git@github.com:kanboard/kanboard.git,v1.0.7,55274,17310,2553,0.82%,3.7256501784804,0,1121,313,2169,0
git@github.com:kanboard/kanboard.git,v1.0.8,60744,18629,2709,1.01%,3.9592417061611,0,1121,313,2663,0
git@github.com:kanboard/kanboard.git,v1.0.9,63935,18755,2784,0.84%,3.8675093632959,0,1121,313,2840,0
git@github.com:kanboard/kanboard.git,v1.0.10,33471,7327,1094,0.57%,5.3312655086849,0,1121,313,2071,0
git@github.com:kanboard/kanboard.git,v1.0.11,38003,7695,1183,0.95%,5.5327102803738,0,1121,313,2646,0
git@github.com:kanboard/kanboard.git,v1.0.12,43703,9112,1340,1.17%,5.4275491949911,0,1121,313,3169,0
git@github.com:kanboard/kanboard.git,v1.0.13,53275,11532,1597,1.15%,5.4152876280536,0,1121,313,3635,0
git@github.com:kanboard/kanboard.git,v1.0.14,55431,10945,1680,1.21%,5.5271614384086,0,1121,313,3813,0
git@github.com:kanboard/kanboard.git,v1.0.15,59844,12315,1798,1.19%,5.392809587217,0,1121,313,4120,0
git@github.com:kanboard/kanboard.git,v1.0.16,64028,13326,1895,1.38%,5.6592279855247,0,1121,313,4871,0
git@github.com:kanboard/kanboard.git,v1.0.17,69937,14997,2111,1.40%,5.8549019607843,0,1121,313,5415,0
git@github.com:kanboard/kanboard.git,v1.0.18,75274,16311,2375,1.36%,5.7576396206533,0,1121,313,5631,0
git@github.com:kanboard/kanboard.git,v1.0.19,79497,16805,2402,1.72%,5.7227626459144,0,1121,313,6532,0
git@github.com:kanboard/kanboard.git,v1.0.20,79851,17572,2397,1.64%,5.6278285989408,0,1121,313,6478,0
git@github.com:kanboard/kanboard.git,v1.0.21,81703,17629,2410,1.63%,5.6219165085389,0,1121,313,6559,0
git@github.com:kanboard/kanboard.git,v1.0.22,89193,20439,2514,1.62%,5.5633333333333,0,1121,313,6539,0
