repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:kohana/kohana.git,3.0.1,387,105,38,0.00%,1,0,473,36,19,0
git@github.com:kohana/kohana.git,3.0.2,392,112,38,0.00%,1,0,473,36,19,0
git@github.com:kohana/kohana.git,3.0.3,400,118,38,0.00%,1,0,473,36,19,0
git@github.com:kohana/kohana.git,3.0.4,400,118,38,0.00%,1,0,473,36,19,0
git@github.com:kohana/kohana.git,3.0.5,404,119,38,0.00%,1,0,473,36,19,0
git@github.com:kohana/kohana.git,3.0.6,404,119,38,0.00%,1,0,473,36,19,0
git@github.com:kohana/kohana.git,3.0.7,416,121,40,0.00%,1,0,473,36,20,0
git@github.com:kohana/kohana.git,3.0.8,616,241,48,0.00%,1,0,473,36,21,0
git@github.com:kohana/kohana.git,3.0.9,629,241,49,0.00%,1,0,473,36,22,0
git@github.com:kohana/kohana.git,v3.0.10,629,241,49,0.00%,1,0,473,36,22,0
git@github.com:kohana/kohana.git,v3.0.11,629,241,49,0.00%,1,0,473,36,22,0
git@github.com:kohana/kohana.git,v3.0.12,629,241,49,0.00%,1,0,473,36,22,0
git@github.com:kohana/kohana.git,v3.1.0,456,133,44,0.00%,1,0,473,36,22,0
git@github.com:kohana/kohana.git,v3.1.1,456,133,44,0.00%,1,0,473,36,22,0
git@github.com:kohana/kohana.git,v3.1.2,456,133,44,0.00%,1,0,473,36,22,0
git@github.com:kohana/kohana.git,v3.1.3,456,133,44,0.00%,1,0,473,36,22,0
git@github.com:kohana/kohana.git,v3.1.4,456,133,44,0.00%,1,0,473,36,22,0
git@github.com:kohana/kohana.git,v3.1.5,472,136,45,0.00%,1,0,473,36,23,0
git@github.com:kohana/kohana.git,v3.2.0,472,136,45,0.00%,1,0,473,36,23,0
git@github.com:kohana/kohana.git,v3.2.1,474,138,45,0.00%,1,0,473,36,23,0
git@github.com:kohana/kohana.git,v3.2.2,474,138,45,0.00%,1,0,473,36,23,0
git@github.com:kohana/kohana.git,v3.2.3,483,146,45,0.00%,1,0,473,36,23,0
git@github.com:kohana/kohana.git,v3.3.0,493,147,47,0.00%,1,0,473,36,24,0
git@github.com:kohana/kohana.git,v3.3.1,506,153,48,0.00%,1,0,473,36,24,0
git@github.com:kohana/kohana.git,v3.3.2,506,153,48,0.00%,1,0,473,36,24,0
git@github.com:kohana/kohana.git,v3.3.3,515,161,48,0.00%,1,0,473,36,24,0
git@github.com:kohana/kohana.git,v3.3.4,515,161,48,0.00%,1,0,473,36,24,0
git@github.com:kohana/kohana.git,v3.3.5,515,161,48,0.00%,1,0,473,36,24,0
git@github.com:kohana/kohana.git,v3.3.6,515,161,48,0.00%,1,0,473,36,24,0
