repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:laravel/cashier.git,v1.0.0,2684,898,56,0.00%,2.8076923076923,0,365,107,276,1
git@github.com:laravel/cashier.git,v2.0.0,3162,1082,74,0.00%,2.8342541436464,0,365,107,322,1
git@github.com:laravel/cashier.git,v2.0.1,3208,1085,74,0.00%,2.8378378378378,0,365,107,323,1
git@github.com:laravel/cashier.git,v2.0.2,3215,1085,74,0.00%,2.8810810810811,0,365,107,330,1
git@github.com:laravel/cashier.git,v2.0.3,3233,1091,74,0.00%,2.8709677419355,0,365,107,330,1
git@github.com:laravel/cashier.git,v2.0.4,3246,1095,74,0.00%,2.8716577540107,0,365,107,330,1
git@github.com:laravel/cashier.git,v2.0.5,3250,1096,75,0.00%,2.8716577540107,0,365,107,330,1
git@github.com:laravel/cashier.git,v2.0.6,3275,1102,77,0.00%,2.8723404255319,0,365,107,331,1
git@github.com:laravel/cashier.git,v2.0.7,3285,1108,77,0.00%,2.8624338624339,0,365,107,331,1
git@github.com:laravel/cashier.git,v2.0.8,3285,1108,77,0.00%,2.8624338624339,0,365,107,331,1
git@github.com:laravel/cashier.git,v3.0.0,3275,1097,75,0.00%,2.8578947368421,0,365,107,333,1
git@github.com:laravel/cashier.git,v3.0.1,3275,1097,75,0.00%,2.8578947368421,0,365,107,333,1
git@github.com:laravel/cashier.git,v3.0.2,3300,1103,77,0.00%,2.8586387434555,0,365,107,334,1
git@github.com:laravel/cashier.git,v3.0.3,3311,1109,77,0.00%,2.8489583333333,0,365,107,334,1
git@github.com:laravel/cashier.git,v3.0.4,3305,1137,82,0.00%,2.8469387755102,0,365,107,334,1
git@github.com:laravel/cashier.git,v3.0.5,3305,1137,82,0.00%,2.8469387755102,0,365,107,334,1
git@github.com:laravel/cashier.git,v4.0.0,3305,1137,82,0.00%,2.8469387755102,0,365,107,334,1
git@github.com:laravel/cashier.git,v4.0.1,3305,1137,82,0.00%,2.8469387755102,0,365,107,334,1
