repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:laravel/horizon.git,v0.1.0,12405,3933,186,0.21%,2.8665207877462,0,313,67,415,2
git@github.com:laravel/horizon.git,v0.2.0,12367,3930,189,0.20%,2.9154013015184,0,313,67,417,2
git@github.com:laravel/horizon.git,v1.0.0,12368,3930,189,0.20%,2.9154013015184,0,313,67,417,2
git@github.com:laravel/horizon.git,v1.0.1,12368,3930,189,0.20%,2.9154013015184,0,313,67,417,2
git@github.com:laravel/horizon.git,v1.0.2,12378,3936,189,0.20%,2.9175704989154,0,313,67,418,2
git@github.com:laravel/horizon.git,v1.0.3,12412,3946,190,0.20%,2.9177489177489,0,313,67,418,2
git@github.com:laravel/horizon.git,v1.0.4,12412,3946,190,0.20%,2.9199134199134,0,313,67,418,2
git@github.com:laravel/horizon.git,v1.0.5,12412,3946,190,0.20%,2.9199134199134,0,313,67,418,2
git@github.com:laravel/horizon.git,v1.0.6,12490,3966,196,0.20%,2.9310344827586,0,313,67,422,2
git@github.com:laravel/horizon.git,v1.0.7,12490,3966,196,0.20%,2.9310344827586,0,313,67,422,2
git@github.com:laravel/horizon.git,v1.0.8,12494,3967,197,0.20%,2.9310344827586,0,313,67,422,2
git@github.com:laravel/horizon.git,v1.0.9,12494,3967,197,0.20%,2.9310344827586,0,313,67,422,2
git@github.com:laravel/horizon.git,v1.1.0,12495,3967,197,0.20%,2.9310344827586,0,313,67,422,2
git@github.com:laravel/horizon.git,v1.1.1,12495,3967,197,0.20%,2.9310344827586,0,313,67,423,2
git@github.com:laravel/horizon.git,v1.2.0,12492,3964,196,0.20%,2.92656587473,0,313,67,424,2
git@github.com:laravel/horizon.git,v1.2.1,12492,3964,196,0.20%,2.92656587473,0,313,67,424,2
git@github.com:laravel/horizon.git,v1.2.2,12512,3969,197,0.20%,2.92656587473,0,313,67,427,2
git@github.com:laravel/horizon.git,v1.2.3,12522,3974,197,0.20%,2.9224137931034,0,313,67,428,2
git@github.com:laravel/horizon.git,v1.3.0,12526,3974,197,0.20%,2.9245689655172,0,313,67,428,2
git@github.com:laravel/horizon.git,v1.3.1,12526,3974,197,0.20%,2.9245689655172,0,313,67,428,2
git@github.com:laravel/horizon.git,v1.4.0,12527,3974,197,0.20%,2.9245689655172,0,313,67,428,2
git@github.com:laravel/horizon.git,v1.4.1,12615,4007,203,0.20%,2.9122055674518,0,313,67,431,2
git@github.com:laravel/horizon.git,v1.4.2,12615,4007,203,0.20%,2.9122055674518,0,313,67,431,2
git@github.com:laravel/horizon.git,v1.4.3,12615,4007,203,0.20%,2.9122055674518,0,313,67,431,2
git@github.com:laravel/horizon.git,v2.0.0,12769,4061,205,0.20%,2.9193205944798,0,313,67,431,2
git@github.com:laravel/horizon.git,v2.0.1,12782,4071,205,0.20%,2.9193205944798,0,313,67,431,2
git@github.com:laravel/horizon.git,v2.0.2,12782,4071,205,0.20%,2.9193205944798,0,313,67,431,2
