repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:laravel/socialite.git,v1.0.0,1200,452,5,0.00%,2.1388888888889,0,702,92,80,0
git@github.com:laravel/socialite.git,v1.0.1,1270,493,5,0.00%,2.1388888888889,0,702,92,80,0
git@github.com:laravel/socialite.git,v1.0.2,1270,493,5,0.00%,2.1388888888889,0,702,92,80,0
git@github.com:laravel/socialite.git,v1.0.3,1270,493,5,0.00%,2.1388888888889,0,702,92,80,0
git@github.com:laravel/socialite.git,v2.0.0,1292,505,6,0.00%,2.1549295774648,0,702,92,80,0
git@github.com:laravel/socialite.git,v2.0.1,1292,505,6,0.00%,2.1549295774648,0,702,92,80,0
git@github.com:laravel/socialite.git,v2.0.2,1292,505,6,0.00%,2.1549295774648,0,702,92,80,0
git@github.com:laravel/socialite.git,v2.0.3,1330,517,6,0.00%,2.1369863013699,0,702,92,80,0
git@github.com:laravel/socialite.git,v2.0.4,1349,519,7,0.00%,2.1621621621622,0,702,92,80,0
git@github.com:laravel/socialite.git,v2.0.5,1450,550,17,0.00%,2.2405063291139,0,702,92,81,0
git@github.com:laravel/socialite.git,v2.0.6,1562,590,18,0.00%,2.2093023255814,0,702,92,81,0
git@github.com:laravel/socialite.git,v2.0.7,1593,601,20,0.00%,2.2413793103448,0,702,92,81,0
git@github.com:laravel/socialite.git,v2.0.8,1613,612,20,0.00%,2.2386363636364,0,702,92,81,0
git@github.com:laravel/socialite.git,v2.0.9,1611,612,20,0.00%,2.2272727272727,0,702,92,75,0
git@github.com:laravel/socialite.git,v2.0.10,1632,615,21,0.00%,2.2584269662921,0,702,92,79,0
git@github.com:laravel/socialite.git,v2.0.11,1653,627,21,0.00%,2.2555555555556,0,702,92,79,0
git@github.com:laravel/socialite.git,v2.0.12,1660,627,21,0.00%,2.2777777777778,0,702,92,79,0
git@github.com:laravel/socialite.git,v2.0.13,1673,633,21,0.00%,2.2747252747253,0,702,92,79,0
git@github.com:laravel/socialite.git,v2.0.14,1673,633,21,0.00%,2.2747252747253,0,702,92,79,0
git@github.com:laravel/socialite.git,v2.0.15,1724,660,21,0.00%,2.2210526315789,0,702,92,79,0
git@github.com:laravel/socialite.git,v2.0.16,1818,686,25,0.00%,2.4183673469388,0,702,92,104,0
git@github.com:laravel/socialite.git,v2.0.17,1818,686,25,0.00%,2.4183673469388,0,702,92,105,0
git@github.com:laravel/socialite.git,v2.0.18,1875,698,26,0.00%,2.4444444444444,0,702,92,104,0
git@github.com:laravel/socialite.git,v2.0.19,1889,703,27,0.00%,2.44,0,702,92,104,0
git@github.com:laravel/socialite.git,v2.0.20,1915,710,27,0.00%,2.4752475247525,0,702,92,104,0
git@github.com:laravel/socialite.git,v2.0.21,1915,710,27,0.00%,2.4752475247525,0,702,92,104,0
git@github.com:laravel/socialite.git,v3.0.0,1781,667,28,0.00%,2.2857142857143,0,702,92,80,0
git@github.com:laravel/socialite.git,v3.0.1,2024,744,34,0.00%,2.4722222222222,0,702,92,105,0
git@github.com:laravel/socialite.git,v3.0.2,2024,744,34,0.00%,2.4722222222222,0,702,92,105,0
git@github.com:laravel/socialite.git,v3.0.3,2024,744,34,0.00%,2.4722222222222,0,702,92,105,0
git@github.com:laravel/socialite.git,v3.0.4,2031,744,34,0.00%,2.4722222222222,0,702,92,105,0
git@github.com:laravel/socialite.git,v3.0.5,2031,744,34,0.00%,2.4722222222222,0,702,92,105,0
git@github.com:laravel/socialite.git,v3.0.6,2044,750,34,0.00%,2.4678899082569,0,702,92,106,0
git@github.com:laravel/socialite.git,v3.0.7,2064,761,34,0.00%,2.4954128440367,0,702,92,107,0
git@github.com:laravel/socialite.git,v3.0.8,2079,767,35,0.00%,2.4909090909091,0,702,92,108,0
git@github.com:laravel/socialite.git,v3.0.9,2080,767,35,0.00%,2.4909090909091,0,702,92,108,0
git@github.com:laravel/socialite.git,v3.0.10,2080,767,35,0.00%,2.4909090909091,0,702,92,108,0
git@github.com:laravel/socialite.git,v3.0.11,2080,767,35,0.00%,2.4909090909091,0,702,92,108,0
git@github.com:laravel/socialite.git,v3.0.12,2080,767,35,0.00%,2.4909090909091,0,702,92,108,0
git@github.com:laravel/socialite.git,v3.1.0,2122,785,38,0.00%,2.5225225225225,0,702,92,108,0
git@github.com:laravel/socialite.git,v3.1.1,2122,785,38,0.00%,2.5225225225225,0,702,92,108,0
git@github.com:laravel/socialite.git,v3.2.0,2194,805,38,0.00%,2.4786324786325,0,702,92,108,0
git@github.com:laravel/socialite.git,v4.0.0,2258,806,35,0.00%,2.5128205128205,0,702,92,110,0
git@github.com:laravel/socialite.git,v4.0.1,2258,806,35,0.00%,2.5128205128205,0,702,92,110,0
