repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:laravel/valet.git,v0.1.0,1361,116,21,0.00%,2.3846153846154,0,394,115,3,0
git@github.com:laravel/valet.git,v0.1.1,1347,113,18,0.00%,2.3076923076923,0,394,115,1,0
git@github.com:laravel/valet.git,v0.1.2,1347,113,18,0.00%,2.3076923076923,0,394,115,1,0
git@github.com:laravel/valet.git,v0.1.3,1347,113,18,0.00%,2.3076923076923,0,394,115,1,0
git@github.com:laravel/valet.git,v0.1.5,1351,113,19,0.00%,2.3846153846154,0,394,115,1,0
git@github.com:laravel/valet.git,v0.1.6,1393,125,21,0.00%,2.4666666666667,0,394,115,1,0
git@github.com:laravel/valet.git,v0.1.8,1764,220,55,0.00%,3.1666666666667,0,394,115,13,0
git@github.com:laravel/valet.git,v1.0.0,1777,223,56,0.00%,3.1666666666667,0,394,115,13,0
git@github.com:laravel/valet.git,v1.0.1,1961,319,61,0.00%,2.9354838709677,0,394,115,16,0
git@github.com:laravel/valet.git,v1.0.2,1965,319,62,0.00%,2.9677419354839,0,394,115,16,0
git@github.com:laravel/valet.git,v1.0.3,1977,319,65,0.00%,3.0322580645161,0,394,115,16,0
git@github.com:laravel/valet.git,v1.0.4,1980,322,65,0.00%,3.0322580645161,0,394,115,16,0
git@github.com:laravel/valet.git,v1.0.5,1982,322,65,0.00%,3.0645161290323,0,394,115,16,0
git@github.com:laravel/valet.git,v1.0.6,1986,322,66,0.00%,3.0967741935484,0,394,115,16,0
git@github.com:laravel/valet.git,v1.0.7,2086,366,70,0.00%,2.9189189189189,0,394,115,17,0
git@github.com:laravel/valet.git,v1.0.8,2154,390,78,0.00%,2.9,0,394,115,18,0
git@github.com:laravel/valet.git,v1.0.9,2208,414,80,0.00%,2.8604651162791,0,394,115,18,0
git@github.com:laravel/valet.git,v1.0.10,2250,417,88,0.00%,2.953488372093,0,394,115,21,0
git@github.com:laravel/valet.git,v1.0.11,2426,485,99,0.00%,2.9607843137255,0,394,115,24,0
git@github.com:laravel/valet.git,v1.0.12,2450,505,93,0.00%,2.7924528301887,0,394,115,21,0
git@github.com:laravel/valet.git,v1.0.13,3964,929,105,0.00%,2.8157894736842,0,394,115,202,0
git@github.com:laravel/valet.git,v1.1.0,3964,929,105,0.00%,2.8157894736842,0,394,115,202,0
git@github.com:laravel/valet.git,v1.1.1,3966,929,107,0.00%,2.8157894736842,0,394,115,202,0
git@github.com:laravel/valet.git,v1.1.2,3966,929,107,0.00%,2.8157894736842,0,394,115,202,0
git@github.com:laravel/valet.git,v1.1.3,4235,1044,124,0.00%,2.7939393939394,0,394,115,203,0
