repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:laravel-zero/laravel-zero.git,v0.1.0,100,53,0,0.00%,2,0,69,12,0,0
git@github.com:laravel-zero/laravel-zero.git,v0.1.1,100,53,0,0.00%,2,0,69,12,0,0
git@github.com:laravel-zero/laravel-zero.git,v0.2.0,100,53,0,0.00%,2,0,69,12,0,0
git@github.com:laravel-zero/laravel-zero.git,v0.2.1,166,73,0,0.00%,1.8,0,69,12,0,0
git@github.com:laravel-zero/laravel-zero.git,v0.2.2,166,73,0,0.00%,1.8,0,69,12,0,0
git@github.com:laravel-zero/laravel-zero.git,v0.2.3,166,73,0,0.00%,1.8,0,69,12,0,0
git@github.com:laravel-zero/laravel-zero.git,v0.2.4,166,73,0,0.00%,1.8,0,69,12,0,0
git@github.com:laravel-zero/laravel-zero.git,v0.2.5,166,73,0,0.00%,1.8,0,69,12,0,0
git@github.com:laravel-zero/laravel-zero.git,v0.2.6,166,73,0,0.00%,1.8,0,69,12,0,0
git@github.com:laravel-zero/laravel-zero.git,v0.2.7,166,73,0,0.00%,1.8,0,69,12,0,0
git@github.com:laravel-zero/laravel-zero.git,v0.2.8,171,73,1,0.00%,1.8,0,69,12,1,0
git@github.com:laravel-zero/laravel-zero.git,v0.2.9,171,73,1,0.00%,1.8,0,69,12,1,0
git@github.com:laravel-zero/laravel-zero.git,v0.2.10,171,73,1,0.00%,1.8,0,69,12,1,0
git@github.com:laravel-zero/laravel-zero.git,v0.2.11,169,73,1,0.00%,1.8,0,69,12,1,0
git@github.com:laravel-zero/laravel-zero.git,v0.2.12,169,73,1,0.00%,1.8,0,69,12,1,0
git@github.com:laravel-zero/laravel-zero.git,v0.3.0,359,157,6,0.00%,2.3333333333333,0,69,12,2,0
git@github.com:laravel-zero/laravel-zero.git,v0.3.1,359,157,6,0.00%,2.3333333333333,0,69,12,2,0
git@github.com:laravel-zero/laravel-zero.git,v0.3.2,359,157,6,0.00%,2.3333333333333,0,69,12,2,0
git@github.com:laravel-zero/laravel-zero.git,v0.3.3,359,157,6,0.00%,2.3333333333333,0,69,12,2,0
