repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:laravelio/portal.git,v1.0.0,59923,25008,2362,5.60%,3.1876857749469,0,402,70,1665,14
git@github.com:laravelio/portal.git,v2.0.0,11447,3167,277,0.24%,2.4581673306773,0,402,70,377,62
git@github.com:laravelio/portal.git,v2.0.1,11598,3274,275,0.00%,2.452,0,402,70,378,64
git@github.com:laravelio/portal.git,v2.0.2,11614,3274,276,0.00%,2.4501992031873,0,402,70,381,64
git@github.com:laravelio/portal.git,v2.0.3,8985,1538,187,0.00%,2.1453201970443,0,402,70,380,65
git@github.com:laravelio/portal.git,v2.0.4,9020,1545,187,0.00%,2.1477832512315,0,402,70,380,65
git@github.com:laravelio/portal.git,v2.0.5,9100,1557,189,0.00%,2.1502463054187,0,402,70,381,65
git@github.com:laravelio/portal.git,v2.0.6,9170,1597,192,0.00%,2.1481481481481,0,402,70,374,63
git@github.com:laravelio/portal.git,v2.0.7,9205,1603,193,0.00%,2.1453201970443,0,402,70,374,63
git@github.com:laravelio/portal.git,v2.0.8,9206,1603,193,0.00%,2.1477832512315,0,402,70,374,63
git@github.com:laravelio/portal.git,v2.0.9,9281,1617,198,0.00%,2.1491442542787,0,402,70,376,64
git@github.com:laravelio/portal.git,v2.0.10,9360,1628,204,0.00%,2.1557177615572,0,402,70,378,64
git@github.com:laravelio/portal.git,v2.0.11,9435,1639,206,0.00%,2.1630170316302,0,402,70,379,64
git@github.com:laravelio/portal.git,v2.0.12,9483,1664,203,0.00%,2.1678832116788,0,402,70,379,65
git@github.com:laravelio/portal.git,v2.1.0,10144,1829,218,0.00%,2.2307692307692,0,402,70,392,68
git@github.com:laravelio/portal.git,v2.1.1,10149,1830,219,0.00%,2.2331002331002,0,402,70,392,68
git@github.com:laravelio/portal.git,v2.1.2,10152,1914,216,0.00%,2.2396313364055,0,402,70,408,65
git@github.com:laravelio/portal.git,v2.1.3,10154,1914,216,0.00%,2.2396313364055,0,402,70,408,65
