repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:lazychaser/laravel-nestedset.git,v2.0.1,2235,778,52,0.00%,2.6598639455782,0,217,29,56,0
git@github.com:lazychaser/laravel-nestedset.git,v2.0.2,2248,782,52,0.00%,2.6621621621622,0,217,29,56,0
git@github.com:lazychaser/laravel-nestedset.git,v2.1.0,2314,808,52,0.00%,2.8389261744966,0,217,29,65,0
git@github.com:lazychaser/laravel-nestedset.git,v2.2.0,2326,813,54,0.00%,2.8466666666667,0,217,29,65,0
git@github.com:lazychaser/laravel-nestedset.git,v2.3.0,2344,814,57,0.00%,2.8741721854305,0,217,29,69,0
git@github.com:lazychaser/laravel-nestedset.git,v2.3.1,2387,829,60,0.00%,2.8758169934641,0,217,29,72,0
git@github.com:lazychaser/laravel-nestedset.git,v2.3.2,2387,829,60,0.00%,2.8758169934641,0,217,29,72,0
git@github.com:lazychaser/laravel-nestedset.git,v2.4.0,2458,847,62,0.00%,2.8616352201258,0,217,29,75,0
git@github.com:lazychaser/laravel-nestedset.git,v2.4.1,2535,855,66,0.00%,2.9503105590062,0,217,29,83,0
git@github.com:lazychaser/laravel-nestedset.git,v2.4.2,2557,856,66,0.00%,2.9814814814815,0,217,29,84,0
git@github.com:lazychaser/laravel-nestedset.git,v2.4.3,2558,856,66,0.00%,2.9814814814815,0,217,29,84,0
git@github.com:lazychaser/laravel-nestedset.git,v2.4.4,2578,856,67,0.00%,2.9756097560976,0,217,29,87,0
git@github.com:lazychaser/laravel-nestedset.git,v3.0.0,2577,855,67,0.00%,2.9756097560976,0,217,29,105,0
git@github.com:lazychaser/laravel-nestedset.git,v3.1.0,2719,897,71,0.00%,2.9415204678363,0,217,29,113,0
git@github.com:lazychaser/laravel-nestedset.git,v3.1.1,2677,881,71,0.00%,2.9764705882353,0,217,29,111,0
git@github.com:lazychaser/laravel-nestedset.git,v3.1.2,2660,872,70,0.00%,2.9588235294118,0,217,29,111,0
git@github.com:lazychaser/laravel-nestedset.git,v3.1.3,2708,891,72,0.00%,2.9595375722543,0,217,29,111,0
git@github.com:lazychaser/laravel-nestedset.git,v3.1.4,2708,891,72,0.00%,2.9595375722543,0,217,29,111,0
git@github.com:lazychaser/laravel-nestedset.git,v4.0.0,2658,866,71,0.00%,2.9647058823529,0,217,29,114,0
git@github.com:lazychaser/laravel-nestedset.git,v4.0.1,2653,863,71,0.00%,2.9588235294118,0,217,29,113,0
git@github.com:lazychaser/laravel-nestedset.git,v4.1.0,3628,1049,94,0.00%,3.1004366812227,0,217,29,181,0
git@github.com:lazychaser/laravel-nestedset.git,v4.1.1,3654,1049,94,0.00%,3.1130434782609,0,217,29,182,0
git@github.com:lazychaser/laravel-nestedset.git,v4.1.2,3684,1049,94,0.00%,3.1347826086957,0,217,29,188,0
git@github.com:lazychaser/laravel-nestedset.git,v4.1.3,3684,1049,94,0.00%,3.1391304347826,0,217,29,187,0
git@github.com:lazychaser/laravel-nestedset.git,v4.1.4,3686,1049,94,0.00%,3.1391304347826,0,217,29,189,0
git@github.com:lazychaser/laravel-nestedset.git,4.1.5,3709,1062,94,0.00%,3.1163793103448,0,217,29,189,0
git@github.com:lazychaser/laravel-nestedset.git,v4.1.6,3709,1062,94,0.00%,3.1163793103448,0,217,29,189,0
git@github.com:lazychaser/laravel-nestedset.git,v4.2.0,3616,1023,95,0.00%,3.2044444444444,0,217,29,183,0
git@github.com:lazychaser/laravel-nestedset.git,v4.2.1,3620,1023,95,0.00%,3.2044444444444,0,217,29,183,0
git@github.com:lazychaser/laravel-nestedset.git,v4.2.2,3634,1030,95,0.00%,3.1946902654867,0,217,29,183,0
git@github.com:lazychaser/laravel-nestedset.git,4.2.3,3745,1067,101,0.00%,3.1752136752137,0,217,29,189,0
git@github.com:lazychaser/laravel-nestedset.git,v4.2.4,3745,1067,102,0.00%,3.1752136752137,0,217,29,189,0
git@github.com:lazychaser/laravel-nestedset.git,v4.2.5,3982,1140,106,0.65%,3.082304526749,0,217,29,203,0
git@github.com:lazychaser/laravel-nestedset.git,v4.2.6,4036,1149,109,0.64%,3.1138211382114,0,217,29,216,0
git@github.com:lazychaser/laravel-nestedset.git,v4.2.7,4073,1154,110,0.64%,3.1376518218623,0,217,29,216,0
git@github.com:lazychaser/laravel-nestedset.git,v4.3.0,4152,1174,116,0.63%,3.140562248996,0,217,29,220,0
git@github.com:lazychaser/laravel-nestedset.git,v4.3.1,4153,1174,116,0.63%,3.1526104417671,0,217,29,221,0
git@github.com:lazychaser/laravel-nestedset.git,v4.3.2,4173,1174,116,0.62%,3.1526104417671,0,217,29,221,0
git@github.com:lazychaser/laravel-nestedset.git,v4.3.3,4173,1174,116,0.62%,3.1526104417671,0,217,29,221,0
