repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:lcobucci/jwt.git,1.0.0,2537,1151,25,0.00%,2.7073170731707,0,323,38,133,0
git@github.com:lcobucci/jwt.git,1.0.1,2537,1151,25,0.00%,2.7073170731707,0,323,38,133,0
git@github.com:lcobucci/jwt.git,1.0.2,2537,1151,25,0.00%,2.7073170731707,0,323,38,133,0
git@github.com:lcobucci/jwt.git,1.1.0,2672,1195,36,0.00%,2.7022900763359,0,323,38,134,0
git@github.com:lcobucci/jwt.git,2.0.0,3950,1868,37,0.00%,2.6165803108808,0,323,38,123,0
git@github.com:lcobucci/jwt.git,2.1.0,6087,2936,45,0.00%,2.4230769230769,0,323,38,133,0
git@github.com:lcobucci/jwt.git,2.1.1,6087,2936,45,0.00%,2.4230769230769,0,323,38,133,0
git@github.com:lcobucci/jwt.git,2.1.2,6101,2941,46,0.00%,2.4216027874564,0,323,38,133,0
git@github.com:lcobucci/jwt.git,3.0.0,5873,2851,45,1.72%,2.4908424908425,0,323,38,146,0
git@github.com:lcobucci/jwt.git,3.0.1,5887,2856,46,1.72%,2.4890510948905,0,323,38,146,0
git@github.com:lcobucci/jwt.git,3.0.2,5728,2795,44,1.76%,2.4477611940299,0,323,38,121,0
git@github.com:lcobucci/jwt.git,3.0.3,5763,2815,48,1.75%,2.4148148148148,0,323,38,122,0
git@github.com:lcobucci/jwt.git,3.0.4,6500,3195,56,1.62%,2.5581395348837,0,323,38,167,0
git@github.com:lcobucci/jwt.git,3.0.5,6499,3195,56,1.62%,2.5548172757475,0,323,38,167,0
git@github.com:lcobucci/jwt.git,3.1.0,6711,3292,59,1.59%,2.5573248407643,0,323,38,176,0
git@github.com:lcobucci/jwt.git,3.1.1,6711,3292,59,1.59%,2.5573248407643,0,323,38,176,0
git@github.com:lcobucci/jwt.git,3.1.2,6711,3292,59,1.59%,2.5573248407643,0,323,38,176,0
git@github.com:lcobucci/jwt.git,3.2.0,6892,3380,62,1.55%,2.5638629283489,0,323,38,177,0
git@github.com:lcobucci/jwt.git,3.2.1,6896,3378,63,1.55%,2.5638629283489,0,323,38,177,0
git@github.com:lcobucci/jwt.git,3.2.2,6897,3378,63,1.55%,2.5638629283489,0,323,38,177,0
git@github.com:lcobucci/jwt.git,3.2.3,6917,3388,63,1.55%,2.5590062111801,0,323,38,177,0
git@github.com:lcobucci/jwt.git,3.2.4,6922,3388,64,1.55%,2.5652173913043,0,323,38,177,0
git@github.com:lcobucci/jwt.git,3.2.5,6938,3404,64,1.54%,2.5652173913043,0,323,38,177,0
