repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:leafo/lessphp.git,v0.1.0,892,161,108,0.00%,6.5609756097561,0,486,54,165,0
git@github.com:leafo/lessphp.git,v0.1.1,925,162,115,0.00%,6.4444444444444,0,486,54,162,0
git@github.com:leafo/lessphp.git,v0.1.2,972,171,125,0.00%,6.6739130434783,0,486,54,159,0
git@github.com:leafo/lessphp.git,v0.1.3,1072,170,151,0.00%,7.0612244897959,0,486,54,173,0
git@github.com:leafo/lessphp.git,v0.1.4,1228,190,182,0.00%,7.2962962962963,0,486,54,183,0
git@github.com:leafo/lessphp.git,v0.1.5,1238,191,190,0.00%,7.5283018867925,0,486,54,187,0
git@github.com:leafo/lessphp.git,v0.1.6,1255,193,195,0.00%,7.462962962963,0,486,54,194,0
git@github.com:leafo/lessphp.git,v0.2.0,1433,193,323,0.00%,8.0689655172414,0,486,54,283,0
git@github.com:leafo/lessphp.git,v0.3.0,2550,372,486,0.00%,7.6902654867257,0,486,54,501,0
git@github.com:leafo/lessphp.git,v0.3.1,2825,380,505,0.00%,7.5327868852459,0,486,54,530,0
git@github.com:leafo/lessphp.git,v0.3.2,3117,391,555,0.00%,7.2773722627737,0,486,54,552,0
git@github.com:leafo/lessphp.git,v0.3.3,3316,408,590,0.00%,7.4326241134752,0,486,54,589,0
git@github.com:leafo/lessphp.git,v0.3.4,3383,412,606,0.00%,7.4722222222222,0,486,54,596,0
git@github.com:leafo/lessphp.git,v0.3.5,3604,422,650,0.00%,7.3269230769231,0,486,54,638,0
git@github.com:leafo/lessphp.git,v0.3.6,3984,395,674,0.00%,6.994708994709,0,486,54,637,0
git@github.com:leafo/lessphp.git,v0.3.7,4103,402,691,0.00%,6.8686868686869,0,486,54,645,0
git@github.com:leafo/lessphp.git,v0.3.8,4123,403,697,0.00%,6.8888888888889,0,486,54,645,0
git@github.com:leafo/lessphp.git,v0.3.9,4237,404,716,0.00%,6.9117647058824,0,486,54,645,0
git@github.com:leafo/lessphp.git,v0.4.0,4457,419,752,0.00%,6.9201877934272,0,486,54,659,0
git@github.com:leafo/lessphp.git,v0.5.0,4638,461,772,0.00%,6.7733333333333,0,486,54,666,0
