repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:lincanbin/Carbon-Forum.git,3.1.6,4986,539,624,0.54%,11.163636363636,0,420,21,716,0
git@github.com:lincanbin/Carbon-Forum.git,3.2.0,5335,573,678,0.51%,11.163636363636,0,420,21,742,0
git@github.com:lincanbin/Carbon-Forum.git,3.2.2,5412,596,680,0.50%,11.163636363636,0,420,21,759,0
git@github.com:lincanbin/Carbon-Forum.git,3.2.3,5414,596,682,0.50%,11.163636363636,0,420,21,759,0
git@github.com:lincanbin/Carbon-Forum.git,3.2.4,5560,606,704,0.49%,11.163636363636,0,420,21,763,0
git@github.com:lincanbin/Carbon-Forum.git,3.2.5,5585,609,711,0.48%,11.163636363636,0,420,21,770,0
git@github.com:lincanbin/Carbon-Forum.git,3.2.6,5592,601,714,0.48%,11.163636363636,0,420,21,770,0
git@github.com:lincanbin/Carbon-Forum.git,3.2.9,6226,605,814,0.43%,11.163636363636,0,420,21,772,0
git@github.com:lincanbin/Carbon-Forum.git,3.3.0,9001,717,1162,0.30%,11.44262295082,0,420,21,871,0
git@github.com:lincanbin/Carbon-Forum.git,3.3.3,5414,596,682,0.50%,11.163636363636,0,420,21,759,0
git@github.com:lincanbin/Carbon-Forum.git,3.3.6,11223,1231,1337,0.24%,9.40625,0,420,21,925,0
git@github.com:lincanbin/Carbon-Forum.git,3.6.5,16896,2713,1931,0.34%,8.0221238938053,0,420,21,1282,0
git@github.com:lincanbin/Carbon-Forum.git,5.0.1,17673,2725,2057,0.32%,8.0663716814159,0,420,21,1283,0
git@github.com:lincanbin/Carbon-Forum.git,5.6.1,19708,2831,2103,6.78%,7.9105058365759,0,420,21,1218,0
git@github.com:lincanbin/Carbon-Forum.git,5.9.0,22260,3002,2367,1.46%,7.9288389513109,0,420,21,1414,21
