repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:lucadegasperi/oauth2-server-laravel.git,0.9.0,1672,311,44,0.00%,2.3974358974359,0,557,54,187,0
git@github.com:lucadegasperi/oauth2-server-laravel.git,0.9.1,1694,311,44,0.00%,2.3974358974359,0,557,54,187,0
git@github.com:lucadegasperi/oauth2-server-laravel.git,0.9.2,1879,341,48,0.00%,2.4204545454545,0,557,54,194,0
git@github.com:lucadegasperi/oauth2-server-laravel.git,0.9.3,2012,432,48,0.00%,2.6363636363636,0,557,54,194,0
git@github.com:lucadegasperi/oauth2-server-laravel.git,1.0.0,2084,449,47,0.00%,2.6883116883117,0,557,54,199,0
git@github.com:lucadegasperi/oauth2-server-laravel.git,1.0.1,2092,449,48,0.00%,2.6883116883117,0,557,54,199,0
git@github.com:lucadegasperi/oauth2-server-laravel.git,1.0.2,2092,449,48,0.00%,2.6883116883117,0,557,54,199,0
git@github.com:lucadegasperi/oauth2-server-laravel.git,1.0.3,2093,449,48,0.00%,2.6883116883117,0,557,54,199,0
git@github.com:lucadegasperi/oauth2-server-laravel.git,1.0.4,2108,449,48,0.00%,2.6883116883117,0,557,54,199,0
git@github.com:lucadegasperi/oauth2-server-laravel.git,1.0.5,2461,799,48,0.00%,2.6883116883117,0,557,54,199,0
git@github.com:lucadegasperi/oauth2-server-laravel.git,1.0.6,2464,798,48,0.00%,2.7142857142857,0,557,54,199,0
git@github.com:lucadegasperi/oauth2-server-laravel.git,1.0.7,2464,798,48,0.00%,2.7142857142857,0,557,54,199,0
git@github.com:lucadegasperi/oauth2-server-laravel.git,1.0.8,2464,799,48,0.00%,2.7532467532468,0,557,54,199,0
git@github.com:lucadegasperi/oauth2-server-laravel.git,1.0.9,2471,799,48,0.00%,2.8051948051948,0,557,54,199,0
git@github.com:lucadegasperi/oauth2-server-laravel.git,1.0.10,2472,799,48,0.00%,2.8051948051948,0,557,54,199,0
git@github.com:lucadegasperi/oauth2-server-laravel.git,1.0.11,2472,799,48,0.00%,2.8051948051948,0,557,54,199,0
git@github.com:lucadegasperi/oauth2-server-laravel.git,3.0.0,4124,1093,44,0.00%,3.0507614213198,0,557,54,376,0
git@github.com:lucadegasperi/oauth2-server-laravel.git,3.0.1,4124,1093,44,0.00%,3.0507614213198,0,557,54,376,0
git@github.com:lucadegasperi/oauth2-server-laravel.git,3.0.2,4160,1093,47,0.00%,3.085,0,557,54,412,0
git@github.com:lucadegasperi/oauth2-server-laravel.git,4.0.0,4005,1024,46,0.00%,3.09375,0,557,54,409,0
git@github.com:lucadegasperi/oauth2-server-laravel.git,4.0.1,3973,980,46,0.00%,3.09375,0,557,54,409,0
git@github.com:lucadegasperi/oauth2-server-laravel.git,4.0.2,3973,980,46,0.00%,3.09375,0,557,54,409,0
git@github.com:lucadegasperi/oauth2-server-laravel.git,5.0.0,4759,1570,46,0.00%,3.1538461538462,0,557,54,422,0
git@github.com:lucadegasperi/oauth2-server-laravel.git,5.0.1,4764,1570,46,0.00%,3.1538461538462,0,557,54,422,0
git@github.com:lucadegasperi/oauth2-server-laravel.git,5.0.2,4745,1555,51,0.00%,3.1927083333333,0,557,54,423,0
git@github.com:lucadegasperi/oauth2-server-laravel.git,5.0.3,4815,1578,52,0.00%,3.1675126903553,0,557,54,423,0
git@github.com:lucadegasperi/oauth2-server-laravel.git,5.1.0,4817,1578,52,0.00%,3.1675126903553,0,557,54,423,0
git@github.com:lucadegasperi/oauth2-server-laravel.git,5.1.1,4824,1586,52,0.00%,3.1675126903553,0,557,54,423,0
git@github.com:lucadegasperi/oauth2-server-laravel.git,5.1.2,4824,1586,52,0.00%,3.1675126903553,0,557,54,423,0
git@github.com:lucadegasperi/oauth2-server-laravel.git,5.1.3,4824,1586,52,0.00%,3.1675126903553,0,557,54,423,0
git@github.com:lucadegasperi/oauth2-server-laravel.git,5.1.4,4830,1587,54,0.00%,3.1776649746193,0,557,54,423,0
git@github.com:lucadegasperi/oauth2-server-laravel.git,5.2.0,4832,1589,54,0.00%,3.1776649746193,0,557,54,423,0
git@github.com:lucadegasperi/oauth2-server-laravel.git,5.2.1,4832,1589,54,0.00%,3.1776649746193,0,557,54,423,0
