repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:matomo-org/matomo.git,0.1.1,123434,43447,8423,2.43%,4.6721749696233,0,1685,303,5794,0
git@github.com:matomo-org/matomo.git,0.1.2,123437,43447,8424,2.43%,4.6721749696233,0,1685,303,5794,0
git@github.com:matomo-org/matomo.git,0.1.3,123436,43448,8424,2.43%,4.6721749696233,0,1685,303,5794,0
git@github.com:matomo-org/matomo.git,0.1.4,123496,43459,8429,2.43%,4.6730629098858,0,1685,303,5795,0
git@github.com:matomo-org/matomo.git,0.1.5,123547,43464,8431,2.43%,4.6720077688759,0,1685,303,5798,0
git@github.com:matomo-org/matomo.git,0.1.6,134179,48211,9101,2.24%,4.7074814648394,0,1685,303,6189,11
git@github.com:matomo-org/matomo.git,0.1.7,134179,48177,9114,2.24%,4.7082865483943,0,1685,303,6194,15
git@github.com:matomo-org/matomo.git,0.1.8,134175,48164,9119,2.24%,4.7085111161015,0,1685,303,6193,15
git@github.com:matomo-org/matomo.git,0.1.9,134261,48172,9131,2.23%,4.7068579112506,0,1685,303,6190,16
git@github.com:matomo-org/matomo.git,0.1.10,134097,48145,9135,2.24%,4.7203962179199,0,1685,303,6191,17
git@github.com:matomo-org/matomo.git,0.2.1,134097,48145,9135,2.24%,4.7203962179199,0,1685,303,6191,17
git@github.com:matomo-org/matomo.git,0.2.2,134150,48156,9141,2.24%,4.7183985605038,0,1685,303,6202,21
git@github.com:matomo-org/matomo.git,0.2.3,138563,48074,9199,2.24%,4.7274544646824,0,1685,303,6237,25
git@github.com:matomo-org/matomo.git,0.2.4,139153,48016,9215,2.41%,4.7354051054384,0,1685,303,6244,1
git@github.com:matomo-org/matomo.git,0.2.5,139153,48016,9215,2.41%,4.7354051054384,0,1685,303,6244,1
git@github.com:matomo-org/matomo.git,0.2.6,139691,47984,9225,2.40%,4.736410028844,0,1685,303,6248,1
git@github.com:matomo-org/matomo.git,0.2.7,139686,47983,9225,2.40%,4.7359662746838,0,1685,303,6248,1
git@github.com:matomo-org/matomo.git,0.2.8,139697,47975,9229,2.40%,4.7358030168589,0,1685,303,6250,1
git@github.com:matomo-org/matomo.git,0.2.9,139701,47975,9231,2.40%,4.7360248447205,0,1685,303,6250,1
git@github.com:matomo-org/matomo.git,0.2.10,154749,54043,10161,2.30%,4.7479903536977,0,1685,303,6830,16
git@github.com:matomo-org/matomo.git,0.2.11,154744,54033,10161,2.30%,4.7480409885473,0,1685,303,6830,16
git@github.com:matomo-org/matomo.git,0.2.12,154753,54033,10164,2.30%,4.7473874598071,0,1685,303,6827,16
git@github.com:matomo-org/matomo.git,0.2.13,154816,54033,10170,2.30%,4.7467871485944,0,1685,303,6830,16
git@github.com:matomo-org/matomo.git,0.2.14,154828,54036,10171,2.30%,4.7462356956434,0,1685,303,6832,16
git@github.com:matomo-org/matomo.git,0.2.15,154828,54036,10171,2.30%,4.7462356956434,0,1685,303,6832,16
