repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:matyhtf/framework.git,1.0.0,33664,8096,3634,0.26%,5.1088803088803,0,601,42,3365,1
git@github.com:matyhtf/framework.git,1.0.1,33664,8096,3634,0.26%,5.1088803088803,0,601,42,3365,1
git@github.com:matyhtf/framework.git,1.0.2,33668,8096,3634,0.26%,5.1104247104247,0,601,42,3364,1
git@github.com:matyhtf/framework.git,1.0.3,34017,8170,3666,0.19%,5.1378254211332,0,601,42,3384,1
git@github.com:matyhtf/framework.git,1.1.0,34135,8188,3681,0.19%,5.1512605042017,0,601,42,3395,1
git@github.com:matyhtf/framework.git,1.1.1,34144,8192,3681,0.19%,5.1480916030534,0,601,42,3396,1
git@github.com:matyhtf/framework.git,1.1.2,34148,8191,3683,0.19%,5.1496183206107,0,601,42,3395,1
git@github.com:matyhtf/framework.git,1.2.0,34158,8210,3678,0.19%,5.1583779648049,0,601,42,3377,1
git@github.com:matyhtf/framework.git,1.3.0,32149,7777,3564,0.68%,5.2452830188679,0,601,42,3285,0
git@github.com:matyhtf/framework.git,1.4.0,34638,8306,3739,0.18%,5.1541916167665,0,601,42,3432,1
git@github.com:matyhtf/framework.git,1.5.0,34606,8290,3733,0.18%,5.1475655430712,0,601,42,3426,1
git@github.com:matyhtf/framework.git,1.6.0,34877,8283,3757,0.18%,5.226656626506,0,601,42,3497,1
git@github.com:matyhtf/framework.git,1.6.1,37134,8718,3899,0.08%,5.1674673987646,0,601,42,3643,1
git@github.com:matyhtf/framework.git,1.6.2,37180,8729,3903,0.08%,5.1665524331734,0,601,42,3648,1
git@github.com:matyhtf/framework.git,1.6.3,37374,8767,3914,0.08%,5.1663258350375,0,601,42,3671,1
git@github.com:matyhtf/framework.git,1.6.4,37425,8781,3921,0.08%,5.1628065395095,0,601,42,3678,1
git@github.com:matyhtf/framework.git,1.6.5,37425,8785,3921,0.08%,5.1621253405995,0,601,42,3678,1
git@github.com:matyhtf/framework.git,1.6.6,37433,8785,3922,0.08%,5.1599727705922,0,601,42,3678,1
git@github.com:matyhtf/framework.git,1.6.7,37429,8785,3922,0.08%,5.1628065395095,0,601,42,3679,1
git@github.com:matyhtf/framework.git,1.6.8,37429,8785,3922,0.08%,5.1628065395095,0,601,42,3679,1
git@github.com:matyhtf/framework.git,1.6.9,37429,8785,3922,0.08%,5.1628065395095,0,601,42,3679,1
git@github.com:matyhtf/framework.git,1.6.10,37555,8799,3930,0.08%,5.1708645336964,0,601,42,3687,1
