repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:mautic/mautic.git,1.0.0,139004,39221,9291,1.41%,5.1205121767512,0,1056,217,10514,0
git@github.com:mautic/mautic.git,1.0.1,139004,39221,9291,1.41%,5.1205121767512,0,1056,217,10514,0
git@github.com:mautic/mautic.git,1.0.2,139682,38923,9403,1.42%,5.1590795397699,0,1056,217,10651,0
git@github.com:mautic/mautic.git,1.0.3,139660,38861,9406,1.42%,5.1625751503006,0,1056,217,10630,0
git@github.com:mautic/mautic.git,1.0.4,142250,39294,9704,1.39%,5.2807148175726,0,1056,217,11075,0
git@github.com:mautic/mautic.git,1.0.5,142251,39295,9704,1.39%,5.2807148175726,0,1056,217,11075,0
git@github.com:mautic/mautic.git,1.1.0,154547,41564,10544,1.24%,5.384832120216,0,1056,217,11920,0
git@github.com:mautic/mautic.git,1.1.1,154574,41564,10552,1.24%,5.3860061047194,0,1056,217,11922,0
git@github.com:mautic/mautic.git,1.1.2,154678,41580,10560,1.24%,5.3895280582296,0,1056,217,11925,0
git@github.com:mautic/mautic.git,1.1.3,164152,42444,10893,1.18%,5.4342804342804,0,1056,217,12110,0
git@github.com:mautic/mautic.git,1.2.0,181171,46285,11864,1.27%,5.4619712440092,0,1056,217,14626,0
git@github.com:mautic/mautic.git,1.2.1,184308,47089,12135,1.28%,5.4580764488286,0,1056,217,14908,0
git@github.com:mautic/mautic.git,1.2.2,184802,47237,12182,1.28%,5.4568735914772,0,1056,217,14890,0
git@github.com:mautic/mautic.git,1.2.3,188409,48225,12354,1.24%,5.4427511529978,0,1056,217,15018,0
git@github.com:mautic/mautic.git,1.2.4,188740,48350,12415,1.21%,5.4431749849669,0,1056,217,14991,0
git@github.com:mautic/mautic.git,1.3.0,189366,48421,12437,1.24%,5.4517928286853,0,1056,217,15065,0
git@github.com:mautic/mautic.git,1.3.1,189648,48459,12455,1.24%,5.4551065100538,0,1056,217,15083,0
git@github.com:mautic/mautic.git,1.4.0,213352,54750,13452,1.54%,5.3667953667954,0,1056,217,16845,0
git@github.com:mautic/mautic.git,1.4.1,213385,54746,13452,1.52%,5.3682639985958,0,1056,217,16842,0
git@github.com:mautic/mautic.git,2.0.0,234176,60626,14305,1.40%,5.1242678486623,0,1056,217,17737,4
git@github.com:mautic/mautic.git,2.0.1,234321,60649,14331,1.40%,5.125,0,1056,217,17742,4
git@github.com:mautic/mautic.git,2.1.0,244866,63345,14991,1.27%,5.1015542477743,0,1056,217,18448,4
git@github.com:mautic/mautic.git,2.1.1,246655,63624,15093,1.35%,5.1334136425237,0,1056,217,18733,4
git@github.com:mautic/mautic.git,2.2.0,270800,68901,16825,1.52%,5.0812210411556,0,1056,217,19852,5
git@github.com:mautic/mautic.git,2.2.1,271301,69065,16849,1.51%,5.0746634026928,0,1056,217,19877,5
git@github.com:mautic/mautic.git,2.3.0,291942,73757,18238,1.42%,5.0745926680244,0,1056,217,20857,5
git@github.com:mautic/mautic.git,2.4.0,293054,74065,18328,1.46%,5.0772543059777,0,1056,217,20920,5
git@github.com:mautic/mautic.git,2.5.0,296430,74760,18535,1.44%,5.0838143036386,0,1056,217,21174,5
git@github.com:mautic/mautic.git,2.5.1,296502,74779,18544,1.44%,5.0839081901417,0,1056,217,21179,5
git@github.com:mautic/mautic.git,2.6.0,310813,78899,19637,1.37%,5.0052213124481,0,1056,217,21760,5
git@github.com:mautic/mautic.git,2.6.1,310937,78944,19645,1.36%,5.0054547610577,0,1056,217,21784,5
git@github.com:mautic/mautic.git,2.7.0,313114,79400,19797,1.34%,5.0121591311533,0,1056,217,21925,5
git@github.com:mautic/mautic.git,2.7.1,313187,79413,19802,1.34%,5.0083825265643,0,1056,217,21950,5
git@github.com:mautic/mautic.git,2.8.0,323410,81562,20462,1.37%,5.0211331962531,0,1056,217,22694,5
git@github.com:mautic/mautic.git,2.8.1,325351,82118,20598,1.33%,5.012832159891,0,1056,217,22830,5
git@github.com:mautic/mautic.git,2.8.2,327531,82412,20668,1.32%,5.0122706292919,0,1056,217,22934,5
git@github.com:mautic/mautic.git,2.9.0,347224,86404,22107,1.33%,5.0912997903564,0,1056,217,24425,4
git@github.com:mautic/mautic.git,2.9.1,347967,86545,22157,1.32%,5.0914417242101,0,1056,217,24501,4
git@github.com:mautic/mautic.git,2.9.2,349193,86681,22207,1.32%,5.1025694589513,0,1056,217,24571,4
git@github.com:mautic/mautic.git,2.10.0,356428,87920,22680,1.34%,5.0922175388095,0,1056,217,24991,4
git@github.com:mautic/mautic.git,2.10.1,357374,88174,22718,1.33%,5.0928827444956,0,1056,217,25129,4
git@github.com:mautic/mautic.git,2.11.0,374125,93732,23276,1.37%,5.0153591912122,0,1056,217,26253,4
git@github.com:mautic/mautic.git,2.12.0,387584,96629,23219,1.50%,4.9277467411546,0,1056,217,27297,4
git@github.com:mautic/mautic.git,2.12.1,393424,97837,23339,1.51%,4.9201942459227,0,1056,217,27653,4
git@github.com:mautic/mautic.git,2.12.2,396066,98642,23413,1.53%,4.9267115804807,0,1056,217,27774,4
git@github.com:mautic/mautic.git,2.13.0,403819,100657,23570,1.54%,4.9252760954756,0,1056,217,28620,4
git@github.com:mautic/mautic.git,2.13.1,406125,101152,23588,1.56%,4.9342477876106,0,1056,217,28955,3
git@github.com:mautic/mautic.git,2.14.0,442656,111638,24483,1.56%,4.8752778659892,0,1056,217,31616,3
git@github.com:mautic/mautic.git,2.14.1,444661,112026,24622,1.56%,4.8801107156979,0,1056,217,31735,3
git@github.com:mautic/mautic.git,2.14.2,447695,112641,24753,1.55%,4.8998742533794,0,1056,217,32173,3
git@github.com:mautic/mautic.git,2.15.0,456404,114703,25099,1.50%,4.9048167780595,0,1056,217,33020,3
