repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:maximebf/php-debugbar.git,1.0.1,3246,1125,82,0.00%,1.7654867256637,0,285,87,132,0
git@github.com:maximebf/php-debugbar.git,1.0.2,3250,1127,83,0.00%,1.7654867256637,0,285,87,132,0
git@github.com:maximebf/php-debugbar.git,1.0.3,3268,1127,84,0.00%,1.780701754386,0,285,87,131,0
git@github.com:maximebf/php-debugbar.git,1.0.4,3267,1127,84,0.00%,1.780701754386,0,285,87,131,0
git@github.com:maximebf/php-debugbar.git,1.5.1,5327,1615,167,0.00%,2.1553672316384,0,285,87,262,0
git@github.com:maximebf/php-debugbar.git,1.6.1,5886,1795,193,0.00%,2.26735218509,0,285,87,303,0
git@github.com:maximebf/php-debugbar.git,1.7.1,6146,1862,208,0.00%,2.3292079207921,0,285,87,320,0
git@github.com:maximebf/php-debugbar.git,1.9.1,6297,1893,226,0.00%,2.3374083129584,0,285,87,334,0
git@github.com:maximebf/php-debugbar.git,1.9.2,6359,1899,232,0.00%,2.3357664233577,0,285,87,334,0
git@github.com:maximebf/php-debugbar.git,1.9.3,6359,1899,232,0.00%,2.3357664233577,0,285,87,334,0
git@github.com:maximebf/php-debugbar.git,1.9.4,6402,1896,238,0.00%,2.3021582733813,0,285,87,337,0
git@github.com:maximebf/php-debugbar.git,1.9.5,6548,1938,239,0.00%,2.2990654205607,0,285,87,350,0
git@github.com:maximebf/php-debugbar.git,1.9.6,6548,1938,239,0.00%,2.2990654205607,0,285,87,350,0
git@github.com:maximebf/php-debugbar.git,1.9.7,6296,1488,260,0.00%,2.3205417607223,0,285,87,356,0
git@github.com:maximebf/php-debugbar.git,1.9.8,6312,1496,261,0.00%,2.3175675675676,0,285,87,356,0
git@github.com:maximebf/php-debugbar.git,1.9.9,6311,1496,261,0.00%,2.3153153153153,0,285,87,356,0
git@github.com:maximebf/php-debugbar.git,1.9.10,6311,1496,261,0.00%,2.3153153153153,0,285,87,356,0
git@github.com:maximebf/php-debugbar.git,1.9.11,6311,1496,261,0.00%,2.3153153153153,0,285,87,356,0
git@github.com:maximebf/php-debugbar.git,1.9.12,6311,1496,261,0.00%,2.3153153153153,0,285,87,356,0
git@github.com:maximebf/php-debugbar.git,1.9.13,6335,1514,261,0.00%,2.3123595505618,0,285,87,356,0
git@github.com:maximebf/php-debugbar.git,1.9.14,6469,1531,287,0.00%,2.4192825112108,0,285,87,378,0
git@github.com:maximebf/php-debugbar.git,1.9.15,6558,1554,291,0.00%,2.4111111111111,0,285,87,377,0
git@github.com:maximebf/php-debugbar.git,1.10.0,6601,1571,293,0.00%,2.4203539823009,0,285,87,385,0
git@github.com:maximebf/php-debugbar.git,1.10.1,6635,1578,295,0.00%,2.4144736842105,0,285,87,385,0
git@github.com:maximebf/php-debugbar.git,v1.10.2,6599,1636,270,0.00%,2.3098901098901,0,285,87,363,0
git@github.com:maximebf/php-debugbar.git,v1.10.3,6599,1636,270,0.00%,2.3098901098901,0,285,87,363,0
git@github.com:maximebf/php-debugbar.git,v1.10.4,6599,1636,270,0.00%,2.3098901098901,0,285,87,363,0
git@github.com:maximebf/php-debugbar.git,v1.10.5,7145,1713,289,0.00%,2.369978858351,0,285,87,385,0
git@github.com:maximebf/php-debugbar.git,v1.11.0,7165,1714,291,0.00%,2.369978858351,0,285,87,386,0
git@github.com:maximebf/php-debugbar.git,v1.11.1,7166,1714,291,0.00%,2.369978858351,0,285,87,386,0
git@github.com:maximebf/php-debugbar.git,v1.12.0,7502,2019,296,0.00%,2.3831578947368,0,285,87,392,0
git@github.com:maximebf/php-debugbar.git,v1.13.0,7652,2157,296,0.00%,2.377358490566,0,285,87,397,0
git@github.com:maximebf/php-debugbar.git,1.13.1,7665,2158,300,0.00%,2.3802521008403,0,285,87,404,0
git@github.com:maximebf/php-debugbar.git,v1.14.0,8973,2573,371,0.00%,2.6698292220114,0,285,87,524,0
git@github.com:maximebf/php-debugbar.git,v1.14.1,8984,2573,372,0.00%,2.671102661597,0,285,87,528,0
git@github.com:maximebf/php-debugbar.git,v1.15.0,9317,2702,386,0.00%,2.6544117647059,0,285,87,539,0
