repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:mcamara/laravel-localization.git,v0.13.1,1480,688,100,0.00%,4.1111111111111,0,294,95,61,1
git@github.com:mcamara/laravel-localization.git,v0.13.2,1478,688,99,0.00%,4.1111111111111,0,294,95,61,1
git@github.com:mcamara/laravel-localization.git,v0.13.3,1478,688,99,0.00%,4.1111111111111,0,294,95,61,1
git@github.com:mcamara/laravel-localization.git,v0.13.4,1486,688,100,0.00%,4.1555555555556,0,294,95,62,1
git@github.com:mcamara/laravel-localization.git,v0.13.5,1511,690,105,0.00%,4.2444444444444,0,294,95,64,1
git@github.com:mcamara/laravel-localization.git,v0.13.6,1511,690,105,0.00%,4.2444444444444,0,294,95,64,1
git@github.com:mcamara/laravel-localization.git,v0.13.7,1511,690,105,0.00%,4.2444444444444,0,294,95,64,1
git@github.com:mcamara/laravel-localization.git,v0.13.8,1514,690,108,0.00%,4.3555555555556,0,294,95,62,1
git@github.com:mcamara/laravel-localization.git,v0.14.0,1490,685,104,0.00%,4.2444444444444,0,294,95,58,1
git@github.com:mcamara/laravel-localization.git,v0.14.1,1490,685,104,0.00%,4.2444444444444,0,294,95,58,1
git@github.com:mcamara/laravel-localization.git,v0.14.2,1492,685,104,0.00%,4.2444444444444,0,294,95,59,1
git@github.com:mcamara/laravel-localization.git,v0.14.3,1499,687,104,0.00%,4.2444444444444,0,294,95,59,1
git@github.com:mcamara/laravel-localization.git,v0.14.4,1500,687,104,0.00%,4.2444444444444,0,294,95,59,1
git@github.com:mcamara/laravel-localization.git,v0.14.6,1514,686,107,0.00%,4.2888888888889,0,294,95,59,1
git@github.com:mcamara/laravel-localization.git,v0.14.7,1526,686,110,0.00%,4.3333333333333,0,294,95,59,1
git@github.com:mcamara/laravel-localization.git,v0.14.8,1526,686,110,0.00%,4.3333333333333,0,294,95,59,1
git@github.com:mcamara/laravel-localization.git,v0.14.9,1541,686,114,0.00%,4.3777777777778,0,294,95,59,1
git@github.com:mcamara/laravel-localization.git,v0.15.0,2296,777,131,0.00%,5.1764705882353,0,294,95,76,1
git@github.com:mcamara/laravel-localization.git,v0.15.1,2297,777,131,0.00%,5.1764705882353,0,294,95,76,1
git@github.com:mcamara/laravel-localization.git,v0.15.2,2302,777,132,0.00%,5.1911764705882,0,294,95,79,1
git@github.com:mcamara/laravel-localization.git,v1.0.0,2196,735,121,0.00%,4.9090909090909,0,294,95,62,0
git@github.com:mcamara/laravel-localization.git,v1.0.1,2196,735,121,0.00%,4.9090909090909,0,294,95,62,0
git@github.com:mcamara/laravel-localization.git,v1.0.2,2196,735,121,0.00%,4.9090909090909,0,294,95,62,0
git@github.com:mcamara/laravel-localization.git,v1.0.3,2196,735,121,0.00%,4.9090909090909,0,294,95,62,0
git@github.com:mcamara/laravel-localization.git,v1.0.4,2194,735,121,0.00%,4.9242424242424,0,294,95,62,0
git@github.com:mcamara/laravel-localization.git,v1.0.5,2192,735,121,0.00%,4.9242424242424,0,294,95,62,0
git@github.com:mcamara/laravel-localization.git,v1.0.6,2192,735,121,0.00%,4.9242424242424,0,294,95,62,0
git@github.com:mcamara/laravel-localization.git,v1.0.7,2146,702,124,0.00%,5.3225806451613,0,294,95,63,0
git@github.com:mcamara/laravel-localization.git,v1.0.8,2158,703,125,0.00%,5.3548387096774,0,294,95,64,0
git@github.com:mcamara/laravel-localization.git,1.0.8,2158,703,125,0.00%,5.3548387096774,0,294,95,64,0
git@github.com:mcamara/laravel-localization.git,v1.0.9,2161,703,125,0.00%,5.3709677419355,0,294,95,64,0
git@github.com:mcamara/laravel-localization.git,v1.0.10,2161,703,125,0.00%,5.3709677419355,0,294,95,64,0
git@github.com:mcamara/laravel-localization.git,1.0.11,2173,708,126,0.00%,5.3015873015873,0,294,95,64,0
git@github.com:mcamara/laravel-localization.git,1.0.12,2207,715,128,0.00%,5.2461538461538,0,294,95,65,0
git@github.com:mcamara/laravel-localization.git,v1.0.12,2172,708,126,0.00%,5.3015873015873,0,294,95,62,0
git@github.com:mcamara/laravel-localization.git,v1.0.13,2172,708,126,0.00%,5.3015873015873,0,294,95,62,0
git@github.com:mcamara/laravel-localization.git,v1.1.0,2202,715,128,0.00%,5.2461538461538,0,294,95,65,0
git@github.com:mcamara/laravel-localization.git,v1.1.1,2202,715,128,0.00%,5.2461538461538,0,294,95,65,0
git@github.com:mcamara/laravel-localization.git,v1.1.2,2200,715,128,0.00%,5.2461538461538,0,294,95,63,0
git@github.com:mcamara/laravel-localization.git,v1.1.3,2200,715,128,0.00%,5.2461538461538,0,294,95,63,0
git@github.com:mcamara/laravel-localization.git,1.1.4,2203,715,128,0.00%,5.2615384615385,0,294,95,63,0
git@github.com:mcamara/laravel-localization.git,v1.1.5,2199,715,128,0.00%,5.2461538461538,0,294,95,63,0
git@github.com:mcamara/laravel-localization.git,v1.1.6,2199,715,128,0.00%,5.2461538461538,0,294,95,63,0
git@github.com:mcamara/laravel-localization.git,1.1.7,2202,715,128,0.00%,5.2461538461538,0,294,95,63,0
git@github.com:mcamara/laravel-localization.git,v1.1.8,2203,716,128,0.00%,5.2461538461538,0,294,95,63,0
git@github.com:mcamara/laravel-localization.git,v1.1.9,2203,716,129,0.00%,5.2461538461538,0,294,95,63,0
git@github.com:mcamara/laravel-localization.git,v1.1.10,2214,721,129,0.00%,5.2769230769231,0,294,95,64,0
git@github.com:mcamara/laravel-localization.git,1.1.11,2179,752,136,0.00%,5.3030303030303,0,294,95,65,0
git@github.com:mcamara/laravel-localization.git,v1.1.12,2186,753,141,0.00%,5.3181818181818,0,294,95,66,0
git@github.com:mcamara/laravel-localization.git,v1.2.0,2185,753,142,0.00%,5.3181818181818,0,294,95,66,0
git@github.com:mcamara/laravel-localization.git,v1.2.1,2185,753,142,0.00%,5.3181818181818,0,294,95,66,0
git@github.com:mcamara/laravel-localization.git,1.2.2,2185,753,142,0.00%,5.3181818181818,0,294,95,66,0
git@github.com:mcamara/laravel-localization.git,v1.2.3,2211,762,142,0.00%,5.3181818181818,0,294,95,70,0
git@github.com:mcamara/laravel-localization.git,v1.2.4,2260,781,144,0.00%,5.0882352941176,0,294,95,71,0
git@github.com:mcamara/laravel-localization.git,v1.2.5,2297,791,145,0.00%,5.1014492753623,0,294,95,71,0
git@github.com:mcamara/laravel-localization.git,v1.2.6,2297,791,145,0.00%,5.1014492753623,0,294,95,71,0
git@github.com:mcamara/laravel-localization.git,v1.2.7,2297,791,145,0.00%,5.1014492753623,0,294,95,71,0
git@github.com:mcamara/laravel-localization.git,1.3.0,2297,791,145,0.00%,5.1014492753623,0,294,95,71,0
git@github.com:mcamara/laravel-localization.git,1.3.1,2312,797,148,0.00%,5.0714285714286,0,294,95,71,0
git@github.com:mcamara/laravel-localization.git,1.3.2,2312,797,148,0.00%,5.0714285714286,0,294,95,71,0
git@github.com:mcamara/laravel-localization.git,1.3.3,2701,817,154,0.00%,5.1527777777778,0,294,95,80,0
git@github.com:mcamara/laravel-localization.git,v1.3.4,2722,818,155,0.00%,5.1643835616438,0,294,95,80,0
git@github.com:mcamara/laravel-localization.git,v1.3.5,2723,818,156,0.00%,5.1643835616438,0,294,95,80,0
git@github.com:mcamara/laravel-localization.git,v1.3.6,2701,817,155,0.00%,5.1527777777778,0,294,95,80,0
git@github.com:mcamara/laravel-localization.git,1.3.7,2703,818,155,0.00%,5.1666666666667,0,294,95,80,0
git@github.com:mcamara/laravel-localization.git,v1.3.8,2707,818,156,0.00%,5.1805555555556,0,294,95,80,0
git@github.com:mcamara/laravel-localization.git,1.3.9,2707,818,156,0.00%,5.1805555555556,0,294,95,80,0
git@github.com:mcamara/laravel-localization.git,1.3.10,2690,813,152,0.00%,5.1666666666667,0,294,95,79,0
git@github.com:mcamara/laravel-localization.git,1.3.11,3210,974,168,0.00%,4.6526315789474,0,294,95,87,0
git@github.com:mcamara/laravel-localization.git,1.3.12,3238,978,168,0.00%,4.6458333333333,0,294,95,87,0
git@github.com:mcamara/laravel-localization.git,1.3.13,3255,986,165,0.00%,4.6145833333333,0,294,95,86,0
git@github.com:mcamara/laravel-localization.git,1.3.14,3288,997,167,0.00%,4.5816326530612,0,294,95,87,0
git@github.com:mcamara/laravel-localization.git,1.3.15,3425,1009,167,0.00%,4.6633663366337,0,294,95,98,0
git@github.com:mcamara/laravel-localization.git,1.3.16,3436,1009,167,0.00%,4.6930693069307,0,294,95,98,0
