repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:mockery/mockery.git,0.6.0,5937,2109,179,0.00%,3.241095890411,0,341,170,685,0
git@github.com:mockery/mockery.git,0.6.1,5977,2121,183,0.00%,3.2276422764228,0,341,170,693,0
git@github.com:mockery/mockery.git,0.6.2,5978,2121,183,0.00%,3.230352303523,0,341,170,693,0
git@github.com:mockery/mockery.git,0.6.3,5979,2121,184,0.00%,3.2330623306233,0,341,170,693,0
git@github.com:mockery/mockery.git,0.7.0,6964,2337,234,0.29%,3.2410714285714,0,341,170,873,0
git@github.com:mockery/mockery.git,0.7.2,7104,2389,236,0.28%,3.2104121475054,0,341,170,886,0
git@github.com:mockery/mockery.git,0.8.0,8391,2610,291,0.00%,3.0655172413793,0,341,170,1060,0
git@github.com:mockery/mockery.git,0.9.0,10531,2941,349,0.00%,2.881045751634,0,341,170,1206,0
git@github.com:mockery/mockery.git,0.9.1,10798,3011,358,0.00%,2.8818297331639,0,341,170,1227,0
git@github.com:mockery/mockery.git,0.9.2,11657,3231,375,0.00%,2.8742442563482,0,341,170,1297,0
git@github.com:mockery/mockery.git,0.9.3,12119,3252,385,0.00%,2.9059633027523,0,341,170,1310,0
git@github.com:mockery/mockery.git,0.9.4,12827,3415,401,0.00%,2.8993362831858,0,341,170,1328,0
git@github.com:mockery/mockery.git,0.9.5,13021,3436,419,0.00%,2.867027027027,0,341,170,1334,0
git@github.com:mockery/mockery.git,0.9.6,13060,3447,420,0.00%,2.864224137931,0,341,170,1335,0
git@github.com:mockery/mockery.git,0.9.7,13061,3447,420,0.00%,2.8653017241379,0,341,170,1335,0
git@github.com:mockery/mockery.git,0.9.8,13410,3572,428,0.00%,2.8517350157729,0,341,170,1351,0
git@github.com:mockery/mockery.git,0.9.9,13650,3655,434,0.00%,2.832304526749,0,341,170,1367,0
git@github.com:mockery/mockery.git,0.9.10,13839,3721,440,0.00%,2.8295918367347,0,341,170,1373,0
git@github.com:mockery/mockery.git,1.1.0,17457,5413,522,0.00%,2.7943262411348,0,341,170,1464,0
git@github.com:mockery/mockery.git,1.2.0,18313,5699,542,0.00%,2.779792746114,0,341,170,1512,1
