repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:moneyphp/money.git,1.0.0,589,147,11,0.00%,3.0731707317073,0,265,73,58,0
git@github.com:moneyphp/money.git,1.1.0,832,193,21,0.00%,2.8548387096774,0,265,73,59,0
git@github.com:moneyphp/money.git,1.2.0,974,232,19,0.00%,3.0178571428571,0,265,73,59,0
git@github.com:moneyphp/money.git,1.2.1,1048,243,19,0.00%,2.968253968254,0,265,73,59,0
git@github.com:moneyphp/money.git,v1.3.0,1166,269,23,0.00%,3,0,265,73,66,0
git@github.com:moneyphp/money.git,v3.0.0,7155,1149,168,0.00%,2.5798319327731,0,265,73,222,0
git@github.com:moneyphp/money.git,v3.0.1,7375,1176,182,0.00%,2.6209677419355,0,265,73,231,0
git@github.com:moneyphp/money.git,v3.0.2,7442,1194,184,0.00%,2.6111111111111,0,265,73,233,0
git@github.com:moneyphp/money.git,v3.0.3,7484,1197,188,0.00%,2.6306068601583,0,265,73,233,0
git@github.com:moneyphp/money.git,v3.0.4,7333,1207,188,0.48%,2.621409921671,0,265,73,233,0
git@github.com:moneyphp/money.git,v3.0.5,7374,1223,189,0.47%,2.619170984456,0,265,73,233,0
git@github.com:moneyphp/money.git,v3.0.6,7660,1294,201,0.46%,2.6725440806045,0,265,73,243,0
git@github.com:moneyphp/money.git,v3.0.7,7660,1294,201,0.46%,2.6725440806045,0,265,73,243,0
git@github.com:moneyphp/money.git,v3.0.8,7714,1304,204,0.45%,2.6741854636591,0,265,73,244,0
git@github.com:moneyphp/money.git,v3.0.9,7714,1304,204,0.45%,2.6741854636591,0,265,73,244,0
git@github.com:moneyphp/money.git,v3.1.0,8833,1492,239,1.32%,2.8257080610022,0,265,73,269,0
git@github.com:moneyphp/money.git,v3.1.1,8858,1496,239,1.32%,2.8195652173913,0,265,73,269,0
git@github.com:moneyphp/money.git,v3.1.2,8964,1517,241,1.31%,2.8055555555556,0,265,73,269,0
git@github.com:moneyphp/money.git,v3.1.3,8966,1517,241,1.30%,2.8055555555556,0,265,73,269,0
git@github.com:moneyphp/money.git,v3.2.0,9676,1820,249,1.21%,2.7862903225806,0,265,73,290,0
